,nlayers,layerForm,dR,dropoutFn,activationFn,testAccuracy,nstart,valAccuracy,learningrate
0,2,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,256,0.5169811546802522,10.0
1,2,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,256,0.5094339847564698,1.0
2,2,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.8333333134651184,256,0.7811320781707763,0.1
3,2,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.7763158082962036,256,0.7339622735977174,0.01
4,2,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,512,0.5094339847564698,10.0
5,2,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,512,0.5188679456710816,1.0
6,2,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.8114035129547119,512,0.7481132090091707,0.1
7,2,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.7850876450538635,512,0.7235849082469942,0.01
8,2,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.42105260491371155,1024,0.5094339847564698,10.0
9,2,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.42105260491371155,1024,0.5094339847564698,1.0
10,2,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.8421052694320679,1024,0.7641509532928465,0.1
11,2,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.8026316165924072,1024,0.772641497850418,0.01
12,2,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105260491371155,256,0.5094339847564698,10.0
13,2,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,256,0.5094339847564698,1.0
14,2,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.7324561476707458,256,0.7179245233535766,0.1
15,2,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.6578947305679321,256,0.5783018946647644,0.01
16,2,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.5789473652839661,512,0.4981132209300995,10.0
17,2,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105260491371155,512,0.5094339847564698,1.0
18,2,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.7631579041481018,512,0.7226415097713471,0.1
19,2,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.6929824352264404,512,0.6877358257770538,0.01
20,2,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,1024,0.5094339847564698,10.0
21,2,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,1024,0.5094339847564698,1.0
22,2,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.7587718963623047,1024,0.733018857240677,0.1
23,2,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.75,1024,0.6905660390853882,0.01
24,3,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,256,0.5094339847564698,10.0
25,3,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.42105260491371155,256,0.4981132209300996,1.0
26,3,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.7850877642631531,256,0.750943386554718,0.1
27,3,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.7675439119338989,256,0.7028301954269409,0.01
28,3,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.5789473652839661,512,0.49056604504585266,10.0
29,3,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,512,0.5018868088722229,1.0
30,3,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.8157894611358643,512,0.7783018767833708,0.1
31,3,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.780701756477356,512,0.7,0.01
32,3,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,1024,0.5094339847564698,10.0
33,3,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,1024,0.5094339847564698,1.0
34,3,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.8157894611358643,1024,0.7613207459449769,0.1
35,3,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.7938596606254578,1024,0.728301876783371,0.01
36,3,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105260491371155,256,0.5094339847564698,10.0
37,3,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105260491371155,256,0.5094339847564698,1.0
38,3,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.75,256,0.7179245352745055,0.1
39,3,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.6447368860244751,256,0.5952830374240875,0.01
40,3,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,512,0.5094339847564698,10.0
41,3,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,512,0.5094339847564698,1.0
42,3,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.7587718963623047,512,0.7481132090091707,0.1
43,3,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.6622807383537292,512,0.622641509771347,0.01
44,3,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,1024,0.5094339847564698,10.0
45,3,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,1024,0.5094339847564698,1.0
46,3,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.7456140518188477,1024,0.731132084131241,0.1
47,3,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.6666666269302368,1024,0.6735849201679232,0.01
48,4,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,256,0.5094339847564698,10.0
49,4,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.42105260491371155,256,0.514150956273079,1.0
50,4,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.8157894611358643,256,0.7801886737346648,0.1
51,4,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.8157894611358643,256,0.7499999821186066,0.01
52,4,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.4210526645183563,512,0.5094339847564698,10.0
53,4,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,512,0.5094339847564698,1.0
54,4,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.7543860077857971,512,0.7641509354114533,0.1
55,4,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.7938596606254578,512,0.7679245233535766,0.01
56,4,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.42105260491371155,1024,0.5094339847564698,10.0
57,4,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,1024,0.5094339847564698,1.0
58,4,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.7543858885765076,1024,0.7594339728355407,0.1
59,4,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.8289473652839661,1024,0.7801886618137359,0.01
60,4,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105260491371155,256,0.5094339847564698,10.0
61,4,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105260491371155,256,0.5094339847564698,1.0
62,4,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.5789473652839661,256,0.5018868029117585,0.1
63,4,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.6710526347160339,256,0.6160377264022827,0.01
64,4,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,512,0.5094339847564698,10.0
65,4,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105260491371155,512,0.5094339847564698,1.0
66,4,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.7324560880661011,512,0.6971698224544525,0.1
67,4,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.6666666865348816,512,0.6584905803203583,0.01
68,4,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105260491371155,1024,0.5094339847564698,10.0
69,4,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105260491371155,1024,0.5094339847564698,1.0
70,4,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.7763157486915588,1024,0.7547169864177704,0.1
71,4,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.6535087823867798,1024,0.6481132149696351,0.01
72,8,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.42105260491371155,256,0.5094339847564698,10.0
73,8,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.7719298005104065,256,0.6915094435214997,1.0
74,8,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.7807016968727112,256,0.7613207519054415,0.1
75,8,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.7894736528396606,256,0.7707547187805175,0.01
76,8,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.42105260491371155,512,0.5094339847564698,10.0
77,8,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,512,0.5141509592533112,1.0
78,8,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.7763158082962036,512,0.7160377383232116,0.1
79,8,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.8070175647735596,512,0.7226415157318115,0.01
80,8,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,1024,0.5094339847564698,10.0
81,8,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.4210526645183563,1024,0.5018868088722229,1.0
82,8,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.7938596606254578,1024,0.7452830255031585,0.1
83,8,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.8070175647735596,1024,0.7320754706859589,0.01
84,8,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105260491371155,256,0.5094339847564698,10.0
85,8,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105260491371155,256,0.5094339847564698,1.0
86,8,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.5789473652839661,256,0.49056604504585266,0.1
87,8,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.513157844543457,256,0.5707547128200532,0.01
88,8,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,512,0.5094339847564698,10.0
89,8,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,512,0.5094339847564698,1.0
90,8,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.5921052694320679,512,0.5283018827438355,0.1
91,8,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.5745614171028137,512,0.5056603878736496,0.01
92,8,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,1024,0.5094339847564698,10.0
93,8,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.4210526645183563,1024,0.5094339847564698,1.0
94,8,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.5789473652839661,1024,0.4924528390169144,0.1
95,8,cone,0.5,<function dropout at 0x7f6ffde63a60>,3,0.5789473652839661,1024,0.5094339847564698,0.01
96,16,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,256,0.5094339847564698,10.0
97,16,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.7061403393745422,256,0.669811338186264,1.0
98,16,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.7850877046585083,256,0.7283019006252289,0.1
99,16,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.780701756477356,256,0.7396226406097413,0.01
100,16,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.42105260491371155,512,0.5094339847564698,10.0
101,16,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.42105263471603394,512,0.5094339847564698,1.0
102,16,cone,0.0,<function dropout at 0x7f6ffde63a60>,3,0.7763158082962036,512,0.6839622735977173,0.1
