,nlayers,valAccuracy,dropoutFn,dR,nstart,layerForm,activationFn,testAccuracy,learningrate
0,2,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.0,256,cone,3,0.9716089367866516,10.0
1,2,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.0,256,cone,3,0.9716088771820068,1.0
2,2,0.9827043533325195,<function dropout at 0x7fd65964ba60>,0.0,256,cone,3,0.9684543609619141,0.1
3,2,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.0,256,cone,3,0.9716088771820068,0.01
4,2,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.0,512,cone,3,0.9716088771820068,10.0
5,2,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.0,512,cone,3,0.9716089963912964,1.0
6,2,0.9830188274383546,<function dropout at 0x7fd65964ba60>,0.0,512,cone,3,0.9716089963912964,0.1
7,2,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.0,512,cone,3,0.97003173828125,0.01
8,2,0.02515723183751106,<function dropout at 0x7fd65964ba60>,0.0,1024,cone,3,0.028391167521476746,10.0
9,2,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.0,1024,cone,3,0.9716088771820068,1.0
10,2,0.9830188035964965,<function dropout at 0x7fd65964ba60>,0.0,1024,cone,3,0.9731862545013428,0.1
11,2,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.0,1024,cone,3,0.9700316786766052,0.01
12,2,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,256,cone,3,0.9716088771820068,10.0
13,2,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,256,cone,3,0.9716088771820068,1.0
14,2,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,256,cone,3,0.9716088771820068,0.1
15,2,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,256,cone,3,0.9716088771820068,0.01
16,2,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,512,cone,3,0.9716088771820068,10.0
17,2,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,512,cone,3,0.9716088771820068,1.0
18,2,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,512,cone,3,0.9716089963912964,0.1
19,2,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,512,cone,3,0.9716088771820068,0.01
20,2,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,1024,cone,3,0.9716088771820068,10.0
21,2,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,1024,cone,3,0.9716088771820068,1.0
22,2,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,1024,cone,3,0.9716088771820068,0.1
23,2,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,1024,cone,3,0.9716089367866516,0.01
