,dropoutFn,dR,activationFn,nstart,testAccuracy,nlayers,valAccuracy,learningrate,layerForm
0,<function dropout at 0x7f2283f34a60>,0.0,3,256,0.1037735864520073,2,0.12144702672958375,10.0,cone
1,<function dropout at 0x7f2283f34a60>,0.0,3,256,0.9708404541015625,2,0.9922480702400208,1.0,cone
2,<function dropout at 0x7f2283f34a60>,0.0,3,256,0.968553364276886,2,0.9930232167243958,0.1,cone
3,<function dropout at 0x7f2283f34a60>,0.0,3,256,0.961406409740448,2,0.98630490899086,0.01,cone
4,<function dropout at 0x7f2283f34a60>,0.0,3,256,0.1037735864520073,3,0.12144702672958375,10.0,cone
5,<function dropout at 0x7f2283f34a60>,0.0,3,256,0.095769003033638,3,0.09302325993776321,1.0,cone
6,<function dropout at 0x7f2283f34a60>,0.0,3,256,0.9654087424278259,3,0.9941429436206818,0.1,cone
7,<function dropout at 0x7f2283f34a60>,0.0,3,256,0.9642652869224548,3,0.9879414916038515,0.01,cone
8,<function dropout at 0x7f2283f34a60>,0.0,3,256,0.1037735864520073,4,0.12144702672958375,10.0,cone
9,<function dropout at 0x7f2283f34a60>,0.0,3,256,0.1037735864520073,4,0.12144702672958375,1.0,cone
10,<function dropout at 0x7f2283f34a60>,0.0,3,256,0.9656946063041687,4,0.9904393076896668,0.1,cone
11,<function dropout at 0x7f2283f34a60>,0.0,3,256,0.9671240448951721,4,0.9872523665428161,0.01,cone
12,<function dropout at 0x7f2283f34a60>,0.0,3,256,0.1037735864520073,8,0.12144702672958375,10.0,cone
13,<function dropout at 0x7f2283f34a60>,0.0,3,256,0.1037735864520073,8,0.12144702672958375,1.0,cone
14,<function dropout at 0x7f2283f34a60>,0.0,3,256,0.9676957726478577,8,0.9922480762004853,0.1,cone
15,<function dropout at 0x7f2283f34a60>,0.0,3,256,0.9616924524307251,8,0.9898363471031191,0.01,cone
16,<function dropout at 0x7f2283f34a60>,0.0,3,256,0.1037735864520073,16,0.12144702672958375,10.0,cone
17,<function dropout at 0x7f2283f34a60>,0.0,3,256,0.1037735864520073,16,0.12144702672958375,1.0,cone
18,<function dropout at 0x7f2283f34a60>,0.0,3,256,0.9719839692115784,16,0.9921619415283204,0.1,cone
19,<function dropout at 0x7f2283f34a60>,0.0,3,256,0.9562606811523438,16,0.9875108003616333,0.01,cone
20,<function dropout at 0x7f2283f34a60>,0.0,3,256,0.10377359390258789,32,0.12144702672958375,10.0,cone
21,<function dropout at 0x7f2283f34a60>,0.0,3,256,0.1037735864520073,32,0.12144702672958375,1.0,cone
22,<function dropout at 0x7f2283f34a60>,0.0,3,256,0.49514004588127136,32,0.42833764031529425,0.1,cone
23,<function dropout at 0x7f2283f34a60>,0.0,3,256,0.9708404541015625,32,0.9972437262535098,0.01,cone
24,<function dropout at 0x7f2283f34a60>,0.0,3,512,0.1037735864520073,2,0.12144702672958375,10.0,cone
25,<function dropout at 0x7f2283f34a60>,0.0,3,512,0.095769003033638,2,0.10163651704788208,1.0,cone
26,<function dropout at 0x7f2283f34a60>,0.0,3,512,0.9694110155105591,2,0.9937122464179993,0.1,cone
27,<function dropout at 0x7f2283f34a60>,0.0,3,512,0.9602630138397217,2,0.9896641075611117,0.01,cone
28,<function dropout at 0x7f2283f34a60>,0.0,3,512,0.1037735790014267,3,0.12144702672958375,10.0,cone
29,<function dropout at 0x7f2283f34a60>,0.0,3,512,0.09605488181114197,3,0.08182601258158682,1.0,cone
30,<function dropout at 0x7f2283f34a60>,0.0,3,512,0.9696969389915466,3,0.9940568685531614,0.1,cone
31,<function dropout at 0x7f2283f34a60>,0.0,3,512,0.9642652273178101,3,0.9922480583190918,0.01,cone
32,<function dropout at 0x7f2283f34a60>,0.0,3,512,0.1037735864520073,4,0.12144702672958375,10.0,cone
33,<function dropout at 0x7f2283f34a60>,0.0,3,512,0.1037735864520073,4,0.12144702672958375,1.0,cone
34,<function dropout at 0x7f2283f34a60>,0.0,3,512,0.9694110751152039,4,0.9937123060226439,0.1,cone
35,<function dropout at 0x7f2283f34a60>,0.0,3,512,0.9694110155105591,4,0.9906114935874941,0.01,cone
36,<function dropout at 0x7f2283f34a60>,0.0,3,512,0.1037735790014267,8,0.12144702672958375,10.0,cone
37,<function dropout at 0x7f2283f34a60>,0.0,3,512,0.1037735864520073,8,0.12144702672958375,1.0,cone
38,<function dropout at 0x7f2283f34a60>,0.0,3,512,0.9688392877578735,8,0.9930232465267181,0.1,cone
39,<function dropout at 0x7f2283f34a60>,0.0,3,512,0.9671239852905273,8,0.9909560680389405,0.01,cone
40,<function dropout at 0x7f2283f34a60>,0.0,3,512,0.1037735864520073,16,0.12144702672958375,10.0,cone
41,<function dropout at 0x7f2283f34a60>,0.0,3,512,0.1037735864520073,16,0.12144702672958375,1.0,cone
42,<function dropout at 0x7f2283f34a60>,0.0,3,512,0.9691251516342163,16,0.992334222793579,0.1,cone
43,<function dropout at 0x7f2283f34a60>,0.0,3,512,0.9699827432632446,16,0.9903531312942506,0.01,cone
44,<function dropout at 0x7f2283f34a60>,0.0,3,512,0.1037735864520073,32,0.12144702672958375,10.0,cone
45,<function dropout at 0x7f2283f34a60>,0.0,3,512,0.1037735864520073,32,0.12144702672958375,1.0,cone
46,<function dropout at 0x7f2283f34a60>,0.0,3,512,0.43138933181762695,32,0.4754522055387497,0.1,cone
47,<function dropout at 0x7f2283f34a60>,0.0,3,512,0.9674099683761597,32,0.9906976580619813,0.01,cone
48,<function dropout at 0x7f2283f34a60>,0.0,3,1024,0.1037735864520073,2,0.12144702672958375,10.0,cone
49,<function dropout at 0x7f2283f34a60>,0.0,3,1024,0.10405945777893066,2,0.0913006067276001,1.0,cone
50,<function dropout at 0x7f2283f34a60>,0.0,3,1024,0.9725556969642639,2,0.9929370880126953,0.1,cone
51,<function dropout at 0x7f2283f34a60>,0.0,3,1024,0.9668381810188293,2,0.9887166142463684,0.01,cone
52,<function dropout at 0x7f2283f34a60>,0.0,3,1024,0.1037735864520073,3,0.12144702672958375,10.0,cone
53,<function dropout at 0x7f2283f34a60>,0.0,3,1024,0.1037735864520073,3,0.12144702672958375,1.0,cone
54,<function dropout at 0x7f2283f34a60>,0.0,3,1024,0.968267560005188,3,0.9937984824180601,0.1,cone
55,<function dropout at 0x7f2283f34a60>,0.0,3,1024,0.9676957130432129,3,0.9931093454360962,0.01,cone
56,<function dropout at 0x7f2283f34a60>,0.0,3,1024,0.1037735790014267,4,0.12144702672958375,10.0,cone
