,testAccuracy,nlayers,dR,activationFn,layerForm,learningrate,dropoutFn,nstart,valAccuracy
0,0.1538461595773697,2,0.0,3,rect,10.0,<function dropout at 0x7f9364d23a60>,256,0.10000000149011613
1,0.1538461595773697,2,0.0,3,rect,10.0,<function dropout at 0x7f9364d23a60>,512,0.17000000253319744
2,0.1538461595773697,2,0.0,3,rect,10.0,<function dropout at 0x7f9364d23a60>,1024,0.10000000149011613
3,0.769230842590332,2,0.0,3,rect,1.0,<function dropout at 0x7f9364d23a60>,256,0.8000000119209291
4,0.1538461595773697,2,0.0,3,rect,1.0,<function dropout at 0x7f9364d23a60>,512,0.17000000253319744
5,0.1538461595773697,2,0.0,3,rect,1.0,<function dropout at 0x7f9364d23a60>,1024,0.10000000149011613
6,0.9230769276618958,2,0.0,3,rect,0.1,<function dropout at 0x7f9364d23a60>,256,0.7000000476837157
7,0.9230769276618958,2,0.0,3,rect,0.1,<function dropout at 0x7f9364d23a60>,512,0.7100000441074371
8,0.9615384936332703,2,0.0,3,rect,0.1,<function dropout at 0x7f9364d23a60>,1024,0.6800000369548798
9,0.9230769276618958,2,0.0,3,rect,0.01,<function dropout at 0x7f9364d23a60>,256,0.5600000143051148
10,0.9230769276618958,2,0.0,3,rect,0.01,<function dropout at 0x7f9364d23a60>,512,0.6000000238418579
11,0.9230769276618958,2,0.0,3,rect,0.01,<function dropout at 0x7f9364d23a60>,1024,0.6300000309944153
12,0.1538461595773697,2,0.5,3,rect,10.0,<function dropout at 0x7f9364d23a60>,256,0.10000000149011613
13,0.1538461595773697,2,0.5,3,rect,10.0,<function dropout at 0x7f9364d23a60>,512,0.10000000149011613
14,0.1538461595773697,2,0.5,3,rect,10.0,<function dropout at 0x7f9364d23a60>,1024,0.10000000149011613
15,0.1538461595773697,2,0.5,3,rect,1.0,<function dropout at 0x7f9364d23a60>,256,0.17000000253319744
16,0.1538461595773697,2,0.5,3,rect,1.0,<function dropout at 0x7f9364d23a60>,512,0.10000000149011613
17,0.1538461595773697,2,0.5,3,rect,1.0,<function dropout at 0x7f9364d23a60>,1024,0.10000000149011613
18,0.9230769276618958,2,0.5,3,rect,0.1,<function dropout at 0x7f9364d23a60>,256,0.6300000309944153
19,0.884615421295166,2,0.5,3,rect,0.1,<function dropout at 0x7f9364d23a60>,512,0.6400000303983688
20,0.9230769276618958,2,0.5,3,rect,0.1,<function dropout at 0x7f9364d23a60>,1024,0.6600000321865082
21,0.9230769276618958,2,0.5,3,rect,0.01,<function dropout at 0x7f9364d23a60>,256,0.670000034570694
22,0.9230769276618958,2,0.5,3,rect,0.01,<function dropout at 0x7f9364d23a60>,512,0.5700000166893007
23,0.884615421295166,2,0.5,3,rect,0.01,<function dropout at 0x7f9364d23a60>,1024,0.5600000143051148
24,0.1538461595773697,3,0.0,3,rect,10.0,<function dropout at 0x7f9364d23a60>,256,0.10000000149011613
25,0.1538461595773697,3,0.0,3,rect,10.0,<function dropout at 0x7f9364d23a60>,512,0.10000000149011613
26,0.1538461595773697,3,0.0,3,rect,10.0,<function dropout at 0x7f9364d23a60>,1024,0.10000000149011613
27,0.1538461595773697,3,0.0,3,rect,1.0,<function dropout at 0x7f9364d23a60>,256,0.10000000149011613
28,0.1538461595773697,3,0.0,3,rect,1.0,<function dropout at 0x7f9364d23a60>,512,0.10000000149011613
29,0.1538461595773697,3,0.0,3,rect,1.0,<function dropout at 0x7f9364d23a60>,1024,0.10000000149011613
30,0.9615384936332703,3,0.0,3,rect,0.1,<function dropout at 0x7f9364d23a60>,256,0.7000000476837157
31,0.9230769276618958,3,0.0,3,rect,0.1,<function dropout at 0x7f9364d23a60>,512,0.7200000405311584
32,0.9615384936332703,3,0.0,3,rect,0.1,<function dropout at 0x7f9364d23a60>,1024,0.6700000405311585
33,0.884615421295166,3,0.0,3,rect,0.01,<function dropout at 0x7f9364d23a60>,256,0.6200000286102295
34,0.9230769276618958,3,0.0,3,rect,0.01,<function dropout at 0x7f9364d23a60>,512,0.6600000202655792
35,0.9230769276618958,3,0.0,3,rect,0.01,<function dropout at 0x7f9364d23a60>,1024,0.7100000381469725
36,0.1538461595773697,3,0.5,3,rect,10.0,<function dropout at 0x7f9364d23a60>,256,0.10000000149011613
37,0.1538461595773697,3,0.5,3,rect,10.0,<function dropout at 0x7f9364d23a60>,512,0.10000000149011613
38,0.1538461595773697,3,0.5,3,rect,10.0,<function dropout at 0x7f9364d23a60>,1024,0.10000000149011613
39,0.1538461595773697,3,0.5,3,rect,1.0,<function dropout at 0x7f9364d23a60>,256,0.11000000163912775
40,0.1538461595773697,3,0.5,3,rect,1.0,<function dropout at 0x7f9364d23a60>,512,0.10000000149011613
41,0.1538461595773697,3,0.5,3,rect,1.0,<function dropout at 0x7f9364d23a60>,1024,0.10000000149011613
42,0.8461539149284363,3,0.5,3,rect,0.1,<function dropout at 0x7f9364d23a60>,256,0.6700000137090684
43,0.8076924085617065,3,0.5,3,rect,0.1,<function dropout at 0x7f9364d23a60>,512,0.5100000135600566
44,0.1538461595773697,3,0.5,3,rect,0.1,<function dropout at 0x7f9364d23a60>,1024,0.25000000000000006
45,0.8461539149284363,3,0.5,3,rect,0.01,<function dropout at 0x7f9364d23a60>,256,0.6300000250339508
46,0.884615421295166,3,0.5,3,rect,0.01,<function dropout at 0x7f9364d23a60>,512,0.5700000166893006
47,0.9615384936332703,3,0.5,3,rect,0.01,<function dropout at 0x7f9364d23a60>,1024,0.6100000083446503
48,0.1538461595773697,4,0.0,3,rect,10.0,<function dropout at 0x7f9364d23a60>,256,0.10000000149011613
49,0.1538461595773697,4,0.0,3,rect,10.0,<function dropout at 0x7f9364d23a60>,512,0.10000000149011613
50,0.1538461595773697,4,0.0,3,rect,10.0,<function dropout at 0x7f9364d23a60>,1024,0.10000000149011613
51,0.1538461595773697,4,0.0,3,rect,1.0,<function dropout at 0x7f9364d23a60>,256,0.10000000149011613
52,0.1538461595773697,4,0.0,3,rect,1.0,<function dropout at 0x7f9364d23a60>,512,0.10000000149011613
53,0.1538461595773697,4,0.0,3,rect,1.0,<function dropout at 0x7f9364d23a60>,1024,0.10000000149011613
54,0.9615384936332703,4,0.0,3,rect,0.1,<function dropout at 0x7f9364d23a60>,256,0.69000004529953
55,0.9615384936332703,4,0.0,3,rect,0.1,<function dropout at 0x7f9364d23a60>,512,0.7400000333786011
56,0.9230769276618958,4,0.0,3,rect,0.1,<function dropout at 0x7f9364d23a60>,1024,0.5000000111758709
57,0.9230769276618958,4,0.0,3,rect,0.01,<function dropout at 0x7f9364d23a60>,256,0.7000000476837157
58,0.9230769276618958,4,0.0,3,rect,0.01,<function dropout at 0x7f9364d23a60>,512,0.7000000476837157
59,0.9230769276618958,4,0.0,3,rect,0.01,<function dropout at 0x7f9364d23a60>,1024,0.7000000476837157
60,0.1538461595773697,4,0.5,3,rect,10.0,<function dropout at 0x7f9364d23a60>,256,0.10000000149011613
61,0.1538461595773697,4,0.5,3,rect,10.0,<function dropout at 0x7f9364d23a60>,512,0.10000000149011613
62,0.1538461595773697,4,0.5,3,rect,10.0,<function dropout at 0x7f9364d23a60>,1024,0.10000000149011613
63,0.1538461595773697,4,0.5,3,rect,1.0,<function dropout at 0x7f9364d23a60>,256,0.10000000149011613
64,0.1538461595773697,4,0.5,3,rect,1.0,<function dropout at 0x7f9364d23a60>,512,0.10000000149011613
65,0.1538461595773697,4,0.5,3,rect,1.0,<function dropout at 0x7f9364d23a60>,1024,0.10000000149011613
66,0.1538461595773697,4,0.5,3,rect,0.1,<function dropout at 0x7f9364d23a60>,256,0.4100000090897082
67,0.1538461595773697,4,0.5,3,rect,0.1,<function dropout at 0x7f9364d23a60>,512,0.2000000029802323
68,0.1538461595773697,4,0.5,3,rect,0.1,<function dropout at 0x7f9364d23a60>,1024,0.17000000253319744
69,0.9230769276618958,4,0.5,3,rect,0.01,<function dropout at 0x7f9364d23a60>,256,0.7400000274181365
70,0.9615384936332703,4,0.5,3,rect,0.01,<function dropout at 0x7f9364d23a60>,512,0.5900000095367433
71,0.9230769872665405,4,0.5,3,rect,0.01,<function dropout at 0x7f9364d23a60>,1024,0.5200000047683716
72,0.1538461595773697,8,0.0,3,rect,10.0,<function dropout at 0x7f9364d23a60>,256,0.10000000149011613
73,0.1538461595773697,8,0.0,3,rect,10.0,<function dropout at 0x7f9364d23a60>,512,0.10000000149011613
74,0.1538461595773697,8,0.0,3,rect,10.0,<function dropout at 0x7f9364d23a60>,1024,0.10000000149011613
75,0.1538461595773697,8,0.0,3,rect,1.0,<function dropout at 0x7f9364d23a60>,256,0.10000000149011613
76,0.1538461595773697,8,0.0,3,rect,1.0,<function dropout at 0x7f9364d23a60>,512,0.10000000149011613
77,0.1538461595773697,8,0.0,3,rect,1.0,<function dropout at 0x7f9364d23a60>,1024,0.10000000149011613
78,0.884615421295166,8,0.0,3,rect,0.1,<function dropout at 0x7f9364d23a60>,256,0.7200000226497649
79,0.1538461595773697,8,0.0,3,rect,0.1,<function dropout at 0x7f9364d23a60>,512,0.13000000193715097
80,0.1538461595773697,8,0.0,3,rect,0.1,<function dropout at 0x7f9364d23a60>,1024,0.15000000372529035
81,0.9230769276618958,8,0.0,3,rect,0.01,<function dropout at 0x7f9364d23a60>,256,0.650000023841858
82,0.9230769276618958,8,0.0,3,rect,0.01,<function dropout at 0x7f9364d23a60>,512,0.7000000476837157
83,0.9230769276618958,8,0.0,3,rect,0.01,<function dropout at 0x7f9364d23a60>,1024,0.7700000226497651
84,0.1538461595773697,8,0.5,3,rect,10.0,<function dropout at 0x7f9364d23a60>,256,0.10000000149011613
85,0.1538461595773697,8,0.5,3,rect,10.0,<function dropout at 0x7f9364d23a60>,512,0.10000000149011613
86,0.1538461595773697,8,0.5,3,rect,10.0,<function dropout at 0x7f9364d23a60>,1024,0.10000000149011613
87,0.1538461595773697,8,0.5,3,rect,1.0,<function dropout at 0x7f9364d23a60>,256,0.10000000149011613
88,0.1538461595773697,8,0.5,3,rect,1.0,<function dropout at 0x7f9364d23a60>,512,0.10000000149011613
89,0.1538461595773697,8,0.5,3,rect,1.0,<function dropout at 0x7f9364d23a60>,1024,0.10000000149011613
90,0.1538461595773697,8,0.5,3,rect,0.1,<function dropout at 0x7f9364d23a60>,256,0.10000000149011613
91,0.1538461595773697,8,0.5,3,rect,0.1,<function dropout at 0x7f9364d23a60>,512,0.10000000149011613
92,0.1538461595773697,8,0.5,3,rect,0.1,<function dropout at 0x7f9364d23a60>,1024,0.10000000149011613
