,dR,dropoutFn,valAccuracy,testAccuracy,nstart,learningrate,nlayers,layerForm,activationFn
0,0.0,<function dropout at 0x7f5c351a1a60>,0.38461542129516596,0.576923131942749,256,10.0,2,cone,3
1,0.0,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,256,10.0,3,cone,3
2,0.0,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,256,10.0,4,cone,3
3,0.0,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,256,10.0,8,cone,3
4,0.0,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,256,10.0,16,cone,3
5,0.0,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,256,10.0,32,cone,3
6,0.0,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,256,1.0,2,cone,3
7,0.0,<function dropout at 0x7f5c351a1a60>,0.16923077702522277,0.11538462340831757,256,1.0,3,cone,3
8,0.0,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,256,1.0,4,cone,3
9,0.0,<function dropout at 0x7f5c351a1a60>,0.392307724058628,0.3076923191547394,256,1.0,8,cone,3
10,0.0,<function dropout at 0x7f5c351a1a60>,0.40769234299659723,0.576923131942749,256,1.0,16,cone,3
11,0.0,<function dropout at 0x7f5c351a1a60>,0.4230769574642181,0.576923131942749,256,1.0,32,cone,3
12,0.0,<function dropout at 0x7f5c351a1a60>,0.7461539089679717,0.8076924085617065,256,0.1,2,cone,3
13,0.0,<function dropout at 0x7f5c351a1a60>,0.6615384876728057,0.692307710647583,256,0.1,3,cone,3
14,0.0,<function dropout at 0x7f5c351a1a60>,0.7846154451370239,0.769230842590332,256,0.1,4,cone,3
15,0.0,<function dropout at 0x7f5c351a1a60>,0.7538461923599241,0.6538461446762085,256,0.1,8,cone,3
16,0.0,<function dropout at 0x7f5c351a1a60>,0.6615384936332702,0.692307710647583,256,0.1,16,cone,3
17,0.0,<function dropout at 0x7f5c351a1a60>,0.430769258737564,0.576923131942749,256,0.1,32,cone,3
18,0.0,<function dropout at 0x7f5c351a1a60>,0.6769231081008911,0.692307710647583,256,0.01,2,cone,3
19,0.0,<function dropout at 0x7f5c351a1a60>,0.6923077106475829,0.769230842590332,256,0.01,3,cone,3
20,0.0,<function dropout at 0x7f5c351a1a60>,0.6153846979141235,0.769230842590332,256,0.01,4,cone,3
21,0.0,<function dropout at 0x7f5c351a1a60>,0.6153846979141235,0.7307692766189575,256,0.01,8,cone,3
22,0.0,<function dropout at 0x7f5c351a1a60>,0.676923108100891,0.8076923489570618,256,0.01,16,cone,3
23,0.0,<function dropout at 0x7f5c351a1a60>,0.6846154034137725,0.769230842590332,256,0.01,32,cone,3
24,0.0,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,10.0,2,cone,3
25,0.0,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,10.0,3,cone,3
26,0.0,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,10.0,4,cone,3
27,0.0,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,10.0,8,cone,3
28,0.0,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,10.0,16,cone,3
29,0.0,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,10.0,32,cone,3
30,0.0,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,1.0,2,cone,3
31,0.0,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,1.0,3,cone,3
32,0.0,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,1.0,4,cone,3
33,0.0,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,1.0,8,cone,3
34,0.0,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,1.0,16,cone,3
35,0.0,<function dropout at 0x7f5c351a1a60>,0.41538465023040766,0.576923131942749,512,1.0,32,cone,3
36,0.0,<function dropout at 0x7f5c351a1a60>,0.7538462102413177,0.6153846383094788,512,0.1,2,cone,3
37,0.0,<function dropout at 0x7f5c351a1a60>,0.7538462102413177,0.692307710647583,512,0.1,3,cone,3
38,0.0,<function dropout at 0x7f5c351a1a60>,0.6384615838527679,0.692307710647583,512,0.1,4,cone,3
39,0.0,<function dropout at 0x7f5c351a1a60>,0.6692307949066161,0.769230842590332,512,0.1,8,cone,3
40,0.0,<function dropout at 0x7f5c351a1a60>,0.6461538910865783,0.6153846383094788,512,0.1,16,cone,3
41,0.0,<function dropout at 0x7f5c351a1a60>,0.40769234299659723,0.576923131942749,512,0.1,32,cone,3
42,0.0,<function dropout at 0x7f5c351a1a60>,0.7230769634246824,0.8461539149284363,512,0.01,2,cone,3
43,0.0,<function dropout at 0x7f5c351a1a60>,0.7692308425903319,0.8076923489570618,512,0.01,3,cone,3
44,0.0,<function dropout at 0x7f5c351a1a60>,0.7692308425903319,0.769230842590332,512,0.01,4,cone,3
45,0.0,<function dropout at 0x7f5c351a1a60>,0.6846154034137725,0.7692307829856873,512,0.01,8,cone,3
