,dropoutFn,learningrate,layerForm,nstart,activationFn,dR,nlayers,valAccuracy,testAccuracy
0,<function dropout at 0x7f68bf785a60>,10.0,rect,256,3,0.0,2,0.18181818723678586,0.3076923191547394
1,<function dropout at 0x7f68bf785a60>,10.0,rect,256,3,0.0,3,0.18181818723678586,0.3076923191547394
2,<function dropout at 0x7f68bf785a60>,10.0,rect,256,3,0.0,4,0.18181818723678586,0.3076923191547394
3,<function dropout at 0x7f68bf785a60>,10.0,rect,256,3,0.0,8,0.18181818723678586,0.3076923191547394
4,<function dropout at 0x7f68bf785a60>,10.0,rect,256,3,0.0,16,0.18181818723678586,0.3076923191547394
5,<function dropout at 0x7f68bf785a60>,10.0,rect,256,3,0.0,32,0.18181818723678586,0.3076923191547394
6,<function dropout at 0x7f68bf785a60>,10.0,rect,256,3,0.5,2,0.18181818723678586,0.3076923191547394
7,<function dropout at 0x7f68bf785a60>,10.0,rect,256,3,0.5,3,0.18181818723678586,0.3076923191547394
8,<function dropout at 0x7f68bf785a60>,10.0,rect,256,3,0.5,4,0.18181818723678586,0.3076923191547394
9,<function dropout at 0x7f68bf785a60>,10.0,rect,256,3,0.5,8,0.18181818723678586,0.3076923191547394
10,<function dropout at 0x7f68bf785a60>,10.0,rect,256,3,0.5,16,0.18181818723678586,0.3076923191547394
11,<function dropout at 0x7f68bf785a60>,10.0,rect,256,3,0.5,32,0.18181818723678586,0.3076923191547394
12,<function dropout at 0x7f68bf785a60>,10.0,rect,512,3,0.0,2,0.20000000596046444,0.3076923191547394
13,<function dropout at 0x7f68bf785a60>,10.0,rect,512,3,0.0,3,0.18181818723678586,0.3076923191547394
14,<function dropout at 0x7f68bf785a60>,10.0,rect,512,3,0.0,4,0.18181818723678586,0.3076923191547394
15,<function dropout at 0x7f68bf785a60>,10.0,rect,512,3,0.0,8,0.18181818723678586,0.3076923191547394
16,<function dropout at 0x7f68bf785a60>,10.0,rect,512,3,0.0,16,0.18181818723678586,0.3076923191547394
17,<function dropout at 0x7f68bf785a60>,10.0,rect,512,3,0.0,32,0.18181818723678586,0.3076923191547394
18,<function dropout at 0x7f68bf785a60>,10.0,rect,512,3,0.5,2,0.18181818723678586,0.3076923191547394
19,<function dropout at 0x7f68bf785a60>,10.0,rect,512,3,0.5,3,0.18181818723678586,0.3076923191547394
20,<function dropout at 0x7f68bf785a60>,10.0,rect,512,3,0.5,4,0.18181818723678586,0.3076923191547394
21,<function dropout at 0x7f68bf785a60>,10.0,rect,512,3,0.5,8,0.18181818723678586,0.3076923191547394
22,<function dropout at 0x7f68bf785a60>,10.0,rect,512,3,0.5,16,0.18181818723678586,0.3076923191547394
23,<function dropout at 0x7f68bf785a60>,10.0,rect,512,3,0.5,32,0.18181818723678586,0.3076923191547394
24,<function dropout at 0x7f68bf785a60>,10.0,rect,1024,3,0.0,2,0.18181818723678586,0.3076923191547394
25,<function dropout at 0x7f68bf785a60>,10.0,rect,1024,3,0.0,3,0.18181818723678586,0.3076923191547394
26,<function dropout at 0x7f68bf785a60>,10.0,rect,1024,3,0.0,4,0.18181818723678586,0.3076923191547394
27,<function dropout at 0x7f68bf785a60>,10.0,rect,1024,3,0.0,8,0.18181818723678586,0.3076923191547394
28,<function dropout at 0x7f68bf785a60>,10.0,rect,1024,3,0.0,16,0.18181818723678586,0.3076923191547394
29,<function dropout at 0x7f68bf785a60>,10.0,rect,1024,3,0.0,32,0.18181818723678586,0.3076923191547394
30,<function dropout at 0x7f68bf785a60>,10.0,rect,1024,3,0.5,2,0.18181818723678586,0.3076923191547394
31,<function dropout at 0x7f68bf785a60>,10.0,rect,1024,3,0.5,3,0.18181818723678586,0.3076923191547394
32,<function dropout at 0x7f68bf785a60>,10.0,rect,1024,3,0.5,4,0.18181818723678586,0.3076923191547394
