,layerForm,testAccuracy,dR,nlayers,valAccuracy,nstart,dropoutFn,learningrate,activationFn
0,cone,0.21739131212234497,0.0,2,0.14285714924335477,256,<function dropout at 0x7f657ef23a60>,10.0,3
1,cone,0.21739131212234497,0.0,2,0.1857142940163612,256,<function dropout at 0x7f657ef23a60>,1.0,3
2,cone,0.6086956262588501,0.0,2,0.6642857432365417,256,<function dropout at 0x7f657ef23a60>,0.1,3
3,cone,0.6086956262588501,0.0,2,0.7142857313156127,256,<function dropout at 0x7f657ef23a60>,0.01,3
4,cone,0.21739131212234497,0.0,2,0.14285714924335477,512,<function dropout at 0x7f657ef23a60>,10.0,3
5,cone,0.21739131212234497,0.0,2,0.20714286565780637,512,<function dropout at 0x7f657ef23a60>,1.0,3
6,cone,0.5652173757553101,0.0,2,0.6714285969734191,512,<function dropout at 0x7f657ef23a60>,0.1,3
7,cone,0.5652173757553101,0.0,2,0.6428571939468385,512,<function dropout at 0x7f657ef23a60>,0.01,3
8,cone,0.21739131212234497,0.0,2,0.19285715371370313,1024,<function dropout at 0x7f657ef23a60>,10.0,3
9,cone,0.5652173757553101,0.0,2,0.7142857313156127,1024,<function dropout at 0x7f657ef23a60>,1.0,3
10,cone,0.6086956262588501,0.0,2,0.6214285969734193,1024,<function dropout at 0x7f657ef23a60>,0.1,3
11,cone,0.6521738767623901,0.0,2,0.6285714685916901,1024,<function dropout at 0x7f657ef23a60>,0.01,3
12,cone,0.21739131212234497,0.0,3,0.14285714924335477,256,<function dropout at 0x7f657ef23a60>,10.0,3
13,cone,0.5652173757553101,0.0,3,0.4857142984867096,256,<function dropout at 0x7f657ef23a60>,1.0,3
14,cone,0.5652173757553101,0.0,3,0.6142857432365418,256,<function dropout at 0x7f657ef23a60>,0.1,3
15,cone,0.6086956262588501,0.0,3,0.6214286148548127,256,<function dropout at 0x7f657ef23a60>,0.01,3
16,cone,0.21739131212234497,0.0,3,0.14285714924335477,512,<function dropout at 0x7f657ef23a60>,10.0,3
17,cone,0.21739131212234497,0.0,3,0.16428572088479992,512,<function dropout at 0x7f657ef23a60>,1.0,3
18,cone,0.5652173757553101,0.0,3,0.5571428835391998,512,<function dropout at 0x7f657ef23a60>,0.1,3
19,cone,0.5652173757553101,0.0,3,0.5071428596973419,512,<function dropout at 0x7f657ef23a60>,0.01,3
20,cone,0.21739131212234497,0.0,3,0.14285714924335477,1024,<function dropout at 0x7f657ef23a60>,10.0,3
21,cone,0.21739131212234497,0.0,3,0.15000000745058056,1024,<function dropout at 0x7f657ef23a60>,1.0,3
22,cone,0.6086956262588501,0.0,3,0.5928571701049805,1024,<function dropout at 0x7f657ef23a60>,0.1,3
23,cone,0.6086956262588501,0.0,3,0.6000000357627869,1024,<function dropout at 0x7f657ef23a60>,0.01,3
24,cone,0.21739131212234497,0.0,4,0.14285714924335477,256,<function dropout at 0x7f657ef23a60>,10.0,3
25,cone,0.21739131212234497,0.0,4,0.14285714924335477,256,<function dropout at 0x7f657ef23a60>,1.0,3
26,cone,0.5652173757553101,0.0,4,0.6571428894996644,256,<function dropout at 0x7f657ef23a60>,0.1,3
27,cone,0.5652173757553101,0.0,4,0.6142857551574709,256,<function dropout at 0x7f657ef23a60>,0.01,3
28,cone,0.21739131212234497,0.0,4,0.14285714924335477,512,<function dropout at 0x7f657ef23a60>,10.0,3
29,cone,0.21739131212234497,0.0,4,0.14285714924335477,512,<function dropout at 0x7f657ef23a60>,1.0,3
30,cone,0.52173912525177,0.0,4,0.5857143044471741,512,<function dropout at 0x7f657ef23a60>,0.1,3
31,cone,0.47826087474823,0.0,4,0.6857143163681031,512,<function dropout at 0x7f657ef23a60>,0.01,3
32,cone,0.21739131212234497,0.0,4,0.14285714924335477,1024,<function dropout at 0x7f657ef23a60>,10.0,3
33,cone,0.5652173757553101,0.0,4,0.5428571566939354,1024,<function dropout at 0x7f657ef23a60>,1.0,3
34,cone,0.695652186870575,0.0,4,0.5642857372760772,1024,<function dropout at 0x7f657ef23a60>,0.1,3
35,cone,0.52173912525177,0.0,4,0.7071428775787353,1024,<function dropout at 0x7f657ef23a60>,0.01,3
36,cone,0.21739131212234497,0.0,8,0.14285714924335477,256,<function dropout at 0x7f657ef23a60>,10.0,3
37,cone,0.21739131212234497,0.0,8,0.14285714924335477,256,<function dropout at 0x7f657ef23a60>,1.0,3
38,cone,0.6521738767623901,0.0,8,0.5928571581840515,256,<function dropout at 0x7f657ef23a60>,0.1,3
39,cone,0.5652173757553101,0.0,8,0.6214286148548127,256,<function dropout at 0x7f657ef23a60>,0.01,3
40,cone,0.5652173757553101,0.0,8,0.7142857313156127,512,<function dropout at 0x7f657ef23a60>,10.0,3
41,cone,0.21739131212234497,0.0,8,0.14285714924335477,512,<function dropout at 0x7f657ef23a60>,1.0,3
42,cone,0.5652173757553101,0.0,8,0.5785714566707612,512,<function dropout at 0x7f657ef23a60>,0.1,3
43,cone,0.6086956262588501,0.0,8,0.6071428894996642,512,<function dropout at 0x7f657ef23a60>,0.01,3
44,cone,0.21739131212234497,0.0,8,0.14285714924335477,1024,<function dropout at 0x7f657ef23a60>,10.0,3
45,cone,0.5652173757553101,0.0,8,0.7142857313156127,1024,<function dropout at 0x7f657ef23a60>,1.0,3
46,cone,0.5652173757553101,0.0,8,0.5714285969734191,1024,<function dropout at 0x7f657ef23a60>,0.1,3
47,cone,0.52173912525177,0.0,8,0.6285714745521547,1024,<function dropout at 0x7f657ef23a60>,0.01,3
48,cone,0.21739131212234497,0.0,16,0.14285714924335477,256,<function dropout at 0x7f657ef23a60>,10.0,3
49,cone,0.21739131212234497,0.0,16,0.14285714924335477,256,<function dropout at 0x7f657ef23a60>,1.0,3
50,cone,0.47826087474823,0.0,16,0.6571428954601288,256,<function dropout at 0x7f657ef23a60>,0.1,3
51,cone,0.739130437374115,0.0,16,0.7142857313156128,256,<function dropout at 0x7f657ef23a60>,0.01,3
52,cone,0.21739131212234497,0.0,16,0.14285714924335477,512,<function dropout at 0x7f657ef23a60>,10.0,3
