,valAccuracy,nstart,activationFn,learningrate,testAccuracy,dR,dropoutFn,layerForm,nlayers
0,0.11000000163912775,256,3,10.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,2
1,0.10000000149011613,256,3,10.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,3
2,0.10000000149011613,256,3,10.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,4
3,0.10000000149011613,256,3,10.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,8
4,0.10000000149011613,256,3,10.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,16
5,0.10000000149011613,256,3,10.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,32
6,0.11000000163912775,256,3,10.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,2
7,0.10000000149011613,256,3,10.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,3
8,0.10000000149011613,256,3,10.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,4
9,0.10000000149011613,256,3,10.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,8
10,0.10000000149011613,256,3,10.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,16
11,0.10000000149011613,256,3,10.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,32
12,0.10000000149011613,256,3,1.0,0.07692307978868484,0.0,<function dropout at 0x7f44c485aa60>,cone,2
13,0.11000000163912775,256,3,1.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,3
14,0.10000000149011613,256,3,1.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,4
15,0.20000000372529034,256,3,1.0,0.07692307978868484,0.0,<function dropout at 0x7f44c485aa60>,cone,8
16,0.10000000149011613,256,3,1.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,16
17,0.10000000149011613,256,3,1.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,32
18,0.10000000149011613,256,3,1.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,2
19,0.12000000253319743,256,3,1.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,3
20,0.10000000149011613,256,3,1.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,4
21,0.10000000149011613,256,3,1.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,8
22,0.10000000149011613,256,3,1.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,16
23,0.10000000149011613,256,3,1.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,32
24,0.5100000023841857,256,3,0.1,0.692307710647583,0.0,<function dropout at 0x7f44c485aa60>,cone,2
25,0.550000011920929,256,3,0.1,0.5384615659713745,0.0,<function dropout at 0x7f44c485aa60>,cone,3
26,0.560000017285347,256,3,0.1,0.6153846383094788,0.0,<function dropout at 0x7f44c485aa60>,cone,4
27,0.5100000023841857,256,3,0.1,0.576923131942749,0.0,<function dropout at 0x7f44c485aa60>,cone,8
28,0.5600000143051147,256,3,0.1,0.6153846383094788,0.0,<function dropout at 0x7f44c485aa60>,cone,16
29,0.31000001132488253,256,3,0.1,0.42307692766189575,0.0,<function dropout at 0x7f44c485aa60>,cone,32
30,0.4700000077486039,256,3,0.1,0.7307692766189575,0.5,<function dropout at 0x7f44c485aa60>,cone,2
31,0.560000017285347,256,3,0.1,0.6923077702522278,0.5,<function dropout at 0x7f44c485aa60>,cone,3
32,0.3200000107288361,256,3,0.1,0.6538462042808533,0.5,<function dropout at 0x7f44c485aa60>,cone,4
33,0.11000000163912775,256,3,0.1,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,8
34,0.10000000149011613,256,3,0.1,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,16
35,0.10000000149011613,256,3,0.1,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,32
36,0.7000000476837157,256,3,0.01,0.692307710647583,0.0,<function dropout at 0x7f44c485aa60>,cone,2
37,0.49999999999999994,256,3,0.01,0.6923077702522278,0.0,<function dropout at 0x7f44c485aa60>,cone,3
38,0.49999999999999994,256,3,0.01,0.6538462042808533,0.0,<function dropout at 0x7f44c485aa60>,cone,4
39,0.49999999999999994,256,3,0.01,0.6538461446762085,0.0,<function dropout at 0x7f44c485aa60>,cone,8
40,0.4200000047683717,256,3,0.01,0.6153846383094788,0.0,<function dropout at 0x7f44c485aa60>,cone,16
41,0.4100000083446504,256,3,0.01,0.5,0.0,<function dropout at 0x7f44c485aa60>,cone,32
42,0.40000000596046453,256,3,0.01,0.692307710647583,0.5,<function dropout at 0x7f44c485aa60>,cone,2
43,0.45000000298023224,256,3,0.01,0.7307692766189575,0.5,<function dropout at 0x7f44c485aa60>,cone,3
44,0.30000001192092896,256,3,0.01,0.6538462042808533,0.5,<function dropout at 0x7f44c485aa60>,cone,4
45,0.2900000110268593,256,3,0.01,0.5000000596046448,0.5,<function dropout at 0x7f44c485aa60>,cone,8
46,0.26000000685453417,256,3,0.01,0.192307710647583,0.5,<function dropout at 0x7f44c485aa60>,cone,16
47,0.10000000149011613,256,3,0.01,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,32
48,0.10000000149011613,512,3,10.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,2
49,0.10000000149011613,512,3,10.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,3
50,0.10000000149011613,512,3,10.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,4
51,0.10000000149011613,512,3,10.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,8
52,0.10000000149011613,512,3,10.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,16
53,0.10000000149011613,512,3,10.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,32
54,0.11000000163912775,512,3,10.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,2
55,0.10000000149011613,512,3,10.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,3
56,0.10000000149011613,512,3,10.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,4
57,0.10000000149011613,512,3,10.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,8
58,0.10000000149011613,512,3,10.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,16
59,0.10000000149011613,512,3,10.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,32
60,0.11000000163912775,512,3,1.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,2
61,0.20000000298023227,512,3,1.0,0.5,0.0,<function dropout at 0x7f44c485aa60>,cone,3
62,0.10000000149011613,512,3,1.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,4
63,0.10000000149011613,512,3,1.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,8
64,0.10000000149011613,512,3,1.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,16
65,0.10000000149011613,512,3,1.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,32
66,0.10000000149011613,512,3,1.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,2
67,0.10000000149011613,512,3,1.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,3
68,0.10000000149011613,512,3,1.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,4
69,0.10000000149011613,512,3,1.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,8
70,0.10000000149011613,512,3,1.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,16
71,0.10000000149011613,512,3,1.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,32
72,0.5700000166893006,512,3,0.1,0.6923077702522278,0.0,<function dropout at 0x7f44c485aa60>,cone,2
73,0.5200000047683716,512,3,0.1,0.692307710647583,0.0,<function dropout at 0x7f44c485aa60>,cone,3
74,0.5000000029802322,512,3,0.1,0.6538462042808533,0.0,<function dropout at 0x7f44c485aa60>,cone,4
75,0.490000006556511,512,3,0.1,0.6153846383094788,0.0,<function dropout at 0x7f44c485aa60>,cone,8
76,0.4700000017881393,512,3,0.1,0.576923131942749,0.0,<function dropout at 0x7f44c485aa60>,cone,16
77,0.20000000298023227,512,3,0.1,0.5,0.0,<function dropout at 0x7f44c485aa60>,cone,32
78,0.4500000029802323,512,3,0.1,0.692307710647583,0.5,<function dropout at 0x7f44c485aa60>,cone,2
79,0.43000000417232515,512,3,0.1,0.6538462042808533,0.5,<function dropout at 0x7f44c485aa60>,cone,3
80,0.3000000089406967,512,3,0.1,0.6153846383094788,0.5,<function dropout at 0x7f44c485aa60>,cone,4
81,0.10000000149011613,512,3,0.1,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,8
82,0.10000000149011613,512,3,0.1,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,16
83,0.10000000149011613,512,3,0.1,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,32
84,0.49999999999999994,512,3,0.01,0.7307692766189575,0.0,<function dropout at 0x7f44c485aa60>,cone,2
85,0.46000000834465044,512,3,0.01,0.692307710647583,0.0,<function dropout at 0x7f44c485aa60>,cone,3
86,0.40000000596046453,512,3,0.01,0.7307692766189575,0.0,<function dropout at 0x7f44c485aa60>,cone,4
87,0.49999999999999994,512,3,0.01,0.6538461446762085,0.0,<function dropout at 0x7f44c485aa60>,cone,8
88,0.49999999999999994,512,3,0.01,0.576923131942749,0.0,<function dropout at 0x7f44c485aa60>,cone,16
89,0.35000000894069677,512,3,0.01,0.692307710647583,0.0,<function dropout at 0x7f44c485aa60>,cone,32
90,0.40000000596046453,512,3,0.01,0.769230842590332,0.5,<function dropout at 0x7f44c485aa60>,cone,2
91,0.40000000596046453,512,3,0.01,0.576923131942749,0.5,<function dropout at 0x7f44c485aa60>,cone,3
92,0.46000000536441815,512,3,0.01,0.692307710647583,0.5,<function dropout at 0x7f44c485aa60>,cone,4
93,0.20000000298023227,512,3,0.01,0.5,0.5,<function dropout at 0x7f44c485aa60>,cone,8
94,0.12000000253319743,512,3,0.01,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,16
95,0.10000000149011613,512,3,0.01,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,32
96,0.10000000149011613,1024,3,10.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,2
97,0.10000000149011613,1024,3,10.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,3
98,0.10000000149011613,1024,3,10.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,4
99,0.10000000149011613,1024,3,10.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,8
100,0.10000000149011613,1024,3,10.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,16
101,0.10000000149011613,1024,3,10.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,32
102,0.11000000163912775,1024,3,10.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,2
103,0.10000000149011613,1024,3,10.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,3
104,0.10000000149011613,1024,3,10.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,4
105,0.10000000149011613,1024,3,10.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,8
106,0.10000000149011613,1024,3,10.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,16
107,0.10000000149011613,1024,3,10.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,32
108,0.10000000149011613,1024,3,1.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,2
109,0.11000000163912775,1024,3,1.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,3
110,0.10000000149011613,1024,3,1.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,4
111,0.10000000149011613,1024,3,1.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,8
112,0.10000000149011613,1024,3,1.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,16
113,0.10000000149011613,1024,3,1.0,0.1538461595773697,0.0,<function dropout at 0x7f44c485aa60>,cone,32
114,0.11000000163912775,1024,3,1.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,2
115,0.10000000149011613,1024,3,1.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,3
116,0.10000000149011613,1024,3,1.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,4
117,0.10000000149011613,1024,3,1.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,8
118,0.10000000149011613,1024,3,1.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,16
119,0.10000000149011613,1024,3,1.0,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,32
120,0.5800000220537186,1024,3,0.1,0.6153846979141235,0.0,<function dropout at 0x7f44c485aa60>,cone,2
121,0.6000000268220902,1024,3,0.1,0.6153846979141235,0.0,<function dropout at 0x7f44c485aa60>,cone,3
122,0.6700000405311584,1024,3,0.1,0.6538462042808533,0.0,<function dropout at 0x7f44c485aa60>,cone,4
123,0.6800000429153442,1024,3,0.1,0.6153846383094788,0.0,<function dropout at 0x7f44c485aa60>,cone,8
124,0.44000000655651095,1024,3,0.1,0.5384615659713745,0.0,<function dropout at 0x7f44c485aa60>,cone,16
125,0.2600000083446503,1024,3,0.1,0.6153846383094788,0.0,<function dropout at 0x7f44c485aa60>,cone,32
126,0.6000000178813936,1024,3,0.1,0.576923131942749,0.5,<function dropout at 0x7f44c485aa60>,cone,2
127,0.4100000113248825,1024,3,0.1,0.6153846383094788,0.5,<function dropout at 0x7f44c485aa60>,cone,3
128,0.20000000298023227,1024,3,0.1,0.5,0.5,<function dropout at 0x7f44c485aa60>,cone,4
129,0.10000000149011613,1024,3,0.1,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,8
130,0.10000000149011613,1024,3,0.1,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,16
131,0.10000000149011613,1024,3,0.1,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,32
132,0.5700000166893006,1024,3,0.01,0.769230842590332,0.0,<function dropout at 0x7f44c485aa60>,cone,2
133,0.49999999999999994,1024,3,0.01,0.692307710647583,0.0,<function dropout at 0x7f44c485aa60>,cone,3
134,0.6000000238418579,1024,3,0.01,0.576923131942749,0.0,<function dropout at 0x7f44c485aa60>,cone,4
135,0.49999999999999994,1024,3,0.01,0.7307692766189575,0.0,<function dropout at 0x7f44c485aa60>,cone,8
136,0.46000000238418576,1024,3,0.01,0.6538462042808533,0.0,<function dropout at 0x7f44c485aa60>,cone,16
137,0.4400000035762787,1024,3,0.01,0.6153846979141235,0.0,<function dropout at 0x7f44c485aa60>,cone,32
138,0.6300000339746475,1024,3,0.01,0.6923077702522278,0.5,<function dropout at 0x7f44c485aa60>,cone,2
139,0.4700000017881394,1024,3,0.01,0.6923077702522278,0.5,<function dropout at 0x7f44c485aa60>,cone,3
140,0.3300000101327896,1024,3,0.01,0.7307692766189575,0.5,<function dropout at 0x7f44c485aa60>,cone,4
141,0.3600000083446503,1024,3,0.01,0.384615421295166,0.5,<function dropout at 0x7f44c485aa60>,cone,8
142,0.20000000298023227,1024,3,0.01,0.5,0.5,<function dropout at 0x7f44c485aa60>,cone,16
143,0.10000000149011613,1024,3,0.01,0.1538461595773697,0.5,<function dropout at 0x7f44c485aa60>,cone,32
