,nstart,layerForm,nlayers,dropoutFn,testAccuracy,activationFn,dR,learningrate,valAccuracy
0,256,rect,2,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,10.0,0.7391304373741149
1,256,rect,2,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,1.0,0.7391304373741149
2,256,rect,2,<function dropout at 0x7f19122aaa60>,0.5333333611488342,3,0.0,0.1,0.665217411518097
3,256,rect,2,<function dropout at 0x7f19122aaa60>,0.6222222447395325,3,0.0,0.01,0.6869565308094026
4,256,rect,2,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,10.0,0.7391304373741149
5,256,rect,2,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,1.0,0.7391304373741149
6,256,rect,2,<function dropout at 0x7f19122aaa60>,0.6000000238418579,3,0.5,0.1,0.6521739244461061
7,256,rect,2,<function dropout at 0x7f19122aaa60>,0.6000000238418579,3,0.5,0.01,0.7391304671764373
8,256,rect,3,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,10.0,0.7391304373741149
9,256,rect,3,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,1.0,0.7391304373741149
10,256,rect,3,<function dropout at 0x7f19122aaa60>,0.6000000238418579,3,0.0,0.1,0.6478260934352875
11,256,rect,3,<function dropout at 0x7f19122aaa60>,0.6222222447395325,3,0.0,0.01,0.7652174115180969
12,256,rect,3,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,10.0,0.7391304373741149
13,256,rect,3,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,1.0,0.7391304373741149
14,256,rect,3,<function dropout at 0x7f19122aaa60>,0.35555556416511536,3,0.5,0.1,0.6695652306079863
15,256,rect,3,<function dropout at 0x7f19122aaa60>,0.6888889074325562,3,0.5,0.01,0.6869565367698669
16,256,rect,4,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,10.0,0.7391304373741149
17,256,rect,4,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,1.0,0.7391304373741149
18,256,rect,4,<function dropout at 0x7f19122aaa60>,0.5333333611488342,3,0.0,0.1,0.6565217494964599
19,256,rect,4,<function dropout at 0x7f19122aaa60>,0.6000000238418579,3,0.0,0.01,0.6565217256546021
20,256,rect,4,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,10.0,0.7391304373741149
21,256,rect,4,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,1.0,0.7391304373741149
22,256,rect,4,<function dropout at 0x7f19122aaa60>,0.3333333730697632,3,0.5,0.1,0.6869565248489379
23,256,rect,4,<function dropout at 0x7f19122aaa60>,0.6666666865348816,3,0.5,0.01,0.7347826421260834
24,256,rect,8,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,10.0,0.7391304373741149
25,256,rect,8,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,1.0,0.7391304373741149
26,256,rect,8,<function dropout at 0x7f19122aaa60>,0.5555555820465088,3,0.0,0.1,0.6695652365684509
27,256,rect,8,<function dropout at 0x7f19122aaa60>,0.5555555820465088,3,0.0,0.01,0.665217411518097
28,256,rect,8,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,10.0,0.7391304373741149
29,256,rect,8,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,1.0,0.7391304373741149
