,nstart,nlayers,valAccuracy,activationFn,learningrate,testAccuracy,dropoutFn,dR,layerForm
0,256,2,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
1,256,2,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
2,256,2,0.0017045455053448677,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
3,256,2,0.0005681818351149559,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
4,256,2,0.6267045676708222,3,0.1,0.6324999332427979,<function dropout at 0x7ffbc4e32a60>,0.0,rect
5,256,2,0.6323863744735718,3,0.1,0.6399999856948853,<function dropout at 0x7ffbc4e32a60>,0.5,rect
6,256,2,0.35568183064460757,3,0.01,0.4050000011920929,<function dropout at 0x7ffbc4e32a60>,0.0,rect
7,256,2,0.28465910553932194,3,0.01,0.3349999785423279,<function dropout at 0x7ffbc4e32a60>,0.5,rect
8,256,3,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
9,256,3,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
10,256,3,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
11,256,3,0.0005681818351149559,3,1.0,0.014999999664723873,<function dropout at 0x7ffbc4e32a60>,0.5,rect
12,256,3,0.6636363863945006,3,0.1,0.6825000047683716,<function dropout at 0x7ffbc4e32a60>,0.0,rect
13,256,3,0.612500011920929,3,0.1,0.6374999284744263,<function dropout at 0x7ffbc4e32a60>,0.5,rect
14,256,3,0.49488637149333947,3,0.01,0.5074999928474426,<function dropout at 0x7ffbc4e32a60>,0.0,rect
15,256,3,0.29602274000644685,3,0.01,0.35499998927116394,<function dropout at 0x7ffbc4e32a60>,0.5,rect
16,256,4,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
17,256,4,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
18,256,4,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
19,256,4,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
20,256,4,0.6380682170391082,3,0.1,0.5799999833106995,<function dropout at 0x7ffbc4e32a60>,0.0,rect
21,256,4,0.602840930223465,3,0.1,0.6049999594688416,<function dropout at 0x7ffbc4e32a60>,0.5,rect
22,256,4,0.505681836605072,3,0.01,0.5350000262260437,<function dropout at 0x7ffbc4e32a60>,0.0,rect
