,activationFn,nlayers,layerForm,learningrate,dropoutFn,valAccuracy,dR,nstart,testAccuracy
0,3,2,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,256,0.7272727489471436
1,3,2,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,512,0.7272727489471436
2,3,2,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,1024,0.7272727489471436
3,3,2,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,256,0.7272727489471436
4,3,2,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,512,0.7272727489471436
5,3,2,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,1024,0.7272727489471436
6,3,2,rect,1.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,256,0.7272727489471436
7,3,2,rect,1.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,512,0.7272727489471436
8,3,2,rect,1.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,1024,0.7272727489471436
9,3,2,rect,1.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,256,0.7272727489471436
10,3,2,rect,1.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,512,0.7272727489471436
11,3,2,rect,1.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,1024,0.7272727489471436
12,3,2,rect,0.1,<function dropout at 0x7ff045a4fa60>,0.5800000190734864,0.0,256,0.6363636255264282
13,3,2,rect,0.1,<function dropout at 0x7ff045a4fa60>,0.6200000286102295,0.0,512,0.5909091234207153
14,3,2,rect,0.1,<function dropout at 0x7ff045a4fa60>,0.5800000250339509,0.0,1024,0.6818181872367859
15,3,2,rect,0.1,<function dropout at 0x7ff045a4fa60>,0.5800000190734863,0.5,256,0.5454545617103577
16,3,2,rect,0.1,<function dropout at 0x7ff045a4fa60>,0.5600000202655793,0.5,512,0.5909091234207153
17,3,2,rect,0.1,<function dropout at 0x7ff045a4fa60>,0.5900000303983688,0.5,1024,0.5454545617103577
18,3,2,rect,0.01,<function dropout at 0x7ff045a4fa60>,0.6400000333786011,0.0,256,0.7727273106575012
19,3,2,rect,0.01,<function dropout at 0x7ff045a4fa60>,0.7200000345706938,0.0,512,0.7727273106575012
20,3,2,rect,0.01,<function dropout at 0x7ff045a4fa60>,0.59000001847744,0.0,1024,0.6363636255264282
21,3,2,rect,0.01,<function dropout at 0x7ff045a4fa60>,0.6200000286102295,0.5,256,0.5454545617103577
22,3,2,rect,0.01,<function dropout at 0x7ff045a4fa60>,0.5300000160932541,0.5,512,0.6363636255264282
23,3,2,rect,0.01,<function dropout at 0x7ff045a4fa60>,0.5300000160932542,0.5,1024,0.6818181872367859
24,3,3,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,256,0.7272727489471436
25,3,3,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,512,0.7272727489471436
26,3,3,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,1024,0.7272727489471436
