,nlayers,learningrate,valAccuracy,layerForm,testAccuracy,dropoutFn,activationFn,dR,nstart
0,2,10.0,0.0815217398107052,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.0,256
1,2,10.0,0.0815217398107052,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.0,512
2,2,10.0,0.08152174055576325,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.0,1024
3,2,10.0,0.08152174130082132,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.5,256
4,2,10.0,0.08152174130082132,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.5,512
5,2,10.0,0.08152174055576326,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.5,1024
6,2,1.0,0.08695652037858963,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.0,256
7,2,1.0,0.08369565010070801,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.0,512
8,2,1.0,0.08152174055576326,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.0,1024
9,2,1.0,0.11630434691905978,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.5,256
10,2,1.0,0.08152174055576326,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.5,512
11,2,1.0,0.0815217398107052,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.5,1024
12,2,0.1,0.9347825825214388,rect,0.929648220539093,<function dropout at 0x7fdc1ee7da60>,3,0.0,256
13,2,0.1,0.9418478012084961,rect,0.9346733689308167,<function dropout at 0x7fdc1ee7da60>,3,0.0,512
14,2,0.1,0.9380434393882753,rect,0.9447236061096191,<function dropout at 0x7fdc1ee7da60>,3,0.0,1024
15,2,0.1,0.9396738648414612,rect,0.9396985173225403,<function dropout at 0x7fdc1ee7da60>,3,0.5,256
16,2,0.1,0.9440217077732086,rect,0.9296482801437378,<function dropout at 0x7fdc1ee7da60>,3,0.5,512
17,2,0.1,0.9288043558597565,rect,0.9396984577178955,<function dropout at 0x7fdc1ee7da60>,3,0.5,1024
18,2,0.01,0.896739113330841,rect,0.9195979833602905,<function dropout at 0x7fdc1ee7da60>,3,0.0,256
19,2,0.01,0.9076086521148681,rect,0.9195979833602905,<function dropout at 0x7fdc1ee7da60>,3,0.0,512
20,2,0.01,0.9347826063632966,rect,0.929648220539093,<function dropout at 0x7fdc1ee7da60>,3,0.0,1024
21,2,0.01,0.9233695328235628,rect,0.9371859431266785,<function dropout at 0x7fdc1ee7da60>,3,0.5,256
22,2,0.01,0.9168477773666381,rect,0.9120602607727051,<function dropout at 0x7fdc1ee7da60>,3,0.5,512
23,2,0.01,0.9108694911003111,rect,0.929648220539093,<function dropout at 0x7fdc1ee7da60>,3,0.5,1024
24,3,10.0,0.08152173981070521,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.0,256
25,3,10.0,0.08152174055576325,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.0,512
26,3,10.0,0.08152173981070521,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.0,1024
27,3,10.0,0.08152173832058907,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.5,256
28,3,10.0,0.08152174130082132,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.5,512
29,3,10.0,0.08152173981070521,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.5,1024
30,3,1.0,0.08369565159082414,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.0,256
31,3,1.0,0.08369565233588219,rect,0.10050250589847565,<function dropout at 0x7fdc1ee7da60>,3,0.0,512
