,testAccuracy,layerForm,dR,activationFn,nlayers,dropoutFn,nstart,learningrate,valAccuracy
0,0.2304999977350235,cone,0.0,3,2,<function dropout at 0x7ff861a4da60>,256,10.0,0.259426862001419
1,0.1119999885559082,cone,0.0,3,2,<function dropout at 0x7ff861a4da60>,256,1.0,0.10708899050951003
2,0.8860000371932983,cone,0.0,3,2,<function dropout at 0x7ff861a4da60>,256,0.1,0.8914027214050292
3,0.8679999709129333,cone,0.0,3,2,<function dropout at 0x7ff861a4da60>,256,0.01,0.8814479708671569
4,0.2304999977350235,cone,0.0,3,2,<function dropout at 0x7ff861a4da60>,512,10.0,0.259426862001419
5,0.2305000126361847,cone,0.0,3,2,<function dropout at 0x7ff861a4da60>,512,1.0,0.259426862001419
6,0.8945000767707825,cone,0.0,3,2,<function dropout at 0x7ff861a4da60>,512,0.1,0.8953242897987365
7,0.8815000653266907,cone,0.0,3,2,<function dropout at 0x7ff861a4da60>,512,0.01,0.8826546072959899
8,0.2305000126361847,cone,0.0,3,2,<function dropout at 0x7ff861a4da60>,1024,10.0,0.259426862001419
9,0.2304999977350235,cone,0.0,3,2,<function dropout at 0x7ff861a4da60>,1024,1.0,0.259426862001419
10,0.8855000734329224,cone,0.0,3,2,<function dropout at 0x7ff861a4da60>,1024,0.1,0.89472097158432
11,0.8825001120567322,cone,0.0,3,2,<function dropout at 0x7ff861a4da60>,1024,0.01,0.8945701420307158
12,0.2305000126361847,cone,0.0,3,3,<function dropout at 0x7ff861a4da60>,256,10.0,0.259426862001419
13,0.2305000126361847,cone,0.0,3,3,<function dropout at 0x7ff861a4da60>,256,1.0,0.259426862001419
14,0.8970000743865967,cone,0.0,3,3,<function dropout at 0x7ff861a4da60>,256,0.1,0.897134244441986
15,0.8625000715255737,cone,0.0,3,3,<function dropout at 0x7ff861a4da60>,256,0.01,0.8802413344383239
16,0.2305000126361847,cone,0.0,3,3,<function dropout at 0x7ff861a4da60>,512,10.0,0.259426862001419
17,0.23499998450279236,cone,0.0,3,3,<function dropout at 0x7ff861a4da60>,512,1.0,0.22926095128059384
18,0.8925000429153442,cone,0.0,3,3,<function dropout at 0x7ff861a4da60>,512,0.1,0.8923076987266539
19,0.8925000429153442,cone,0.0,3,3,<function dropout at 0x7ff861a4da60>,512,0.01,0.8956259489059447
20,0.2304999977350235,cone,0.0,3,3,<function dropout at 0x7ff861a4da60>,1024,10.0,0.259426862001419
21,0.2304999977350235,cone,0.0,3,3,<function dropout at 0x7ff861a4da60>,1024,1.0,0.259426862001419
22,0.8955000638961792,cone,0.0,3,3,<function dropout at 0x7ff861a4da60>,1024,0.1,0.8981900513172149
23,0.8840000629425049,cone,0.0,3,3,<function dropout at 0x7ff861a4da60>,1024,0.01,0.8865761756896972
24,0.2304999977350235,cone,0.0,3,4,<function dropout at 0x7ff861a4da60>,256,10.0,0.259426862001419
25,0.2304999977350235,cone,0.0,3,4,<function dropout at 0x7ff861a4da60>,256,1.0,0.259426862001419
26,0.9015001058578491,cone,0.0,3,4,<function dropout at 0x7ff861a4da60>,256,0.1,0.8975867331027984
27,0.8700000047683716,cone,0.0,3,4,<function dropout at 0x7ff861a4da60>,256,0.01,0.8853695392608641
28,0.2304999977350235,cone,0.0,3,4,<function dropout at 0x7ff861a4da60>,512,10.0,0.259426862001419
29,0.2305000126361847,cone,0.0,3,4,<function dropout at 0x7ff861a4da60>,512,1.0,0.259426862001419
30,0.8910000920295715,cone,0.0,3,4,<function dropout at 0x7ff861a4da60>,512,0.1,0.8918552100658416
31,0.8700000047683716,cone,0.0,3,4,<function dropout at 0x7ff861a4da60>,512,0.01,0.8838612437248229
32,0.2304999977350235,cone,0.0,3,4,<function dropout at 0x7ff861a4da60>,1024,10.0,0.259426862001419
33,0.2305000126361847,cone,0.0,3,4,<function dropout at 0x7ff861a4da60>,1024,1.0,0.259426862001419
34,0.9135000705718994,cone,0.0,3,4,<function dropout at 0x7ff861a4da60>,1024,0.1,0.900754153728485
