,layerForm,learningrate,activationFn,valAccuracy,nstart,nlayers,dR,testAccuracy,dropoutFn
0,rect,10.0,3,0.2514881134033203,256,2,0.0,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
1,rect,10.0,3,0.2514880895614624,256,2,0.5,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
2,rect,10.0,3,0.2514880955219269,256,3,0.0,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
3,rect,10.0,3,0.2514881044626236,256,3,0.5,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
4,rect,10.0,3,0.25148811936378473,256,4,0.0,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
5,rect,10.0,3,0.25148811936378473,256,4,0.5,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
6,rect,10.0,3,0.25148811936378473,256,8,0.0,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
7,rect,10.0,3,0.25148811936378473,256,8,0.5,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
8,rect,10.0,3,0.2514880955219269,256,16,0.0,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
9,rect,10.0,3,0.2514880895614624,256,16,0.5,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
10,rect,10.0,3,0.25148811936378473,256,32,0.0,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
11,rect,10.0,3,0.25148811936378473,256,32,0.5,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
12,rect,10.0,3,0.25148811936378473,512,2,0.0,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
13,rect,10.0,3,0.2514880895614624,512,2,0.5,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
14,rect,10.0,3,0.25148811936378473,512,3,0.0,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
15,rect,10.0,3,0.2514880955219269,512,3,0.5,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
16,rect,10.0,3,0.25148811936378473,512,4,0.0,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
17,rect,10.0,3,0.25148811936378473,512,4,0.5,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
18,rect,10.0,3,0.25148810148239137,512,8,0.0,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
19,rect,10.0,3,0.2514881074428558,512,8,0.5,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
20,rect,10.0,3,0.25148811936378473,512,16,0.0,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
21,rect,10.0,3,0.2514881134033203,512,16,0.5,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
22,rect,10.0,3,0.2514880955219269,512,32,0.0,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
23,rect,10.0,3,0.25148811936378473,512,32,0.5,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
24,rect,10.0,3,0.2514880895614624,1024,2,0.0,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
25,rect,10.0,3,0.25148811936378473,1024,2,0.5,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
26,rect,10.0,3,0.25148810148239137,1024,3,0.0,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
27,rect,10.0,3,0.25148811936378473,1024,3,0.5,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
28,rect,10.0,3,0.25148811936378473,1024,4,0.0,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
29,rect,10.0,3,0.2514881163835525,1024,4,0.5,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
30,rect,10.0,3,0.25148810148239137,1024,8,0.0,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
31,rect,10.0,3,0.2514880925416947,1024,8,0.5,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
32,rect,10.0,3,0.2514881163835525,1024,16,0.0,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
33,rect,10.0,3,0.25148811042308805,1024,16,0.5,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
34,rect,10.0,3,0.2514881163835525,1024,32,0.0,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
35,rect,10.0,3,0.2514880925416947,1024,32,0.5,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
36,rect,1.0,3,0.25148811936378473,256,2,0.0,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
37,rect,1.0,3,0.25148811042308805,256,2,0.5,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
38,rect,1.0,3,0.25148810148239137,256,3,0.0,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
39,rect,1.0,3,0.25148811936378473,256,3,0.5,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
40,rect,1.0,3,0.2514881163835525,256,4,0.0,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
41,rect,1.0,3,0.2514881163835525,256,4,0.5,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
42,rect,1.0,3,0.25148811936378473,256,8,0.0,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
43,rect,1.0,3,0.25148811042308805,256,8,0.5,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
44,rect,1.0,3,0.2514880895614624,256,16,0.0,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
45,rect,1.0,3,0.2514881163835525,256,16,0.5,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
46,rect,1.0,3,0.25148810148239137,256,32,0.0,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
47,rect,1.0,3,0.25148811936378473,256,32,0.5,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
48,rect,1.0,3,0.2514881134033203,512,2,0.0,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
49,rect,1.0,3,0.25148811936378473,512,2,0.5,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
50,rect,1.0,3,0.2514881163835525,512,3,0.0,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
51,rect,1.0,3,0.25148810148239137,512,3,0.5,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
52,rect,1.0,3,0.25148811936378473,512,4,0.0,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
53,rect,1.0,3,0.2514881044626236,512,4,0.5,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
54,rect,1.0,3,0.2514880925416947,512,8,0.0,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
55,rect,1.0,3,0.2514880895614624,512,8,0.5,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
56,rect,1.0,3,0.25148811936378473,512,16,0.0,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
57,rect,1.0,3,0.2514880895614624,512,16,0.5,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
58,rect,1.0,3,0.2514880925416947,512,32,0.0,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
59,rect,1.0,3,0.25148811936378473,512,32,0.5,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
60,rect,1.0,3,0.25148811042308805,1024,2,0.0,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
61,rect,1.0,3,0.25148811936378473,1024,2,0.5,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
62,rect,1.0,3,0.25148811936378473,1024,3,0.0,0.2305000126361847,<function dropout at 0x7fe4bda4ca60>
63,rect,1.0,3,0.2514881074428558,1024,3,0.5,0.2304999977350235,<function dropout at 0x7fe4bda4ca60>
