,activationFn,valAccuracy,dropoutFn,nlayers,learningrate,layerForm,nstart,dR,testAccuracy
0,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,2,10.0,cone,256,0.0,0.3472803235054016
1,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,2,10.0,cone,256,0.5,0.3472803235054016
2,3,0.3912500023841857,<function dropout at 0x7fa1a9bd9a60>,2,10.0,cone,512,0.0,0.3472803235054016
3,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,2,10.0,cone,512,0.5,0.3472803235054016
4,3,0.3999999999999999,<function dropout at 0x7fa1a9bd9a60>,2,10.0,cone,1024,0.0,0.3472803235054016
5,3,0.3999999999999999,<function dropout at 0x7fa1a9bd9a60>,2,10.0,cone,1024,0.5,0.3472803235054016
6,3,0.9999999999999999,<function dropout at 0x7fa1a9bd9a60>,2,1.0,cone,256,0.0,0.9832636117935181
7,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,2,1.0,cone,256,0.5,0.970711350440979
8,3,0.625,<function dropout at 0x7fa1a9bd9a60>,2,1.0,cone,512,0.0,0.6527196168899536
9,3,0.4175000011920928,<function dropout at 0x7fa1a9bd9a60>,2,1.0,cone,512,0.5,0.3472803235054016
10,3,0.625,<function dropout at 0x7fa1a9bd9a60>,2,1.0,cone,1024,0.0,0.6527196168899536
11,3,0.3887500047683715,<function dropout at 0x7fa1a9bd9a60>,2,1.0,cone,1024,0.5,0.3472803235054016
12,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,2,0.1,cone,256,0.0,0.970711350440979
13,3,0.9800000131130218,<function dropout at 0x7fa1a9bd9a60>,2,0.1,cone,256,0.5,0.9623430967330933
14,3,0.990000009536743,<function dropout at 0x7fa1a9bd9a60>,2,0.1,cone,512,0.0,0.9874477386474609
15,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,2,0.1,cone,512,0.5,0.970711350440979
16,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,2,0.1,cone,1024,0.0,0.970711350440979
17,3,0.9850000083446502,<function dropout at 0x7fa1a9bd9a60>,2,0.1,cone,1024,0.5,0.970711350440979
18,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,2,0.01,cone,256,0.0,0.970711350440979
19,3,0.787499964237213,<function dropout at 0x7fa1a9bd9a60>,2,0.01,cone,256,0.5,0.8284518122673035
20,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,2,0.01,cone,512,0.0,0.9665272235870361
21,3,0.8212500095367433,<function dropout at 0x7fa1a9bd9a60>,2,0.01,cone,512,0.5,0.8535563945770264
22,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,2,0.01,cone,1024,0.0,0.970711350440979
23,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,2,0.01,cone,1024,0.5,0.970711350440979
24,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,3,10.0,cone,256,0.0,0.3472803235054016
25,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,3,10.0,cone,256,0.5,0.3472803235054016
26,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,3,10.0,cone,512,0.0,0.3472803235054016
27,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,3,10.0,cone,512,0.5,0.3472803235054016
28,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,3,10.0,cone,1024,0.0,0.3472803235054016
29,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,3,10.0,cone,1024,0.5,0.3472803235054016
30,3,0.5750000000000001,<function dropout at 0x7fa1a9bd9a60>,3,1.0,cone,256,0.0,0.6527196168899536
31,3,0.42499999999999993,<function dropout at 0x7fa1a9bd9a60>,3,1.0,cone,256,0.5,0.3472803235054016
32,3,0.55,<function dropout at 0x7fa1a9bd9a60>,3,1.0,cone,512,0.0,0.3472803235054016
33,3,0.39875000119209286,<function dropout at 0x7fa1a9bd9a60>,3,1.0,cone,512,0.5,0.3472803235054016
34,3,0.625,<function dropout at 0x7fa1a9bd9a60>,3,1.0,cone,1024,0.0,0.6527196168899536
35,3,0.4999999999999999,<function dropout at 0x7fa1a9bd9a60>,3,1.0,cone,1024,0.5,0.3472803235054016
36,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,3,0.1,cone,256,0.0,0.9748954176902771
37,3,0.9862500131130217,<function dropout at 0x7fa1a9bd9a60>,3,0.1,cone,256,0.5,0.970711350440979
38,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,3,0.1,cone,512,0.0,0.97907954454422
39,3,0.9850000143051146,<function dropout at 0x7fa1a9bd9a60>,3,0.1,cone,512,0.5,0.9665272235870361
40,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,3,0.1,cone,1024,0.0,0.9916318655014038
41,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,3,0.1,cone,1024,0.5,0.9748954176902771
42,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,3,0.01,cone,256,0.0,0.9456067085266113
43,3,0.7112500369548796,<function dropout at 0x7fa1a9bd9a60>,3,0.01,cone,256,0.5,0.723849356174469
44,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,3,0.01,cone,512,0.0,0.970711350440979
45,3,0.7625000476837159,<function dropout at 0x7fa1a9bd9a60>,3,0.01,cone,512,0.5,0.7698744535446167
46,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,3,0.01,cone,1024,0.0,0.970711350440979
47,3,0.925,<function dropout at 0x7fa1a9bd9a60>,3,0.01,cone,1024,0.5,0.9414225816726685
48,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,4,10.0,cone,256,0.0,0.3472803235054016
49,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,4,10.0,cone,256,0.5,0.3472803235054016
50,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,4,10.0,cone,512,0.0,0.3472803235054016
51,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,4,10.0,cone,512,0.5,0.3472803235054016
52,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,4,10.0,cone,1024,0.0,0.3472803235054016
53,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,4,10.0,cone,1024,0.5,0.3472803235054016
54,3,0.7737499952316284,<function dropout at 0x7fa1a9bd9a60>,4,1.0,cone,256,0.0,0.744769811630249
55,3,0.5525000095367432,<function dropout at 0x7fa1a9bd9a60>,4,1.0,cone,256,0.5,0.5857740640640259
56,3,0.525,<function dropout at 0x7fa1a9bd9a60>,4,1.0,cone,512,0.0,0.6527196168899536
57,3,0.6000000000000001,<function dropout at 0x7fa1a9bd9a60>,4,1.0,cone,512,0.5,0.6527196764945984
58,3,0.55,<function dropout at 0x7fa1a9bd9a60>,4,1.0,cone,1024,0.0,0.6527196168899536
59,3,0.3999999999999999,<function dropout at 0x7fa1a9bd9a60>,4,1.0,cone,1024,0.5,0.3472803235054016
60,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,4,0.1,cone,256,0.0,0.9790794849395752
61,3,0.9262500286102294,<function dropout at 0x7fa1a9bd9a60>,4,0.1,cone,256,0.5,0.9414225816726685
62,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,4,0.1,cone,512,0.0,0.9832636117935181
63,3,0.9862500131130217,<function dropout at 0x7fa1a9bd9a60>,4,0.1,cone,512,0.5,0.970711350440979
64,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,4,0.1,cone,1024,0.0,0.9748954176902771
65,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,4,0.1,cone,1024,0.5,0.970711350440979
66,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,4,0.01,cone,256,0.0,0.962343156337738
67,3,0.6499999880790711,<function dropout at 0x7fa1a9bd9a60>,4,0.01,cone,256,0.5,0.7112970352172852
68,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,4,0.01,cone,512,0.0,0.9748954176902771
69,3,0.6625000238418578,<function dropout at 0x7fa1a9bd9a60>,4,0.01,cone,512,0.5,0.7112970352172852
70,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,4,0.01,cone,1024,0.0,0.97907954454422
71,3,0.6950000345706939,<function dropout at 0x7fa1a9bd9a60>,4,0.01,cone,1024,0.5,0.7405856847763062
72,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,8,10.0,cone,256,0.0,0.3472803235054016
73,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,8,10.0,cone,256,0.5,0.3472803235054016
74,3,0.55,<function dropout at 0x7fa1a9bd9a60>,8,10.0,cone,512,0.0,0.6527196168899536
75,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,8,10.0,cone,512,0.5,0.3472803235054016
76,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,8,10.0,cone,1024,0.0,0.3472803235054016
77,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,8,10.0,cone,1024,0.5,0.3472803235054016
78,3,0.625,<function dropout at 0x7fa1a9bd9a60>,8,1.0,cone,256,0.0,0.6527196168899536
79,3,0.625,<function dropout at 0x7fa1a9bd9a60>,8,1.0,cone,256,0.5,0.6527196168899536
80,3,0.6000000000000001,<function dropout at 0x7fa1a9bd9a60>,8,1.0,cone,512,0.0,0.6527196168899536
81,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,8,1.0,cone,512,0.5,0.3472803235054016
82,3,0.625,<function dropout at 0x7fa1a9bd9a60>,8,1.0,cone,1024,0.0,0.6527196764945984
83,3,0.37499999999999994,<function dropout at 0x7fa1a9bd9a60>,8,1.0,cone,1024,0.5,0.3472803235054016
84,3,0.9875000119209288,<function dropout at 0x7fa1a9bd9a60>,8,0.1,cone,256,0.0,0.9832636117935181
85,3,0.625,<function dropout at 0x7fa1a9bd9a60>,8,0.1,cone,256,0.5,0.6527196168899536
