,dropoutFn,learningrate,activationFn,layerForm,nstart,valAccuracy,testAccuracy,nlayers,dR
0,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,256,0.6475409269332887,0.6781818270683289,2,0.0
1,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,256,0.6475409269332887,0.6781818270683289,2,0.5
2,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,256,0.6475409388542177,0.6781818270683289,3,0.0
3,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,256,0.647540944814682,0.6781818270683289,3,0.5
4,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,256,0.647540944814682,0.6781818270683289,4,0.0
5,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,256,0.6475409269332887,0.6781818270683289,4,0.5
6,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,256,0.6475409269332887,0.6781818270683289,8,0.0
7,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,256,0.6475409269332887,0.6781818270683289,8,0.5
8,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,256,0.6475409388542177,0.6781818270683289,16,0.0
9,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,256,0.6475409269332887,0.6781818270683289,16,0.5
10,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,256,0.5885245382785798,0.32181817293167114,32,0.0
11,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,256,0.6475409269332887,0.6781818270683289,32,0.5
12,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,512,0.6475409328937533,0.6781818270683289,2,0.0
13,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,512,0.6475409328937533,0.6781818270683289,2,0.5
14,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,512,0.6475409269332887,0.6781818270683289,3,0.0
15,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,512,0.6475409328937531,0.6781818270683289,3,0.5
16,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,512,0.35245898962020866,0.32181817293167114,4,0.0
17,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,512,0.6475409448146822,0.6781818270683289,4,0.5
18,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,512,0.6475409388542177,0.6781818270683289,8,0.0
19,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,512,0.6475409388542177,0.6781818270683289,8,0.5
20,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,512,0.6475409328937531,0.6781818270683289,16,0.0
21,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,512,0.6475409269332887,0.6781818270683289,16,0.5
22,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,512,0.6475409328937533,0.6781818270683289,32,0.0
23,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,512,0.6475409269332887,0.6781818270683289,32,0.5
24,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,1024,0.6475409388542177,0.6781818270683289,2,0.0
25,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,1024,0.6475409388542177,0.6781818270683289,2,0.5
26,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,1024,0.6475409328937533,0.6781818270683289,3,0.0
27,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,1024,0.6475409269332887,0.6781818270683289,3,0.5
28,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,1024,0.6475409269332887,0.6781818270683289,4,0.0
29,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,1024,0.6475409388542177,0.6781818270683289,4,0.5
30,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,1024,0.6475409269332887,0.6781818270683289,8,0.0
31,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,1024,0.6475409388542177,0.6781818270683289,8,0.5
32,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,1024,0.5885245472192765,0.6781818270683289,16,0.0
33,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,1024,0.6475409328937533,0.6781818270683289,16,0.5
34,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,1024,0.6180327326059343,0.32181817293167114,32,0.0
35,<function dropout at 0x7f5ac7e72a60>,10.0,3,cone,1024,0.6475409388542177,0.6781818270683289,32,0.5
36,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,256,0.3524589836597442,0.32181817293167114,2,0.0
37,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,256,0.6475409269332887,0.6781818270683289,2,0.5
38,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,256,0.6475409388542176,0.6781818270683289,3,0.0
39,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,256,0.6475409269332887,0.6781818270683289,3,0.5
40,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,256,0.6180327355861664,0.6781818270683289,4,0.0
41,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,256,0.6475409269332887,0.6781818270683289,4,0.5
42,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,256,0.6475409328937533,0.6781818270683289,8,0.0
43,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,256,0.6475409269332887,0.6781818270683289,8,0.5
44,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,256,0.6475409269332887,0.6781818270683289,16,0.0
45,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,256,0.6475409269332887,0.6781818270683289,16,0.5
46,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,256,0.7745901465415953,0.7763636112213135,32,0.0
47,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,256,0.6475409269332887,0.6781818270683289,32,0.5
48,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,512,0.6475409388542177,0.6781818270683289,2,0.0
49,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,512,0.6475409328937533,0.6781818270683289,2,0.5
50,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,512,0.5590163469314575,0.6781818270683289,3,0.0
51,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,512,0.35245899558067323,0.32181817293167114,3,0.5
52,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,512,0.35245899260044095,0.32181817293167114,4,0.0
53,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,512,0.6475409269332887,0.6781818270683289,4,0.5
54,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,512,0.6475409269332887,0.6781818270683289,8,0.0
55,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,512,0.6475409269332887,0.6781818270683289,8,0.5
56,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,512,0.6475409269332887,0.6781818270683289,16,0.0
57,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,512,0.6475409328937533,0.6781818270683289,16,0.5
58,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,512,0.7745901525020598,0.7763635516166687,32,0.0
59,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,512,0.6475409269332887,0.6781818270683289,32,0.5
60,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,1024,0.6475409269332887,0.6781818270683289,2,0.0
61,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,1024,0.6475409269332887,0.6781818270683289,2,0.5
62,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,1024,0.6254097908735275,0.6818181872367859,3,0.0
63,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,1024,0.6475409269332887,0.6781818270683289,3,0.5
64,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,1024,0.35245899260044095,0.32181817293167114,4,0.0
65,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,1024,0.6475409328937533,0.6781818270683289,4,0.5
66,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,1024,0.6475409269332887,0.6781818270683289,8,0.0
67,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,1024,0.6475409269332887,0.6781818270683289,8,0.5
68,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,1024,0.6475409269332887,0.6781818270683289,16,0.0
69,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,1024,0.647540944814682,0.6781818270683289,16,0.5
70,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,1024,0.6475409269332887,0.6781818270683289,32,0.0
71,<function dropout at 0x7f5ac7e72a60>,1.0,3,cone,1024,0.6475409328937533,0.6781818270683289,32,0.5
72,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,256,0.7848360478878023,0.7763636112213135,2,0.0
73,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,256,0.7778687953948975,0.781818151473999,2,0.5
74,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,256,0.7786884546279907,0.7690908908843994,3,0.0
75,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,256,0.7770491242408754,0.7636363506317139,3,0.5
76,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,256,0.773770397901535,0.7909091114997864,4,0.0
77,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,256,0.7754097640514374,0.7763636112213135,4,0.5
78,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,256,0.7782786548137665,0.7927273511886597,8,0.0
79,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,256,0.6475409269332887,0.6781818270683289,8,0.5
80,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,256,0.7749999046325684,0.7909091114997864,16,0.0
81,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,256,0.6475409269332887,0.6781818270683289,16,0.5
82,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,256,0.7733606159687043,0.781818151473999,32,0.0
83,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,256,0.6475409269332887,0.6781818270683289,32,0.5
84,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,512,0.7782786428928374,0.7872726917266846,2,0.0
85,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,512,0.7778688073158265,0.7636362910270691,2,0.5
86,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,512,0.7774589776992797,0.7909091114997864,3,0.0
87,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,512,0.7774589180946352,0.7690908312797546,3,0.5
88,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,512,0.7749999523162842,0.7909091114997864,4,0.0
89,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,512,0.7741802811622619,0.7654545307159424,4,0.5
90,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,512,0.7754097402095795,0.7909091711044312,8,0.0
91,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,512,0.6475409269332887,0.6781818270683289,8,0.5
92,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,512,0.7741802573204041,0.7909091711044312,16,0.0
93,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,512,0.6475409388542176,0.6781818270683289,16,0.5
94,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,512,0.7766392767429352,0.7909091114997864,32,0.0
95,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,512,0.6475409328937531,0.6781818270683289,32,0.5
96,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,1024,0.7778687775135039,0.7890909314155579,2,0.0
97,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,1024,0.7782786011695864,0.7690908908843994,2,0.5
98,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,1024,0.7786884546279907,0.7927273511886597,3,0.0
99,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,1024,0.777868789434433,0.7636363506317139,3,0.5
100,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,1024,0.7786884725093843,0.7890908718109131,4,0.0
101,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,1024,0.7729507446289062,0.781818151473999,4,0.5
102,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,1024,0.7758196234703064,0.7909090518951416,8,0.0
103,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,1024,0.6475409269332887,0.6781818270683289,8,0.5
104,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,1024,0.7778688132762909,0.7927272915840149,16,0.0
105,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,1024,0.6475409269332887,0.6781818270683289,16,0.5
106,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,1024,0.776229429244995,0.7890908718109131,32,0.0
107,<function dropout at 0x7f5ac7e72a60>,0.1,3,cone,1024,0.6475409448146822,0.6781818270683289,32,0.5
108,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,256,0.7823769867420197,0.778181791305542,2,0.0
109,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,256,0.7795081317424775,0.7818182110786438,2,0.5
110,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,256,0.7831966876983644,0.778181791305542,3,0.0
111,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,256,0.7729507565498351,0.7599999904632568,3,0.5
112,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,256,0.7811475098133088,0.7890909314155579,4,0.0
113,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,256,0.7389343678951263,0.7709090709686279,4,0.5
114,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,256,0.7836065053939819,0.7890908718109131,8,0.0
115,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,256,0.7127048552036285,0.7709090709686279,8,0.5
116,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,256,0.7766392529010773,0.7909091711044312,16,0.0
117,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,256,0.6475409269332887,0.6781818270683289,16,0.5
118,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,256,0.7790982902050019,0.7909091114997864,32,0.0
119,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,256,0.6475409269332887,0.6781818270683289,32,0.5
120,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,512,0.7836065113544464,0.7872726321220398,2,0.0
121,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,512,0.7827868402004243,0.7890908718109131,2,0.5
122,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,512,0.7774589359760284,0.7872726917266846,3,0.0
123,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,512,0.7704917490482329,0.781818151473999,3,0.5
124,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,512,0.7827868342399599,0.7781818509101868,4,0.0
125,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,512,0.7745901286602019,0.7763636112213135,4,0.5
126,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,512,0.774590116739273,0.7909091114997864,8,0.0
127,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,512,0.7737704455852509,0.781818151473999,8,0.5
128,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,512,0.7803277969360352,0.7872727513313293,16,0.0
129,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,512,0.6475409328937533,0.6781818270683289,16,0.5
130,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,512,0.7749999344348907,0.7909091114997864,32,0.0
131,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,512,0.6475409269332887,0.6781818270683289,32,0.5
132,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,1024,0.7795081377029419,0.7909091114997864,2,0.0
133,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,1024,0.7778687715530396,0.7636363506317139,2,0.5
134,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,1024,0.7770491302013396,0.7927272319793701,3,0.0
135,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,1024,0.7709015607833861,0.7599999308586121,3,0.5
136,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,1024,0.779917973279953,0.7890908718109131,4,0.0
137,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,1024,0.770491737127304,0.7818180918693542,4,0.5
138,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,1024,0.777868801355362,0.7890908718109131,8,0.0
139,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,1024,0.6598360180854799,0.6781818270683289,8,0.5
140,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,1024,0.784426212310791,0.7872726917266846,16,0.0
141,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,1024,0.6938524127006531,0.7345454692840576,16,0.5
142,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,1024,0.7754097580909729,0.7909091114997864,32,0.0
143,<function dropout at 0x7f5ac7e72a60>,0.01,3,cone,1024,0.6475409388542177,0.6781818270683289,32,0.5
