,layerForm,learningrate,nlayers,activationFn,dropoutFn,nstart,dR,testAccuracy,valAccuracy
0,rect,10.0,2,3,<function dropout at 0x7f01a67b9a60>,256,0.0,0.40469205379486084,0.4299363166093827
1,rect,10.0,2,3,<function dropout at 0x7f01a67b9a60>,256,0.5,0.40469205379486084,0.4299363166093827
2,rect,10.0,2,3,<function dropout at 0x7f01a67b9a60>,512,0.0,0.40469205379486084,0.4299363195896149
3,rect,10.0,2,3,<function dropout at 0x7f01a67b9a60>,512,0.5,0.40469205379486084,0.42993631064891824
4,rect,10.0,2,3,<function dropout at 0x7f01a67b9a60>,1024,0.0,0.40469205379486084,0.42993631362915047
5,rect,10.0,2,3,<function dropout at 0x7f01a67b9a60>,1024,0.5,0.40469205379486084,0.4299363195896149
6,rect,10.0,3,3,<function dropout at 0x7f01a67b9a60>,256,0.0,0.40469205379486084,0.4299363195896149
7,rect,10.0,3,3,<function dropout at 0x7f01a67b9a60>,256,0.5,0.40469205379486084,0.4299363195896149
8,rect,10.0,3,3,<function dropout at 0x7f01a67b9a60>,512,0.0,0.40469205379486084,0.4299363166093827
9,rect,10.0,3,3,<function dropout at 0x7f01a67b9a60>,512,0.5,0.40469205379486084,0.42993630170822156
10,rect,10.0,3,3,<function dropout at 0x7f01a67b9a60>,1024,0.0,0.4046921133995056,0.4299363195896149
11,rect,10.0,3,3,<function dropout at 0x7f01a67b9a60>,1024,0.5,0.40469205379486084,0.4299363195896149
12,rect,10.0,4,3,<function dropout at 0x7f01a67b9a60>,256,0.0,0.4046921133995056,0.4299363195896149
13,rect,10.0,4,3,<function dropout at 0x7f01a67b9a60>,256,0.5,0.40469205379486084,0.4299363195896149
14,rect,10.0,4,3,<function dropout at 0x7f01a67b9a60>,512,0.0,0.40469205379486084,0.4299363166093827
15,rect,10.0,4,3,<function dropout at 0x7f01a67b9a60>,512,0.5,0.40469205379486084,0.4299363195896149
16,rect,10.0,4,3,<function dropout at 0x7f01a67b9a60>,1024,0.0,0.4046921133995056,0.4299362927675248
17,rect,10.0,4,3,<function dropout at 0x7f01a67b9a60>,1024,0.5,0.40469205379486084,0.42993631362915047
18,rect,10.0,8,3,<function dropout at 0x7f01a67b9a60>,256,0.0,0.40469205379486084,0.4299363195896149
19,rect,10.0,8,3,<function dropout at 0x7f01a67b9a60>,256,0.5,0.4046921133995056,0.4299363195896149
20,rect,10.0,8,3,<function dropout at 0x7f01a67b9a60>,512,0.0,0.40469205379486084,0.4299363195896149
