,dR,learningrate,layerForm,dropoutFn,nstart,activationFn,valAccuracy,nlayers,testAccuracy
0,0.0,10.0,rect,<function dropout at 0x7f6793b20a60>,256,3,0.0,2,0.004999999888241291
1,0.0,10.0,rect,<function dropout at 0x7f6793b20a60>,256,3,0.0,3,0.004999999888241291
2,0.0,10.0,rect,<function dropout at 0x7f6793b20a60>,256,3,0.0,4,0.004999999888241291
3,0.0,10.0,rect,<function dropout at 0x7f6793b20a60>,256,3,0.0,8,0.004999999888241291
4,0.0,10.0,rect,<function dropout at 0x7f6793b20a60>,256,3,0.0,16,0.004999999888241291
5,0.0,10.0,rect,<function dropout at 0x7f6793b20a60>,256,3,0.0,32,0.004999999888241291
6,0.0,10.0,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,2,0.004999999888241291
7,0.0,10.0,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,3,0.004999999888241291
8,0.0,10.0,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,4,0.004999999888241291
9,0.0,10.0,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,8,0.004999999888241291
10,0.0,10.0,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,16,0.004999999888241291
11,0.0,10.0,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,32,0.004999999888241291
12,0.0,10.0,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,2,0.004999999888241291
13,0.0,10.0,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,3,0.004999999888241291
14,0.0,10.0,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,4,0.004999999888241291
15,0.0,10.0,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,8,0.004999999888241291
16,0.0,10.0,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,16,0.004999999888241291
17,0.0,10.0,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,32,0.004999999888241291
18,0.0,1.0,rect,<function dropout at 0x7f6793b20a60>,256,3,0.03918128609657288,2,0.3649999797344208
19,0.0,1.0,rect,<function dropout at 0x7f6793b20a60>,256,3,0.0,3,0.004999999888241291
20,0.0,1.0,rect,<function dropout at 0x7f6793b20a60>,256,3,0.0,4,0.004999999888241291
21,0.0,1.0,rect,<function dropout at 0x7f6793b20a60>,256,3,0.0,8,0.004999999888241291
22,0.0,1.0,rect,<function dropout at 0x7f6793b20a60>,256,3,0.0,16,0.004999999888241291
23,0.0,1.0,rect,<function dropout at 0x7f6793b20a60>,256,3,0.0,32,0.004999999888241291
24,0.0,1.0,rect,<function dropout at 0x7f6793b20a60>,512,3,0.03859649300575257,2,0.4325000047683716
25,0.0,1.0,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,3,0.004999999888241291
26,0.0,1.0,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,4,0.004999999888241291
27,0.0,1.0,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,8,0.004999999888241291
28,0.0,1.0,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,16,0.004999999888241291
29,0.0,1.0,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,32,0.004999999888241291
30,0.0,1.0,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0432748556137085,2,0.3974999785423279
31,0.0,1.0,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,3,0.004999999888241291
32,0.0,1.0,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,4,0.004999999888241291
33,0.0,1.0,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,8,0.004999999888241291
34,0.0,1.0,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,16,0.004999999888241291
35,0.0,1.0,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,32,0.004999999888241291
36,0.0,0.1,rect,<function dropout at 0x7f6793b20a60>,256,3,0.577777773141861,2,0.5624999403953552
37,0.0,0.1,rect,<function dropout at 0x7f6793b20a60>,256,3,0.5982456147670746,3,0.6200000047683716
38,0.0,0.1,rect,<function dropout at 0x7f6793b20a60>,256,3,0.6198830485343934,4,0.5774999260902405
39,0.0,0.1,rect,<function dropout at 0x7f6793b20a60>,256,3,0.6187134504318237,8,0.5949999690055847
40,0.0,0.1,rect,<function dropout at 0x7f6793b20a60>,256,3,0.0,16,0.004999999888241291
41,0.0,0.1,rect,<function dropout at 0x7f6793b20a60>,256,3,0.0,32,0.004999999888241291
42,0.0,0.1,rect,<function dropout at 0x7f6793b20a60>,512,3,0.6175438821315765,2,0.6150000095367432
43,0.0,0.1,rect,<function dropout at 0x7f6793b20a60>,512,3,0.604678374528885,3,0.5799999833106995
44,0.0,0.1,rect,<function dropout at 0x7f6793b20a60>,512,3,0.6175438523292541,4,0.5774999856948853
45,0.0,0.1,rect,<function dropout at 0x7f6793b20a60>,512,3,0.08128654956817627,8,0.39249998331069946
46,0.0,0.1,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,16,0.004999999888241291
47,0.0,0.1,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,32,0.004999999888241291
48,0.0,0.1,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.5619883090257645,2,0.5924999713897705
49,0.0,0.1,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.5836257457733155,3,0.5974999666213989
50,0.0,0.1,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.6023391783237456,4,0.5975000262260437
51,0.0,0.1,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,8,0.004999999888241291
52,0.0,0.1,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,16,0.004999999888241291
53,0.0,0.1,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,32,0.004999999888241291
54,0.0,0.01,rect,<function dropout at 0x7f6793b20a60>,256,3,0.5497076034545898,2,0.5824999809265137
55,0.0,0.01,rect,<function dropout at 0x7f6793b20a60>,256,3,0.5923976659774781,3,0.5950000286102295
56,0.0,0.01,rect,<function dropout at 0x7f6793b20a60>,256,3,0.5766081929206848,4,0.5824999809265137
57,0.0,0.01,rect,<function dropout at 0x7f6793b20a60>,256,3,0.6292397797107697,8,0.5949999690055847
58,0.0,0.01,rect,<function dropout at 0x7f6793b20a60>,256,3,0.6678362309932708,16,0.6474999785423279
59,0.0,0.01,rect,<function dropout at 0x7f6793b20a60>,256,3,0.6514620006084442,32,0.6324999928474426
60,0.0,0.01,rect,<function dropout at 0x7f6793b20a60>,512,3,0.5754386007785798,2,0.5774999260902405
61,0.0,0.01,rect,<function dropout at 0x7f6793b20a60>,512,3,0.5929824531078339,3,0.6000000238418579
62,0.0,0.01,rect,<function dropout at 0x7f6793b20a60>,512,3,0.5947368502616882,4,0.5899999737739563
63,0.0,0.01,rect,<function dropout at 0x7f6793b20a60>,512,3,0.6257309973239898,8,0.6200000047683716
64,0.0,0.01,rect,<function dropout at 0x7f6793b20a60>,512,3,0.6824561178684235,16,0.6474999785423279
65,0.0,0.01,rect,<function dropout at 0x7f6793b20a60>,512,3,0.6543859779834748,32,0.6474999785423279
66,0.0,0.01,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.5935672402381897,2,0.5899999737739563
67,0.0,0.01,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.5742690086364747,3,0.5874999761581421
68,0.0,0.01,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.5812865436077118,4,0.622499942779541
69,0.0,0.01,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.6286549627780915,8,0.5974999666213989
70,0.0,0.01,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.6789473712444306,16,0.6274999380111694
71,0.0,0.01,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.6725146174430847,32,0.6199999451637268
72,0.5,10.0,rect,<function dropout at 0x7f6793b20a60>,256,3,0.0,2,0.004999999888241291
73,0.5,10.0,rect,<function dropout at 0x7f6793b20a60>,256,3,0.0,3,0.004999999888241291
74,0.5,10.0,rect,<function dropout at 0x7f6793b20a60>,256,3,0.0,4,0.004999999888241291
75,0.5,10.0,rect,<function dropout at 0x7f6793b20a60>,256,3,0.0,8,0.004999999888241291
76,0.5,10.0,rect,<function dropout at 0x7f6793b20a60>,256,3,0.0,16,0.004999999888241291
77,0.5,10.0,rect,<function dropout at 0x7f6793b20a60>,256,3,0.0,32,0.004999999888241291
78,0.5,10.0,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,2,0.004999999888241291
79,0.5,10.0,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,3,0.004999999888241291
80,0.5,10.0,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,4,0.004999999888241291
81,0.5,10.0,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,8,0.004999999888241291
82,0.5,10.0,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,16,0.004999999888241291
83,0.5,10.0,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,32,0.004999999888241291
84,0.5,10.0,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,2,0.004999999888241291
85,0.5,10.0,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,3,0.004999999888241291
86,0.5,10.0,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,4,0.004999999888241291
87,0.5,10.0,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,8,0.004999999888241291
88,0.5,10.0,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,16,0.004999999888241291
89,0.5,10.0,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,32,0.004999999888241291
90,0.5,1.0,rect,<function dropout at 0x7f6793b20a60>,256,3,0.03859649300575257,2,0.4325000047683716
91,0.5,1.0,rect,<function dropout at 0x7f6793b20a60>,256,3,0.0,3,0.004999999888241291
92,0.5,1.0,rect,<function dropout at 0x7f6793b20a60>,256,3,0.0,4,0.004999999888241291
93,0.5,1.0,rect,<function dropout at 0x7f6793b20a60>,256,3,0.0,8,0.004999999888241291
94,0.5,1.0,rect,<function dropout at 0x7f6793b20a60>,256,3,0.0,16,0.004999999888241291
95,0.5,1.0,rect,<function dropout at 0x7f6793b20a60>,256,3,0.0,32,0.004999999888241291
96,0.5,1.0,rect,<function dropout at 0x7f6793b20a60>,512,3,0.038596490025520326,2,0.4325000047683716
97,0.5,1.0,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,3,0.004999999888241291
98,0.5,1.0,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,4,0.004999999888241291
99,0.5,1.0,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,8,0.004999999888241291
100,0.5,1.0,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,16,0.004999999888241291
101,0.5,1.0,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,32,0.004999999888241291
102,0.5,1.0,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.038596490025520326,2,0.4325000047683716
103,0.5,1.0,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,3,0.004999999888241291
104,0.5,1.0,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,4,0.004999999888241291
105,0.5,1.0,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,8,0.004999999888241291
106,0.5,1.0,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,16,0.004999999888241291
107,0.5,1.0,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,32,0.004999999888241291
108,0.5,0.1,rect,<function dropout at 0x7f6793b20a60>,256,3,0.5374269008636474,2,0.5874999761581421
109,0.5,0.1,rect,<function dropout at 0x7f6793b20a60>,256,3,0.5239766061305999,3,0.5774999856948853
110,0.5,0.1,rect,<function dropout at 0x7f6793b20a60>,256,3,0.537426894903183,4,0.60999995470047
111,0.5,0.1,rect,<function dropout at 0x7f6793b20a60>,256,3,0.5257310032844544,8,0.559999942779541
112,0.5,0.1,rect,<function dropout at 0x7f6793b20a60>,256,3,0.0,16,0.004999999888241291
113,0.5,0.1,rect,<function dropout at 0x7f6793b20a60>,256,3,0.0,32,0.004999999888241291
114,0.5,0.1,rect,<function dropout at 0x7f6793b20a60>,512,3,0.5321637481451034,2,0.5824999809265137
115,0.5,0.1,rect,<function dropout at 0x7f6793b20a60>,512,3,0.5029239892959595,3,0.5549999475479126
116,0.5,0.1,rect,<function dropout at 0x7f6793b20a60>,512,3,0.5368421137332917,4,0.5799999833106995
117,0.5,0.1,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,8,0.004999999888241291
118,0.5,0.1,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,16,0.004999999888241291
119,0.5,0.1,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,32,0.004999999888241291
120,0.5,0.1,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.5456140309572219,2,0.6049999594688416
121,0.5,0.1,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.5315789520740508,3,0.48499995470046997
122,0.5,0.1,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.5304093569517135,4,0.559999942779541
123,0.5,0.1,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,8,0.004999999888241291
124,0.5,0.1,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,16,0.004999999888241291
125,0.5,0.1,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.0,32,0.004999999888241291
126,0.5,0.01,rect,<function dropout at 0x7f6793b20a60>,256,3,0.538596498966217,2,0.60999995470047
127,0.5,0.01,rect,<function dropout at 0x7f6793b20a60>,256,3,0.554970759153366,3,0.5849999785423279
128,0.5,0.01,rect,<function dropout at 0x7f6793b20a60>,256,3,0.4766081780195237,4,0.5625
129,0.5,0.01,rect,<function dropout at 0x7f6793b20a60>,256,3,0.3771929770708085,8,0.41749998927116394
130,0.5,0.01,rect,<function dropout at 0x7f6793b20a60>,256,3,0.1830409333109856,16,0.2149999886751175
131,0.5,0.01,rect,<function dropout at 0x7f6793b20a60>,256,3,0.0,32,0.004999999888241291
132,0.5,0.01,rect,<function dropout at 0x7f6793b20a60>,512,3,0.5584795415401459,2,0.5999999046325684
133,0.5,0.01,rect,<function dropout at 0x7f6793b20a60>,512,3,0.5333333253860474,3,0.559999942779541
134,0.5,0.01,rect,<function dropout at 0x7f6793b20a60>,512,3,0.5064327538013459,4,0.54749995470047
135,0.5,0.01,rect,<function dropout at 0x7f6793b20a60>,512,3,0.43099415302276606,8,0.4749999940395355
136,0.5,0.01,rect,<function dropout at 0x7f6793b20a60>,512,3,0.08011695966124535,16,0.07749999314546585
137,0.5,0.01,rect,<function dropout at 0x7f6793b20a60>,512,3,0.0,32,0.004999999888241291
138,0.5,0.01,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.5561403572559357,2,0.574999988079071
139,0.5,0.01,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.5192982435226441,3,0.574999988079071
140,0.5,0.01,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.4953216344118118,4,0.5349999666213989
141,0.5,0.01,rect,<function dropout at 0x7f6793b20a60>,1024,3,0.416374272108078,8,0.4699999690055847
