,dropoutFn,layerForm,nstart,valAccuracy,testAccuracy,learningrate,activationFn,nlayers,dR
0,<function dropout at 0x7f42b7303a60>,rect,256,0.3466666907072068,0.3207547068595886,10.0,3,2,0.0
1,<function dropout at 0x7f42b7303a60>,rect,256,0.34666668474674234,0.3207547068595886,10.0,3,2,0.5
2,<function dropout at 0x7f42b7303a60>,rect,256,0.3466666847467423,0.3207547068595886,10.0,3,3,0.0
3,<function dropout at 0x7f42b7303a60>,rect,256,0.3466666847467423,0.3207547068595886,10.0,3,3,0.5
4,<function dropout at 0x7f42b7303a60>,rect,256,0.34666666984558114,0.320754736661911,10.0,3,4,0.0
5,<function dropout at 0x7f42b7303a60>,rect,256,0.3466666787862778,0.3207547068595886,10.0,3,4,0.5
6,<function dropout at 0x7f42b7303a60>,rect,256,0.34666666388511663,0.320754736661911,10.0,3,8,0.0
7,<function dropout at 0x7f42b7303a60>,rect,256,0.3466666907072068,0.320754736661911,10.0,3,8,0.5
8,<function dropout at 0x7f42b7303a60>,rect,256,0.3466666698455811,0.3207547068595886,10.0,3,16,0.0
9,<function dropout at 0x7f42b7303a60>,rect,256,0.346666693687439,0.3207547068595886,10.0,3,16,0.5
10,<function dropout at 0x7f42b7303a60>,rect,256,0.34666666388511663,0.320754736661911,10.0,3,32,0.0
11,<function dropout at 0x7f42b7303a60>,rect,256,0.346666693687439,0.3207547068595886,10.0,3,32,0.5
12,<function dropout at 0x7f42b7303a60>,rect,256,0.3466666787862778,0.3207547068595886,1.0,3,2,0.0
13,<function dropout at 0x7f42b7303a60>,rect,256,0.3520000100135804,0.320754736661911,1.0,3,2,0.5
14,<function dropout at 0x7f42b7303a60>,rect,256,0.34666668176651005,0.320754736661911,1.0,3,3,0.0
15,<function dropout at 0x7f42b7303a60>,rect,256,0.34666668474674234,0.320754736661911,1.0,3,3,0.5
16,<function dropout at 0x7f42b7303a60>,rect,256,0.34666666388511663,0.3207547068595886,1.0,3,4,0.0
