"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"acute-nephritis",32,"<function dropout at 0x7f73326abae8>",NA,1,NA,0,2,1,1
"acute-nephritis",16,"<function dropout at 0x7f73326abae8>",NA,1,NA,0,2,1,1
"acute-nephritis",8,"<function dropout at 0x7f73326abae8>",NA,0.01,NA,0,2,1,1
"acute-nephritis",8,"<function dropout at 0x7f73326abae8>",NA,0.1,NA,0,2,1,1
"acute-nephritis",8,"<function dropout at 0x7f73326abae8>",NA,1,NA,0,2,1,1
"acute-nephritis",4,"<function dropout at 0x7f73326abae8>",NA,0.01,NA,0,2,1,1
"acute-nephritis",4,"<function dropout at 0x7f73326abae8>",NA,0.1,NA,0,2,1,1
"acute-nephritis",4,"<function dropout at 0x7f73326abae8>",NA,1,NA,0,2,1,1
"acute-nephritis",3,"<function dropout at 0x7f73326abae8>",NA,0.1,NA,0,2,1,0.966666698455811
"acute-nephritis",3,"<function dropout at 0x7f73326abae8>",NA,1,NA,0.5,2,1,1
"acute-nephritis",3,"<function dropout at 0x7f73326abae8>",NA,1,NA,0,2,1,1
"acute-nephritis",2,"<function dropout at 0x7f73326abae8>",NA,0.01,NA,0.5,2,1,0.800000071525574
"acute-nephritis",2,"<function dropout at 0x7f73326abae8>",NA,0.01,NA,0,2,1,0.700000047683716
"acute-nephritis",2,"<function dropout at 0x7f73326abae8>",NA,0.1,NA,0.5,2,1,1
"acute-nephritis",2,"<function dropout at 0x7f73326abae8>",NA,0.1,NA,0,2,1,1
"acute-nephritis",2,"<function dropout at 0x7f73326abae8>",NA,1,NA,0.5,2,1,1
"acute-nephritis",2,"<function dropout at 0x7f73326abae8>",NA,1,NA,0,2,1,1
"acute-nephritis",3,"<function dropout at 0x7f73326abae8>",NA,0.01,NA,0.5,2,0.899999976158142,0.666666746139526
"acute-nephritis",3,"<function dropout at 0x7f73326abae8>",NA,0.01,NA,0,2,0.899999976158142,0.933333396911621
"acute-nephritis",16,"<function dropout at 0x7f73326abae8>",NA,0.1,NA,0,2,0.840000021457672,0.866666734218597
"acute-nephritis",16,"<function dropout at 0x7f73326abae8>",NA,0.01,NA,0,2,0.840000009536743,0.833333373069763
"acute-nephritis",8,"<function dropout at 0x7f73326abae8>",NA,0.01,NA,0.5,2,0.830000007152558,0.566666722297668
"acute-nephritis",4,"<function dropout at 0x7f73326abae8>",NA,0.01,NA,0.5,2,0.81000000834465,0.866666734218597
"acute-nephritis",4,"<function dropout at 0x7f73326abae8>",NA,1,NA,0.5,2,0.800000002980232,1
"acute-nephritis",3,"<function dropout at 0x7f73326abae8>",NA,0.1,NA,0.5,2,0.600000023841858,0.666666746139526
"acute-nephritis",16,"<function dropout at 0x7f73326abae8>",NA,0.1,NA,0.5,2,0.570000013709068,0.533333361148834
"acute-nephritis",8,"<function dropout at 0x7f73326abae8>",NA,1,NA,0.5,2,0.520000019669533,0.666666746139526
"acute-nephritis",16,"<function dropout at 0x7f73326abae8>",NA,1,NA,0.5,2,0.500000012665987,0.566666722297668
"acute-nephritis",4,"<function dropout at 0x7f73326abae8>",NA,0.1,NA,0.5,2,0.48000001013279,0.600000023841858
"acute-nephritis",32,"<function dropout at 0x7f73326abae8>",NA,1,NA,0.5,2,0.420000006258488,0.600000023841858
"acute-nephritis",32,"<function dropout at 0x7f73326abae8>",NA,0.01,NA,0.5,2,0.400000005960465,0.600000023841858
"acute-nephritis",32,"<function dropout at 0x7f73326abae8>",NA,0.01,NA,0,2,0.400000005960465,0.600000023841858
"acute-nephritis",32,"<function dropout at 0x7f73326abae8>",NA,0.1,NA,0.5,2,0.400000005960465,0.600000023841858
"acute-nephritis",32,"<function dropout at 0x7f73326abae8>",NA,0.1,NA,0,2,0.400000005960465,0.600000023841858
"acute-nephritis",16,"<function dropout at 0x7f73326abae8>",NA,0.01,NA,0.5,2,0.400000005960465,0.600000023841858
"acute-nephritis",8,"<function dropout at 0x7f73326abae8>",NA,0.1,NA,0.5,2,0.400000005960465,0.600000023841858
