"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"audiology-std",2,"<function dropout at 0x7f2ebef31ae8>",NA,0.1,NA,0,2,0.751612901687622,0.719999969005585
"audiology-std",4,"<function dropout at 0x7f2ebef31ae8>",NA,1,NA,0,2,0.738709682226181,0.719999969005585
"audiology-std",3,"<function dropout at 0x7f2ebef31ae8>",NA,1,NA,0,2,0.706451588869095,0.719999969005585
"audiology-std",2,"<function dropout at 0x7f2ebef31ae8>",NA,0.1,NA,0.5,2,0.690322542190552,0.719999969005585
"audiology-std",3,"<function dropout at 0x7f2ebef31ae8>",NA,0.1,NA,0,2,0.677419304847717,0.560000002384186
"audiology-std",2,"<function dropout at 0x7f2ebef31ae8>",NA,1,NA,0,2,0.616129040718079,0.679999947547913
"audiology-std",3,"<function dropout at 0x7f2ebef31ae8>",NA,0.1,NA,0.5,2,0.548387056589127,0.519999980926514
"audiology-std",4,"<function dropout at 0x7f2ebef31ae8>",NA,0.1,NA,0,2,0.548387050628662,0.679999947547913
"audiology-std",3,"<function dropout at 0x7f2ebef31ae8>",NA,0.01,NA,0.5,2,0.49032256603241,0.280000001192093
"audiology-std",4,"<function dropout at 0x7f2ebef31ae8>",NA,0.1,NA,0.5,2,0.435483857989311,0.439999997615814
"audiology-std",2,"<function dropout at 0x7f2ebef31ae8>",NA,1,NA,0.5,2,0.399999988079071,0.679999947547913
"audiology-std",4,"<function dropout at 0x7f2ebef31ae8>",NA,0.01,NA,0.5,2,0.387096762657166,0.199999988079071
"audiology-std",32,"<function dropout at 0x7f2ebef31ae8>",NA,0.01,NA,0,2,0.354838699102402,0
"audiology-std",32,"<function dropout at 0x7f2ebef31ae8>",NA,0.1,NA,0,2,0.354838699102402,0
"audiology-std",16,"<function dropout at 0x7f2ebef31ae8>",NA,0.01,NA,0,2,0.354838699102402,0
"audiology-std",16,"<function dropout at 0x7f2ebef31ae8>",NA,0.1,NA,0,2,0.354838699102402,0
"audiology-std",3,"<function dropout at 0x7f2ebef31ae8>",NA,0.01,NA,0,2,0.354838699102402,0.399999976158142
"audiology-std",2,"<function dropout at 0x7f2ebef31ae8>",NA,0.01,NA,0.5,2,0.354838699102402,0.359999984502792
"audiology-std",8,"<function dropout at 0x7f2ebef31ae8>",NA,0.1,NA,0,2,0.351612892746925,0.439999997615814
"audiology-std",8,"<function dropout at 0x7f2ebef31ae8>",NA,1,NA,0,2,0.341935473680496,0.119999997317791
"audiology-std",32,"<function dropout at 0x7f2ebef31ae8>",NA,1,NA,0,2,0.329032248258591,0.439999997615814
"audiology-std",4,"<function dropout at 0x7f2ebef31ae8>",NA,0.01,NA,0,2,0.306451603770256,0.279999971389771
"audiology-std",8,"<function dropout at 0x7f2ebef31ae8>",NA,0.01,NA,0.5,2,0.290322571992874,0
"audiology-std",16,"<function dropout at 0x7f2ebef31ae8>",NA,1,NA,0,2,0.283870959281921,0.0399999991059303
"audiology-std",8,"<function dropout at 0x7f2ebef31ae8>",NA,0.01,NA,0,2,0.25806450843811,0.0399999991059303
"audiology-std",3,"<function dropout at 0x7f2ebef31ae8>",NA,1,NA,0.5,2,0.167741930484772,0.439999997615814
"audiology-std",32,"<function dropout at 0x7f2ebef31ae8>",NA,0.01,NA,0.5,2,0.161290317773819,0.439999997615814
"audiology-std",32,"<function dropout at 0x7f2ebef31ae8>",NA,0.1,NA,0.5,2,0.161290317773819,0.439999997615814
"audiology-std",32,"<function dropout at 0x7f2ebef31ae8>",NA,1,NA,0.5,2,0.161290317773819,0.439999997615814
"audiology-std",16,"<function dropout at 0x7f2ebef31ae8>",NA,0.01,NA,0.5,2,0.161290317773819,0.439999997615814
"audiology-std",16,"<function dropout at 0x7f2ebef31ae8>",NA,0.1,NA,0.5,2,0.161290317773819,0.439999997615814
"audiology-std",16,"<function dropout at 0x7f2ebef31ae8>",NA,1,NA,0.5,2,0.161290317773819,0.439999997615814
"audiology-std",8,"<function dropout at 0x7f2ebef31ae8>",NA,0.1,NA,0.5,2,0.161290317773819,0.439999997615814
"audiology-std",8,"<function dropout at 0x7f2ebef31ae8>",NA,1,NA,0.5,2,0.161290317773819,0.439999997615814
"audiology-std",4,"<function dropout at 0x7f2ebef31ae8>",NA,1,NA,0.5,2,0.161290317773819,0.439999997615814
"audiology-std",2,"<function dropout at 0x7f2ebef31ae8>",NA,0.01,NA,0,2,0.0903225779533386,0.119999997317791
