"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"bank",4,"<function dropout at 0x7fd2f92abae8>",NA,0.1,NA,0,2,0.876722520589829,0.888495564460754
"bank",3,"<function dropout at 0x7fd2f92abae8>",NA,1,NA,0,2,0.872998142242432,0.891150414943695
"bank",3,"<function dropout at 0x7fd2f92abae8>",NA,0.1,NA,0,2,0.872811943292618,0.885840713977814
"bank",2,"<function dropout at 0x7fd2f92abae8>",NA,1,NA,0.5,2,0.871880823373795,0.88938045501709
"bank",16,"<function dropout at 0x7fd2f92abae8>",NA,1,NA,0,2,0.870949721336365,0.888495564460754
"bank",2,"<function dropout at 0x7fd2f92abae8>",NA,1,NA,0,2,0.870763498544693,0.892035305500031
"bank",2,"<function dropout at 0x7fd2f92abae8>",NA,0.1,NA,0,2,0.86983243227005,0.888495564460754
"bank",4,"<function dropout at 0x7fd2f92abae8>",NA,1,NA,0,2,0.868901318311691,0.89203542470932
"bank",8,"<function dropout at 0x7fd2f92abae8>",NA,0.1,NA,0,2,0.868342643976212,0.886725664138794
"bank",2,"<function dropout at 0x7fd2f92abae8>",NA,0.01,NA,0,2,0.867783999443054,0.898230195045471
"bank",4,"<function dropout at 0x7fd2f92abae8>",NA,0.01,NA,0,2,0.867783975601196,0.886725664138794
"bank",8,"<function dropout at 0x7fd2f92abae8>",NA,1,NA,0,2,0.866108018159866,0.89026540517807
"bank",3,"<function dropout at 0x7fd2f92abae8>",NA,1,NA,0.5,2,0.866108012199402,0.884955704212189
"bank",8,"<function dropout at 0x7fd2f92abae8>",NA,1,NA,0.5,2,0.865921801328659,0.884955644607544
"bank",32,"<function dropout at 0x7fd2f92abae8>",NA,0.1,NA,0.5,2,0.865921801328659,0.884955763816833
"bank",32,"<function dropout at 0x7fd2f92abae8>",NA,0.01,NA,0.5,2,0.865921795368195,0.884955704212189
"bank",32,"<function dropout at 0x7fd2f92abae8>",NA,0.01,NA,0,2,0.865921795368195,0.884955644607544
"bank",32,"<function dropout at 0x7fd2f92abae8>",NA,0.1,NA,0,2,0.865921795368195,0.884955644607544
"bank",32,"<function dropout at 0x7fd2f92abae8>",NA,1,NA,0.5,2,0.865921795368195,0.884955704212189
"bank",32,"<function dropout at 0x7fd2f92abae8>",NA,1,NA,0,2,0.865921795368195,0.884955704212189
"bank",16,"<function dropout at 0x7fd2f92abae8>",NA,0.01,NA,0.5,2,0.865921795368195,0.884955704212189
"bank",16,"<function dropout at 0x7fd2f92abae8>",NA,0.1,NA,0.5,2,0.865921795368195,0.884955704212189
"bank",16,"<function dropout at 0x7fd2f92abae8>",NA,0.1,NA,0,2,0.865921795368195,0.884955763816833
"bank",16,"<function dropout at 0x7fd2f92abae8>",NA,1,NA,0.5,2,0.865921795368195,0.884955763816833
"bank",8,"<function dropout at 0x7fd2f92abae8>",NA,0.01,NA,0.5,2,0.865921795368195,0.884955704212189
"bank",8,"<function dropout at 0x7fd2f92abae8>",NA,0.01,NA,0,2,0.865921795368195,0.884955644607544
"bank",8,"<function dropout at 0x7fd2f92abae8>",NA,0.1,NA,0.5,2,0.865921795368195,0.884955704212189
"bank",4,"<function dropout at 0x7fd2f92abae8>",NA,0.01,NA,0.5,2,0.865921795368195,0.884955644607544
"bank",4,"<function dropout at 0x7fd2f92abae8>",NA,0.1,NA,0.5,2,0.865921795368195,0.884955763816833
"bank",4,"<function dropout at 0x7fd2f92abae8>",NA,1,NA,0.5,2,0.865921795368195,0.884955763816833
"bank",3,"<function dropout at 0x7fd2f92abae8>",NA,0.01,NA,0.5,2,0.865921795368195,0.884955644607544
"bank",3,"<function dropout at 0x7fd2f92abae8>",NA,0.01,NA,0,2,0.865921795368195,0.890265464782715
"bank",2,"<function dropout at 0x7fd2f92abae8>",NA,0.01,NA,0.5,2,0.865921795368195,0.883185744285583
"bank",2,"<function dropout at 0x7fd2f92abae8>",NA,0.1,NA,0.5,2,0.865921795368195,0.884955704212189
"bank",16,"<function dropout at 0x7fd2f92abae8>",NA,0.01,NA,0,2,0.86592178940773,0.884955763816833
"bank",3,"<function dropout at 0x7fd2f92abae8>",NA,0.1,NA,0.5,2,0.86592178940773,0.884955763816833
