"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"breast-cancer-wisc-prog",3,"<function dropout at 0x7f371e841ae8>",NA,1,NA,0,2,0.84666673541069,0.836734652519226
"breast-cancer-wisc-prog",2,"<function dropout at 0x7f371e841ae8>",NA,0.01,NA,0.5,2,0.826666736602783,0.714285671710968
"breast-cancer-wisc-prog",32,"<function dropout at 0x7f371e841ae8>",NA,0.01,NA,0.5,2,0.800000071525574,0.775510191917419
"breast-cancer-wisc-prog",32,"<function dropout at 0x7f371e841ae8>",NA,0.01,NA,0,2,0.800000071525574,0.775510191917419
"breast-cancer-wisc-prog",32,"<function dropout at 0x7f371e841ae8>",NA,0.1,NA,0.5,2,0.800000071525574,0.775510191917419
"breast-cancer-wisc-prog",32,"<function dropout at 0x7f371e841ae8>",NA,0.1,NA,0,2,0.800000071525574,0.775510191917419
"breast-cancer-wisc-prog",32,"<function dropout at 0x7f371e841ae8>",NA,1,NA,0.5,2,0.800000071525574,0.775510191917419
"breast-cancer-wisc-prog",32,"<function dropout at 0x7f371e841ae8>",NA,1,NA,0,2,0.800000071525574,0.775510191917419
"breast-cancer-wisc-prog",16,"<function dropout at 0x7f371e841ae8>",NA,0.01,NA,0.5,2,0.800000071525574,0.775510191917419
"breast-cancer-wisc-prog",16,"<function dropout at 0x7f371e841ae8>",NA,0.01,NA,0,2,0.800000071525574,0.775510191917419
"breast-cancer-wisc-prog",16,"<function dropout at 0x7f371e841ae8>",NA,0.1,NA,0.5,2,0.800000071525574,0.775510191917419
"breast-cancer-wisc-prog",16,"<function dropout at 0x7f371e841ae8>",NA,0.1,NA,0,2,0.800000071525574,0.775510191917419
"breast-cancer-wisc-prog",16,"<function dropout at 0x7f371e841ae8>",NA,1,NA,0.5,2,0.800000071525574,0.775510191917419
"breast-cancer-wisc-prog",16,"<function dropout at 0x7f371e841ae8>",NA,1,NA,0,2,0.800000071525574,0.775510191917419
"breast-cancer-wisc-prog",8,"<function dropout at 0x7f371e841ae8>",NA,0.01,NA,0.5,2,0.800000071525574,0.775510191917419
"breast-cancer-wisc-prog",8,"<function dropout at 0x7f371e841ae8>",NA,0.01,NA,0,2,0.800000071525574,0.755102038383484
"breast-cancer-wisc-prog",8,"<function dropout at 0x7f371e841ae8>",NA,0.1,NA,0.5,2,0.800000071525574,0.775510191917419
"breast-cancer-wisc-prog",8,"<function dropout at 0x7f371e841ae8>",NA,0.1,NA,0,2,0.800000071525574,0.775510191917419
"breast-cancer-wisc-prog",8,"<function dropout at 0x7f371e841ae8>",NA,1,NA,0.5,2,0.800000071525574,0.775510191917419
"breast-cancer-wisc-prog",4,"<function dropout at 0x7f371e841ae8>",NA,0.01,NA,0.5,2,0.800000071525574,0.755102038383484
"breast-cancer-wisc-prog",4,"<function dropout at 0x7f371e841ae8>",NA,0.1,NA,0.5,2,0.800000071525574,0.775510191917419
"breast-cancer-wisc-prog",4,"<function dropout at 0x7f371e841ae8>",NA,1,NA,0.5,2,0.800000071525574,0.775510191917419
"breast-cancer-wisc-prog",3,"<function dropout at 0x7f371e841ae8>",NA,0.01,NA,0,2,0.800000071525574,0.795918345451355
"breast-cancer-wisc-prog",3,"<function dropout at 0x7f371e841ae8>",NA,0.1,NA,0.5,2,0.800000071525574,0.755102038383484
"breast-cancer-wisc-prog",3,"<function dropout at 0x7f371e841ae8>",NA,0.1,NA,0,2,0.800000071525574,0.755102038383484
"breast-cancer-wisc-prog",3,"<function dropout at 0x7f371e841ae8>",NA,1,NA,0.5,2,0.800000071525574,0.775510191917419
"breast-cancer-wisc-prog",2,"<function dropout at 0x7f371e841ae8>",NA,0.1,NA,0.5,2,0.800000071525574,0.755102038383484
"breast-cancer-wisc-prog",2,"<function dropout at 0x7f371e841ae8>",NA,0.1,NA,0,2,0.800000071525574,0.857142806053162
"breast-cancer-wisc-prog",4,"<function dropout at 0x7f371e841ae8>",NA,0.01,NA,0,2,0.786666738986969,0.755102038383484
"breast-cancer-wisc-prog",4,"<function dropout at 0x7f371e841ae8>",NA,1,NA,0,2,0.780000072717667,0.734693884849548
"breast-cancer-wisc-prog",8,"<function dropout at 0x7f371e841ae8>",NA,1,NA,0,2,0.780000072717667,0.816326498985291
"breast-cancer-wisc-prog",2,"<function dropout at 0x7f371e841ae8>",NA,1,NA,0,2,0.746666741371155,0.836734652519226
"breast-cancer-wisc-prog",2,"<function dropout at 0x7f371e841ae8>",NA,1,NA,0.5,2,0.746666741371155,0.653061151504517
"breast-cancer-wisc-prog",4,"<function dropout at 0x7f371e841ae8>",NA,0.1,NA,0,2,0.73333340883255,0.734693884849548
"breast-cancer-wisc-prog",3,"<function dropout at 0x7f371e841ae8>",NA,0.01,NA,0.5,2,0.73333340883255,0.693877518177032
"breast-cancer-wisc-prog",2,"<function dropout at 0x7f371e841ae8>",NA,0.01,NA,0,2,0.73333340883255,0.816326498985291
