"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"breast-tissue",2,"<function dropout at 0x7fc9cb401ae8>",NA,0.1,NA,0,2,0.642857193946838,0.615384697914124
"breast-tissue",3,"<function dropout at 0x7fc9cb401ae8>",NA,1,NA,0,2,0.578571444749832,0.576923131942749
"breast-tissue",2,"<function dropout at 0x7fc9cb401ae8>",NA,0.1,NA,0.5,2,0.571428596973419,0.384615421295166
"breast-tissue",4,"<function dropout at 0x7fc9cb401ae8>",NA,0.01,NA,0.5,2,0.492857146263122,0.423076927661896
"breast-tissue",2,"<function dropout at 0x7fc9cb401ae8>",NA,1,NA,0,2,0.478571438789368,0.538461565971375
"breast-tissue",4,"<function dropout at 0x7fc9cb401ae8>",NA,0.1,NA,0,2,0.478571438789368,0.615384697914124
"breast-tissue",3,"<function dropout at 0x7fc9cb401ae8>",NA,1,NA,0.5,2,0.4285714417696,0.615384638309479
"breast-tissue",3,"<function dropout at 0x7fc9cb401ae8>",NA,0.1,NA,0.5,2,0.414285728335381,0.423076957464218
"breast-tissue",4,"<function dropout at 0x7fc9cb401ae8>",NA,1,NA,0,2,0.407142880558968,0.538461565971375
"breast-tissue",4,"<function dropout at 0x7fc9cb401ae8>",NA,0.1,NA,0.5,2,0.400000023841858,0.384615421295166
"breast-tissue",2,"<function dropout at 0x7fc9cb401ae8>",NA,1,NA,0.5,2,0.38571429848671,0.576923131942749
"breast-tissue",3,"<function dropout at 0x7fc9cb401ae8>",NA,0.1,NA,0,2,0.37142858505249,0.46153849363327
"breast-tissue",16,"<function dropout at 0x7fc9cb401ae8>",NA,0.1,NA,0,2,0.328571438789368,0.384615421295166
"breast-tissue",4,"<function dropout at 0x7fc9cb401ae8>",NA,1,NA,0.5,2,0.314285731315613,0.5
"breast-tissue",8,"<function dropout at 0x7fc9cb401ae8>",NA,1,NA,0,2,0.307142874598503,0.615384638309479
"breast-tissue",16,"<function dropout at 0x7fc9cb401ae8>",NA,1,NA,0.5,2,0.300000011920929,0.230769246816635
"breast-tissue",32,"<function dropout at 0x7fc9cb401ae8>",NA,1,NA,0,2,0.28571429848671,0.192307710647583
"breast-tissue",8,"<function dropout at 0x7fc9cb401ae8>",NA,0.1,NA,0,2,0.28571429848671,0.615384638309479
"breast-tissue",8,"<function dropout at 0x7fc9cb401ae8>",NA,1,NA,0.5,2,0.28571429848671,0.192307710647583
"breast-tissue",2,"<function dropout at 0x7fc9cb401ae8>",NA,0.01,NA,0.5,2,0.28571429848671,0.653846144676208
"breast-tissue",32,"<function dropout at 0x7fc9cb401ae8>",NA,0.1,NA,0.5,2,0.257142868638039,0.192307710647583
"breast-tissue",3,"<function dropout at 0x7fc9cb401ae8>",NA,0.01,NA,0,2,0.250000014901161,0.384615421295166
"breast-tissue",16,"<function dropout at 0x7fc9cb401ae8>",NA,0.01,NA,0,2,0.242857158184051,0.15384615957737
"breast-tissue",4,"<function dropout at 0x7fc9cb401ae8>",NA,0.01,NA,0,2,0.214285731315613,0.269230782985687
"breast-tissue",32,"<function dropout at 0x7fc9cb401ae8>",NA,1,NA,0.5,2,0.185714292526245,0.269230782985687
"breast-tissue",16,"<function dropout at 0x7fc9cb401ae8>",NA,1,NA,0,2,0.178571440279484,0.576923131942749
"breast-tissue",32,"<function dropout at 0x7fc9cb401ae8>",NA,0.1,NA,0,2,0.171428582072258,0.192307710647583
"breast-tissue",8,"<function dropout at 0x7fc9cb401ae8>",NA,0.01,NA,0.5,2,0.171428582072258,0.115384623408318
"breast-tissue",16,"<function dropout at 0x7fc9cb401ae8>",NA,0.1,NA,0.5,2,0.150000007450581,0.269230782985687
"breast-tissue",32,"<function dropout at 0x7fc9cb401ae8>",NA,0.01,NA,0.5,2,0.142857149243355,0.269230782985687
"breast-tissue",32,"<function dropout at 0x7fc9cb401ae8>",NA,0.01,NA,0,2,0.142857149243355,0.0769230797886848
"breast-tissue",16,"<function dropout at 0x7fc9cb401ae8>",NA,0.01,NA,0.5,2,0.142857149243355,0.269230782985687
"breast-tissue",3,"<function dropout at 0x7fc9cb401ae8>",NA,0.01,NA,0.5,2,0.142857149243355,0.346153855323792
"breast-tissue",8,"<function dropout at 0x7fc9cb401ae8>",NA,0.01,NA,0,2,0.100000004470348,0
"breast-tissue",8,"<function dropout at 0x7fc9cb401ae8>",NA,0.1,NA,0.5,2,0.0928571470081806,0.269230782985687
"breast-tissue",2,"<function dropout at 0x7fc9cb401ae8>",NA,0.01,NA,0,2,0.0714285746216774,0.15384615957737
