"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"car",4,"<function dropout at 0x7f0bc2391ae8>",NA,1,NA,0,2,0.976595705747604,0.956018567085266
"car",2,"<function dropout at 0x7f0bc2391ae8>",NA,1,NA,0,2,0.973404240608216,0.981481611728668
"car",3,"<function dropout at 0x7f0bc2391ae8>",NA,1,NA,0,2,0.967553162574768,0.960648238658905
"car",8,"<function dropout at 0x7f0bc2391ae8>",NA,1,NA,0,2,0.961702102422714,0.960648119449615
"car",3,"<function dropout at 0x7f0bc2391ae8>",NA,0.1,NA,0,2,0.931914860010147,0.939814805984497
"car",16,"<function dropout at 0x7f0bc2391ae8>",NA,1,NA,0,2,0.914893579483032,0.905092656612396
"car",2,"<function dropout at 0x7f0bc2391ae8>",NA,0.1,NA,0,2,0.913829779624939,0.905092656612396
"car",16,"<function dropout at 0x7f0bc2391ae8>",NA,0.1,NA,0,2,0.909574443101883,0.916666626930237
"car",8,"<function dropout at 0x7f0bc2391ae8>",NA,0.1,NA,0,2,0.897340404987335,0.875
"car",2,"<function dropout at 0x7f0bc2391ae8>",NA,1,NA,0.5,2,0.855319136381149,0.872685253620148
"car",4,"<function dropout at 0x7f0bc2391ae8>",NA,0.01,NA,0,2,0.762234085798264,0.759259223937988
"car",4,"<function dropout at 0x7f0bc2391ae8>",NA,0.01,NA,0.5,2,0.744680821895599,0.703703761100769
"car",16,"<function dropout at 0x7f0bc2391ae8>",NA,1,NA,0.5,2,0.744148951768875,0.701388955116272
"car",32,"<function dropout at 0x7f0bc2391ae8>",NA,1,NA,0,2,0.742553198337555,0.701388955116272
"car",3,"<function dropout at 0x7f0bc2391ae8>",NA,1,NA,0.5,2,0.73936173915863,0.701388835906982
"car",16,"<function dropout at 0x7f0bc2391ae8>",NA,0.01,NA,0.5,2,0.739361727237701,0.701388955116272
"car",8,"<function dropout at 0x7f0bc2391ae8>",NA,1,NA,0.5,2,0.739361721277237,0.701388835906982
"car",3,"<function dropout at 0x7f0bc2391ae8>",NA,0.1,NA,0.5,2,0.739361721277237,0.701388955116272
"car",32,"<function dropout at 0x7f0bc2391ae8>",NA,0.01,NA,0,2,0.739361715316772,0.701388955116272
"car",32,"<function dropout at 0x7f0bc2391ae8>",NA,0.01,NA,0.5,2,0.739361715316772,0.701388835906982
"car",32,"<function dropout at 0x7f0bc2391ae8>",NA,1,NA,0.5,2,0.739361715316772,0.701388955116272
"car",8,"<function dropout at 0x7f0bc2391ae8>",NA,0.01,NA,0,2,0.739361715316772,0.701388835906982
"car",2,"<function dropout at 0x7f0bc2391ae8>",NA,0.01,NA,0.5,2,0.739361715316772,0.701388895511627
"car",2,"<function dropout at 0x7f0bc2391ae8>",NA,0.1,NA,0.5,2,0.739361715316772,0.701388955116272
"car",32,"<function dropout at 0x7f0bc2391ae8>",NA,0.1,NA,0.5,2,0.739361709356308,0.701388955116272
"car",16,"<function dropout at 0x7f0bc2391ae8>",NA,0.01,NA,0,2,0.739361709356308,0.701388955116272
"car",16,"<function dropout at 0x7f0bc2391ae8>",NA,0.1,NA,0.5,2,0.739361709356308,0.701388955116272
"car",8,"<function dropout at 0x7f0bc2391ae8>",NA,0.1,NA,0.5,2,0.739361709356308,0.701388955116272
"car",4,"<function dropout at 0x7f0bc2391ae8>",NA,0.1,NA,0.5,2,0.739361709356308,0.701388955116272
"car",4,"<function dropout at 0x7f0bc2391ae8>",NA,1,NA,0.5,2,0.739361709356308,0.701388955116272
"car",8,"<function dropout at 0x7f0bc2391ae8>",NA,0.01,NA,0.5,2,0.739361709356308,0.701388955116272
"car",32,"<function dropout at 0x7f0bc2391ae8>",NA,0.1,NA,0,2,0.739361703395843,0.701388955116272
"car",4,"<function dropout at 0x7f0bc2391ae8>",NA,0.1,NA,0,2,0.731382954120636,0.703703701496124
"car",3,"<function dropout at 0x7f0bc2391ae8>",NA,0.01,NA,0,2,0.726595729589462,0.706018567085266
"car",3,"<function dropout at 0x7f0bc2391ae8>",NA,0.01,NA,0.5,2,0.711170244216919,0.675925970077515
"car",2,"<function dropout at 0x7f0bc2391ae8>",NA,0.01,NA,0,2,0.703723442554474,0.717592597007751
