"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"cardiotocography-10clases",4,"<function dropout at 0x7f0264b80ae8>",NA,1,NA,0,2,0.873553675413132,0.84557443857193
"cardiotocography-10clases",3,"<function dropout at 0x7f0264b80ae8>",NA,1,NA,0,2,0.858677625656128,0.822975516319275
"cardiotocography-10clases",8,"<function dropout at 0x7f0264b80ae8>",NA,1,NA,0,2,0.83347105383873,0.830508410930634
"cardiotocography-10clases",2,"<function dropout at 0x7f0264b80ae8>",NA,1,NA,0,2,0.831818115711212,0.817325711250305
"cardiotocography-10clases",4,"<function dropout at 0x7f0264b80ae8>",NA,0.1,NA,0,2,0.810330551862717,0.798493444919586
"cardiotocography-10clases",2,"<function dropout at 0x7f0264b80ae8>",NA,1,NA,0.5,2,0.806611526012421,0.781544208526611
"cardiotocography-10clases",3,"<function dropout at 0x7f0264b80ae8>",NA,0.1,NA,0,2,0.806611520051956,0.800376653671265
"cardiotocography-10clases",8,"<function dropout at 0x7f0264b80ae8>",NA,0.1,NA,0,2,0.803718960285187,0.792843699455261
"cardiotocography-10clases",2,"<function dropout at 0x7f0264b80ae8>",NA,0.1,NA,0,2,0.802479285001755,0.804143190383911
"cardiotocography-10clases",3,"<function dropout at 0x7f0264b80ae8>",NA,1,NA,0.5,2,0.786363613605499,0.749529242515564
"cardiotocography-10clases",16,"<function dropout at 0x7f0264b80ae8>",NA,0.1,NA,0,2,0.766115671396256,0.72504711151123
"cardiotocography-10clases",2,"<function dropout at 0x7f0264b80ae8>",NA,0.1,NA,0.5,2,0.749999958276749,0.751412391662598
"cardiotocography-10clases",4,"<function dropout at 0x7f0264b80ae8>",NA,1,NA,0.5,2,0.717768555879593,0.672316372394562
"cardiotocography-10clases",3,"<function dropout at 0x7f0264b80ae8>",NA,0.1,NA,0.5,2,0.675206577777863,0.659133672714233
"cardiotocography-10clases",2,"<function dropout at 0x7f0264b80ae8>",NA,0.01,NA,0.5,2,0.637190073728561,0.564971804618835
"cardiotocography-10clases",4,"<function dropout at 0x7f0264b80ae8>",NA,0.01,NA,0,2,0.624380147457123,0.604519844055176
"cardiotocography-10clases",3,"<function dropout at 0x7f0264b80ae8>",NA,0.01,NA,0,2,0.608677649497986,0.621468901634216
"cardiotocography-10clases",2,"<function dropout at 0x7f0264b80ae8>",NA,0.01,NA,0,2,0.597933858633041,0.642184555530548
"cardiotocography-10clases",3,"<function dropout at 0x7f0264b80ae8>",NA,0.01,NA,0.5,2,0.51322312951088,0.43126180768013
"cardiotocography-10clases",8,"<function dropout at 0x7f0264b80ae8>",NA,0.01,NA,0,2,0.443801629543305,0.410546123981476
"cardiotocography-10clases",4,"<function dropout at 0x7f0264b80ae8>",NA,0.1,NA,0.5,2,0.412809893488884,0.435028284788132
"cardiotocography-10clases",4,"<function dropout at 0x7f0264b80ae8>",NA,0.01,NA,0.5,2,0.321074363589287,0.30885124206543
"cardiotocography-10clases",16,"<function dropout at 0x7f0264b80ae8>",NA,0.01,NA,0,2,0.313223114609718,0.280602633953094
"cardiotocography-10clases",32,"<function dropout at 0x7f0264b80ae8>",NA,0.01,NA,0,2,0.305785110592842,0.267419964075089
"cardiotocography-10clases",8,"<function dropout at 0x7f0264b80ae8>",NA,0.01,NA,0.5,2,0.295867756009102,0.280602633953094
"cardiotocography-10clases",8,"<function dropout at 0x7f0264b80ae8>",NA,0.1,NA,0.5,2,0.294628095626831,0.274952918291092
"cardiotocography-10clases",32,"<function dropout at 0x7f0264b80ae8>",NA,0.1,NA,0,2,0.293388426303864,0.274952918291092
"cardiotocography-10clases",32,"<function dropout at 0x7f0264b80ae8>",NA,1,NA,0,2,0.244628092646599,0.273069679737091
"cardiotocography-10clases",16,"<function dropout at 0x7f0264b80ae8>",NA,1,NA,0,2,0.19256197065115,0.180790960788727
"cardiotocography-10clases",32,"<function dropout at 0x7f0264b80ae8>",NA,1,NA,0.5,2,0.169421482086182,0.180790960788727
"cardiotocography-10clases",16,"<function dropout at 0x7f0264b80ae8>",NA,0.1,NA,0.5,2,0.169421482086182,0.180790960788727
"cardiotocography-10clases",16,"<function dropout at 0x7f0264b80ae8>",NA,1,NA,0.5,2,0.169421482086182,0.180790960788727
"cardiotocography-10clases",16,"<function dropout at 0x7f0264b80ae8>",NA,0.01,NA,0.5,2,0.169421480596066,0.180790960788727
"cardiotocography-10clases",8,"<function dropout at 0x7f0264b80ae8>",NA,1,NA,0.5,2,0.169421480596066,0.180790960788727
"cardiotocography-10clases",32,"<function dropout at 0x7f0264b80ae8>",NA,0.1,NA,0.5,2,0.169421479105949,0.180790960788727
"cardiotocography-10clases",32,"<function dropout at 0x7f0264b80ae8>",NA,0.01,NA,0.5,2,0.169421479105949,0.180790960788727
