"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"chess-krvk",16,"<function dropout at 0x7f99415dbae8>",NA,0.1,NA,0,2,0.53550409078598,0.525520384311676
"chess-krvk",16,"<function dropout at 0x7f99415dbae8>",NA,1,NA,0,2,0.52573576271534,0.533361852169037
"chess-krvk",8,"<function dropout at 0x7f99415dbae8>",NA,0.1,NA,0,2,0.518440824747086,0.51040780544281
"chess-krvk",4,"<function dropout at 0x7f99415dbae8>",NA,0.1,NA,0,2,0.495929878950119,0.491730779409409
"chess-krvk",4,"<function dropout at 0x7f99415dbae8>",NA,1,NA,0,2,0.493519112467766,0.483461648225784
"chess-krvk",3,"<function dropout at 0x7f99415dbae8>",NA,0.1,NA,0,2,0.491734504699707,0.491445660591125
"chess-krvk",2,"<function dropout at 0x7f99415dbae8>",NA,0.1,NA,0,2,0.489386358857155,0.48517245054245
"chess-krvk",8,"<function dropout at 0x7f99415dbae8>",NA,1,NA,0,2,0.4859110891819,0.465497553348541
"chess-krvk",3,"<function dropout at 0x7f99415dbae8>",NA,1,NA,0,2,0.478772705793381,0.468919306993484
"chess-krvk",2,"<function dropout at 0x7f99415dbae8>",NA,1,NA,0,2,0.467564180493355,0.446820646524429
"chess-krvk",32,"<function dropout at 0x7f99415dbae8>",NA,0.1,NA,0,2,0.449749532341957,0.456515550613403
"chess-krvk",32,"<function dropout at 0x7f99415dbae8>",NA,1,NA,0,2,0.406386986374855,0.413886487483978
"chess-krvk",8,"<function dropout at 0x7f99415dbae8>",NA,0.01,NA,0,2,0.336224177479744,0.342743068933487
"chess-krvk",2,"<function dropout at 0x7f99415dbae8>",NA,0.01,NA,0,2,0.330901697278023,0.330624461174011
"chess-krvk",3,"<function dropout at 0x7f99415dbae8>",NA,0.01,NA,0,2,0.328490918874741,0.3300541639328
"chess-krvk",4,"<function dropout at 0x7f99415dbae8>",NA,0.01,NA,0,2,0.314746394753456,0.319218695163727
"chess-krvk",2,"<function dropout at 0x7f99415dbae8>",NA,1,NA,0.5,2,0.260112704336643,0.273310512304306
"chess-krvk",2,"<function dropout at 0x7f99415dbae8>",NA,0.1,NA,0.5,2,0.256543524563313,0.263045340776443
"chess-krvk",16,"<function dropout at 0x7f99415dbae8>",NA,0.01,NA,0,2,0.230964316427708,0.23994867503643
"chess-krvk",3,"<function dropout at 0x7f99415dbae8>",NA,1,NA,0.5,2,0.22135253995657,0.207299694418907
"chess-krvk",4,"<function dropout at 0x7f99415dbae8>",NA,1,NA,0.5,2,0.219787099957466,0.230824068188667
"chess-krvk",3,"<function dropout at 0x7f99415dbae8>",NA,0.1,NA,0.5,2,0.204101450741291,0.21200455725193
"chess-krvk",4,"<function dropout at 0x7f99415dbae8>",NA,0.1,NA,0.5,2,0.183093306422234,0.194325640797615
"chess-krvk",2,"<function dropout at 0x7f99415dbae8>",NA,0.01,NA,0.5,2,0.166750167310238,0.175791263580322
"chess-krvk",3,"<function dropout at 0x7f99415dbae8>",NA,0.01,NA,0.5,2,0.162523481249809,0.175933852791786
"chess-krvk",16,"<function dropout at 0x7f99415dbae8>",NA,0.01,NA,0.5,2,0.156919229030609,0.16338749229908
"chess-krvk",32,"<function dropout at 0x7f99415dbae8>",NA,0.01,NA,0,2,0.156856596469879,0.163244932889938
"chess-krvk",16,"<function dropout at 0x7f99415dbae8>",NA,0.1,NA,0.5,2,0.156574836373329,0.162674635648727
"chess-krvk",8,"<function dropout at 0x7f99415dbae8>",NA,1,NA,0.5,2,0.156418284773827,0.164955794811249
"chess-krvk",32,"<function dropout at 0x7f99415dbae8>",NA,0.1,NA,0.5,2,0.155385096371174,0.163244932889938
"chess-krvk",8,"<function dropout at 0x7f99415dbae8>",NA,0.1,NA,0.5,2,0.153819665312767,0.158682614564896
"chess-krvk",32,"<function dropout at 0x7f99415dbae8>",NA,1,NA,0.5,2,0.153600493073463,0.163244932889938
"chess-krvk",16,"<function dropout at 0x7f99415dbae8>",NA,1,NA,0.5,2,0.15306825786829,0.160821199417114
"chess-krvk",32,"<function dropout at 0x7f99415dbae8>",NA,0.01,NA,0.5,2,0.151909828186035,0.152979761362076
"chess-krvk",4,"<function dropout at 0x7f99415dbae8>",NA,0.01,NA,0.5,2,0.143299940228462,0.145566001534462
"chess-krvk",8,"<function dropout at 0x7f99415dbae8>",NA,0.01,NA,0.5,2,0.140043839812279,0.148560017347336
