"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"conn-bench-sonar-mines-rocks",2,"<function dropout at 0x7fefe0b61ae8>",NA,1,NA,0,2,0.851851880550385,0.846153855323792
"conn-bench-sonar-mines-rocks",4,"<function dropout at 0x7fefe0b61ae8>",NA,0.1,NA,0,2,0.811111104488373,0.71153849363327
"conn-bench-sonar-mines-rocks",3,"<function dropout at 0x7fefe0b61ae8>",NA,1,NA,0,2,0.811111104488373,0.807692348957062
"conn-bench-sonar-mines-rocks",8,"<function dropout at 0x7fefe0b61ae8>",NA,1,NA,0,2,0.770370382070541,0.846153855323792
"conn-bench-sonar-mines-rocks",2,"<function dropout at 0x7fefe0b61ae8>",NA,0.1,NA,0.5,2,0.744444477558136,0.730769276618958
"conn-bench-sonar-mines-rocks",3,"<function dropout at 0x7fefe0b61ae8>",NA,0.1,NA,0,2,0.740740776062012,0.865384697914124
"conn-bench-sonar-mines-rocks",2,"<function dropout at 0x7fefe0b61ae8>",NA,0.01,NA,0,2,0.740740776062012,0.846153974533081
"conn-bench-sonar-mines-rocks",2,"<function dropout at 0x7fefe0b61ae8>",NA,0.01,NA,0.5,2,0.707407456636429,0.557692348957062
"conn-bench-sonar-mines-rocks",2,"<function dropout at 0x7fefe0b61ae8>",NA,0.1,NA,0,2,0.703703761100769,0.846153855323792
"conn-bench-sonar-mines-rocks",8,"<function dropout at 0x7fefe0b61ae8>",NA,0.1,NA,0,2,0.67037039399147,0.653846204280853
"conn-bench-sonar-mines-rocks",3,"<function dropout at 0x7fefe0b61ae8>",NA,0.1,NA,0.5,2,0.666666686534882,0.711538553237915
"conn-bench-sonar-mines-rocks",4,"<function dropout at 0x7fefe0b61ae8>",NA,1,NA,0,2,0.666666686534881,0.788461565971375
"conn-bench-sonar-mines-rocks",16,"<function dropout at 0x7fefe0b61ae8>",NA,1,NA,0,2,0.655555582046509,0.826923131942749
"conn-bench-sonar-mines-rocks",4,"<function dropout at 0x7fefe0b61ae8>",NA,0.01,NA,0.5,2,0.648148155212402,0.750000059604645
"conn-bench-sonar-mines-rocks",3,"<function dropout at 0x7fefe0b61ae8>",NA,0.01,NA,0,2,0.629629611968994,0.653846144676208
"conn-bench-sonar-mines-rocks",4,"<function dropout at 0x7fefe0b61ae8>",NA,0.01,NA,0,2,0.62592591047287,0.750000059604645
"conn-bench-sonar-mines-rocks",4,"<function dropout at 0x7fefe0b61ae8>",NA,0.1,NA,0.5,2,0.614814811944962,0.653846204280853
"conn-bench-sonar-mines-rocks",3,"<function dropout at 0x7fefe0b61ae8>",NA,0.01,NA,0.5,2,0.603703701496124,0.673076927661896
"conn-bench-sonar-mines-rocks",8,"<function dropout at 0x7fefe0b61ae8>",NA,0.01,NA,0,2,0.6,0.480769246816635
"conn-bench-sonar-mines-rocks",16,"<function dropout at 0x7fefe0b61ae8>",NA,0.1,NA,0,2,0.570370388031006,0.519230842590332
"conn-bench-sonar-mines-rocks",8,"<function dropout at 0x7fefe0b61ae8>",NA,0.01,NA,0.5,2,0.566666674613953,0.538461565971375
"conn-bench-sonar-mines-rocks",2,"<function dropout at 0x7fefe0b61ae8>",NA,1,NA,0.5,2,0.525925922393799,0.538461565971375
"conn-bench-sonar-mines-rocks",32,"<function dropout at 0x7fefe0b61ae8>",NA,1,NA,0,2,0.525925916433334,0.538461565971375
"conn-bench-sonar-mines-rocks",32,"<function dropout at 0x7fefe0b61ae8>",NA,0.01,NA,0.5,2,0.518518507480621,0.538461565971375
"conn-bench-sonar-mines-rocks",32,"<function dropout at 0x7fefe0b61ae8>",NA,0.1,NA,0.5,2,0.518518507480621,0.538461565971375
"conn-bench-sonar-mines-rocks",32,"<function dropout at 0x7fefe0b61ae8>",NA,0.1,NA,0,2,0.518518507480621,0.538461565971375
"conn-bench-sonar-mines-rocks",32,"<function dropout at 0x7fefe0b61ae8>",NA,1,NA,0.5,2,0.518518507480621,0.538461565971375
"conn-bench-sonar-mines-rocks",16,"<function dropout at 0x7fefe0b61ae8>",NA,0.01,NA,0.5,2,0.518518507480621,0.538461565971375
"conn-bench-sonar-mines-rocks",16,"<function dropout at 0x7fefe0b61ae8>",NA,0.01,NA,0,2,0.518518507480621,0.538461565971375
"conn-bench-sonar-mines-rocks",16,"<function dropout at 0x7fefe0b61ae8>",NA,0.1,NA,0.5,2,0.518518507480621,0.538461565971375
"conn-bench-sonar-mines-rocks",16,"<function dropout at 0x7fefe0b61ae8>",NA,1,NA,0.5,2,0.518518507480621,0.538461565971375
"conn-bench-sonar-mines-rocks",8,"<function dropout at 0x7fefe0b61ae8>",NA,0.1,NA,0.5,2,0.518518507480621,0.538461565971375
"conn-bench-sonar-mines-rocks",8,"<function dropout at 0x7fefe0b61ae8>",NA,1,NA,0.5,2,0.518518507480621,0.538461565971375
"conn-bench-sonar-mines-rocks",4,"<function dropout at 0x7fefe0b61ae8>",NA,1,NA,0.5,2,0.518518507480621,0.538461565971375
"conn-bench-sonar-mines-rocks",3,"<function dropout at 0x7fefe0b61ae8>",NA,1,NA,0.5,2,0.518518507480621,0.538461565971375
"conn-bench-sonar-mines-rocks",32,"<function dropout at 0x7fefe0b61ae8>",NA,0.01,NA,0,2,0.488888901472092,0.442307710647583
