"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"connect-4",4,"<function dropout at 0x7fa879416ae8>",NA,1,NA,0,2,0.868311411142349,0.859909296035767
"connect-4",2,"<function dropout at 0x7fa879416ae8>",NA,0.1,NA,0,2,0.86694832444191,0.859080255031586
"connect-4",2,"<function dropout at 0x7fa879416ae8>",NA,1,NA,0,2,0.866584819555283,0.860086917877197
"connect-4",3,"<function dropout at 0x7fa879416ae8>",NA,1,NA,0,2,0.865169775485992,0.866304039955139
"connect-4",8,"<function dropout at 0x7fa879416ae8>",NA,0.1,NA,0,2,0.865156763792038,0.860678970813751
"connect-4",3,"<function dropout at 0x7fa879416ae8>",NA,0.1,NA,0,2,0.864572584629059,0.860915839672089
"connect-4",4,"<function dropout at 0x7fa879416ae8>",NA,0.1,NA,0,2,0.862456542253494,0.858843564987183
"connect-4",2,"<function dropout at 0x7fa879416ae8>",NA,1,NA,0.5,2,0.833376854658127,0.838297545909882
"connect-4",3,"<function dropout at 0x7fa879416ae8>",NA,1,NA,0.5,2,0.815968078374863,0.816093623638153
"connect-4",3,"<function dropout at 0x7fa879416ae8>",NA,0.01,NA,0,2,0.815396863222122,0.818935811519623
"connect-4",4,"<function dropout at 0x7fa879416ae8>",NA,0.01,NA,0,2,0.813813078403473,0.824442386627197
"connect-4",2,"<function dropout at 0x7fa879416ae8>",NA,0.01,NA,0,2,0.810320943593979,0.822133123874664
"connect-4",2,"<function dropout at 0x7fa879416ae8>",NA,0.1,NA,0.5,2,0.784564739465713,0.786251783370972
"connect-4",16,"<function dropout at 0x7fa879416ae8>",NA,0.01,NA,0,2,0.752797853946686,0.754278302192688
"connect-4",32,"<function dropout at 0x7fa879416ae8>",NA,0.01,NA,0,2,0.752304553985596,0.753804564476013
"connect-4",32,"<function dropout at 0x7fa879416ae8>",NA,0.1,NA,0.5,2,0.752304553985596,0.753804564476013
"connect-4",32,"<function dropout at 0x7fa879416ae8>",NA,0.1,NA,0,2,0.752304553985596,0.753804564476013
"connect-4",32,"<function dropout at 0x7fa879416ae8>",NA,1,NA,0.5,2,0.752304553985596,0.753804564476013
"connect-4",32,"<function dropout at 0x7fa879416ae8>",NA,1,NA,0,2,0.752304553985596,0.753804564476013
"connect-4",16,"<function dropout at 0x7fa879416ae8>",NA,0.01,NA,0.5,2,0.752304553985596,0.753804564476013
"connect-4",16,"<function dropout at 0x7fa879416ae8>",NA,0.1,NA,0.5,2,0.752304553985596,0.753804564476013
"connect-4",16,"<function dropout at 0x7fa879416ae8>",NA,0.1,NA,0,2,0.752304553985596,0.753804564476013
"connect-4",16,"<function dropout at 0x7fa879416ae8>",NA,1,NA,0,2,0.752304553985596,0.753804504871368
"connect-4",8,"<function dropout at 0x7fa879416ae8>",NA,0.01,NA,0.5,2,0.752304553985596,0.753804564476013
"connect-4",8,"<function dropout at 0x7fa879416ae8>",NA,0.1,NA,0.5,2,0.752304553985596,0.753804564476013
"connect-4",8,"<function dropout at 0x7fa879416ae8>",NA,1,NA,0.5,2,0.752304553985596,0.753804564476013
"connect-4",8,"<function dropout at 0x7fa879416ae8>",NA,1,NA,0,2,0.752304553985596,0.753804564476013
"connect-4",4,"<function dropout at 0x7fa879416ae8>",NA,1,NA,0.5,2,0.752304553985596,0.753804564476013
"connect-4",3,"<function dropout at 0x7fa879416ae8>",NA,0.1,NA,0.5,2,0.752304553985596,0.753804564476013
"connect-4",32,"<function dropout at 0x7fa879416ae8>",NA,0.01,NA,0.5,2,0.752304548025131,0.753804564476013
"connect-4",4,"<function dropout at 0x7fa879416ae8>",NA,0.01,NA,0.5,2,0.752304548025131,0.753804564476013
"connect-4",4,"<function dropout at 0x7fa879416ae8>",NA,0.1,NA,0.5,2,0.752304548025131,0.753804564476013
"connect-4",16,"<function dropout at 0x7fa879416ae8>",NA,1,NA,0.5,2,0.752304542064667,0.753804564476013
"connect-4",2,"<function dropout at 0x7fa879416ae8>",NA,0.01,NA,0.5,2,0.752304536104202,0.753804564476013
"connect-4",3,"<function dropout at 0x7fa879416ae8>",NA,0.01,NA,0.5,2,0.752304524183273,0.753804564476013
"connect-4",8,"<function dropout at 0x7fa879416ae8>",NA,0.01,NA,0,2,0.75179825425148,0.754159808158875
