"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"glass",8,"<function dropout at 0x7fe4a3299ae8>",NA,1,NA,0,2,0.662962979078293,0.641509413719177
"glass",2,"<function dropout at 0x7fe4a3299ae8>",NA,1,NA,0,2,0.662962973117828,0.73584908246994
"glass",3,"<function dropout at 0x7fe4a3299ae8>",NA,1,NA,0,2,0.644444459676743,0.622641503810883
"glass",4,"<function dropout at 0x7fe4a3299ae8>",NA,1,NA,0,2,0.644444435834885,0.50943398475647
"glass",4,"<function dropout at 0x7fe4a3299ae8>",NA,0.01,NA,0,2,0.629629611968994,0.603773593902588
"glass",2,"<function dropout at 0x7fe4a3299ae8>",NA,1,NA,0.5,2,0.622222220897675,0.490566074848175
"glass",8,"<function dropout at 0x7fe4a3299ae8>",NA,0.1,NA,0,2,0.614814805984497,0.471698135137558
"glass",2,"<function dropout at 0x7fe4a3299ae8>",NA,0.1,NA,0.5,2,0.585185188055038,0.641509413719177
"glass",4,"<function dropout at 0x7fe4a3299ae8>",NA,0.1,NA,0,2,0.581481492519379,0.584905683994293
"glass",3,"<function dropout at 0x7fe4a3299ae8>",NA,0.1,NA,0.5,2,0.57407408952713,0.528301894664764
"glass",3,"<function dropout at 0x7fe4a3299ae8>",NA,0.1,NA,0,2,0.570370388031006,0.641509413719177
"glass",3,"<function dropout at 0x7fe4a3299ae8>",NA,0.01,NA,0,2,0.555555582046509,0.547169804573059
"glass",3,"<function dropout at 0x7fe4a3299ae8>",NA,1,NA,0.5,2,0.525925931334496,0.433962255716324
"glass",4,"<function dropout at 0x7fe4a3299ae8>",NA,0.1,NA,0.5,2,0.522222250699997,0.50943398475647
"glass",3,"<function dropout at 0x7fe4a3299ae8>",NA,0.01,NA,0.5,2,0.481481492519379,0.377358496189117
"glass",16,"<function dropout at 0x7fe4a3299ae8>",NA,1,NA,0,2,0.474074083566666,0.622641563415527
"glass",2,"<function dropout at 0x7fe4a3299ae8>",NA,0.1,NA,0,2,0.44814815223217,0.49056601524353
"glass",4,"<function dropout at 0x7fe4a3299ae8>",NA,0.01,NA,0.5,2,0.433333343267441,0.301886796951294
"glass",8,"<function dropout at 0x7fe4a3299ae8>",NA,0.1,NA,0.5,2,0.403703701496124,0.339622646570206
"glass",16,"<function dropout at 0x7fe4a3299ae8>",NA,0.1,NA,0.5,2,0.400000007450581,0.320754706859589
"glass",2,"<function dropout at 0x7fe4a3299ae8>",NA,0.01,NA,0.5,2,0.370370388031006,0.377358496189117
"glass",8,"<function dropout at 0x7fe4a3299ae8>",NA,1,NA,0.5,2,0.370370382070541,0.301886796951294
"glass",16,"<function dropout at 0x7fe4a3299ae8>",NA,0.1,NA,0,2,0.351851865649223,0.339622646570206
"glass",8,"<function dropout at 0x7fe4a3299ae8>",NA,0.01,NA,0.5,2,0.351851859688759,0.377358496189117
"glass",32,"<function dropout at 0x7fe4a3299ae8>",NA,0.01,NA,0,2,0.34444445669651,0.264150947332382
"glass",32,"<function dropout at 0x7fe4a3299ae8>",NA,1,NA,0,2,0.340740752220154,0.50943398475647
"glass",32,"<function dropout at 0x7fe4a3299ae8>",NA,0.01,NA,0.5,2,0.333333343267441,0.339622616767883
"glass",32,"<function dropout at 0x7fe4a3299ae8>",NA,0.1,NA,0.5,2,0.333333343267441,0.377358496189117
"glass",32,"<function dropout at 0x7fe4a3299ae8>",NA,0.1,NA,0,2,0.333333343267441,0.377358496189117
"glass",32,"<function dropout at 0x7fe4a3299ae8>",NA,1,NA,0.5,2,0.333333343267441,0.320754706859589
"glass",16,"<function dropout at 0x7fe4a3299ae8>",NA,0.01,NA,0.5,2,0.333333343267441,0.320754706859589
"glass",16,"<function dropout at 0x7fe4a3299ae8>",NA,0.01,NA,0,2,0.333333343267441,0.377358496189117
"glass",16,"<function dropout at 0x7fe4a3299ae8>",NA,1,NA,0.5,2,0.333333343267441,0.358490586280823
"glass",8,"<function dropout at 0x7fe4a3299ae8>",NA,0.01,NA,0,2,0.329629638791084,0.283018887042999
"glass",4,"<function dropout at 0x7fe4a3299ae8>",NA,1,NA,0.5,2,0.314814823865891,0.377358496189117
"glass",2,"<function dropout at 0x7fe4a3299ae8>",NA,0.01,NA,0,2,0.259259253740311,0.207547172904015
