"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"heart-va",3,"<function dropout at 0x7f4145322ae8>",NA,0.1,NA,0,2,0.387999987602234,0.399999976158142
"heart-va",3,"<function dropout at 0x7f4145322ae8>",NA,1,NA,0,2,0.379999983310699,0.239999994635582
"heart-va",2,"<function dropout at 0x7f4145322ae8>",NA,1,NA,0,2,0.355999985337257,0.319999992847443
"heart-va",8,"<function dropout at 0x7f4145322ae8>",NA,0.01,NA,0,2,0.351999986171722,0.239999994635582
"heart-va",4,"<function dropout at 0x7f4145322ae8>",NA,1,NA,0,2,0.307999995350838,0.299999982118607
"heart-va",8,"<function dropout at 0x7f4145322ae8>",NA,1,NA,0,2,0.299999992549419,0.340000003576279
"heart-va",8,"<function dropout at 0x7f4145322ae8>",NA,0.01,NA,0.5,2,0.291999998688698,0.219999983906746
"heart-va",2,"<function dropout at 0x7f4145322ae8>",NA,0.01,NA,0,2,0.280000001192093,0.219999998807907
"heart-va",4,"<function dropout at 0x7f4145322ae8>",NA,0.1,NA,0.5,2,0.279999992251396,0.299999982118607
"heart-va",16,"<function dropout at 0x7f4145322ae8>",NA,0.01,NA,0,2,0.275999990105629,0.299999982118607
"heart-va",16,"<function dropout at 0x7f4145322ae8>",NA,0.01,NA,0.5,2,0.275999989360571,0.239999994635582
"heart-va",3,"<function dropout at 0x7f4145322ae8>",NA,0.01,NA,0.5,2,0.239999994635582,0.159999996423721
"heart-va",3,"<function dropout at 0x7f4145322ae8>",NA,0.01,NA,0,2,0.239999979734421,0.240000009536743
"heart-va",32,"<function dropout at 0x7f4145322ae8>",NA,0.1,NA,0,2,0.231999981403351,0.339999973773956
"heart-va",2,"<function dropout at 0x7f4145322ae8>",NA,0.1,NA,0,2,0.223999989032745,0.399999976158142
"heart-va",16,"<function dropout at 0x7f4145322ae8>",NA,0.1,NA,0,2,0.215999984741211,0.279999971389771
"heart-va",8,"<function dropout at 0x7f4145322ae8>",NA,0.1,NA,0.5,2,0.215999984741211,0.179999992251396
"heart-va",2,"<function dropout at 0x7f4145322ae8>",NA,0.1,NA,0.5,2,0.191999992728233,0.259999990463257
"heart-va",2,"<function dropout at 0x7f4145322ae8>",NA,1,NA,0.5,2,0.191999991238117,0.319999992847443
"heart-va",8,"<function dropout at 0x7f4145322ae8>",NA,0.1,NA,0,2,0.179999992996454,0.259999990463257
"heart-va",32,"<function dropout at 0x7f4145322ae8>",NA,0.01,NA,0,2,0.159999996423721,0.319999992847443
"heart-va",2,"<function dropout at 0x7f4145322ae8>",NA,0.01,NA,0.5,2,0.159999996423721,0.299999982118607
"heart-va",3,"<function dropout at 0x7f4145322ae8>",NA,1,NA,0.5,2,0.159999995678663,0.179999992251396
"heart-va",8,"<function dropout at 0x7f4145322ae8>",NA,1,NA,0.5,2,0.147999995201826,0.239999979734421
"heart-va",32,"<function dropout at 0x7f4145322ae8>",NA,1,NA,0,2,0.143999996036291,0.279999971389771
"heart-va",4,"<function dropout at 0x7f4145322ae8>",NA,1,NA,0.5,2,0.139999996125698,0.319999992847443
"heart-va",32,"<function dropout at 0x7f4145322ae8>",NA,0.1,NA,0.5,2,0.135999996960163,0.239999979734421
"heart-va",32,"<function dropout at 0x7f4145322ae8>",NA,0.01,NA,0.5,2,0.123999997228384,0.239999979734421
"heart-va",32,"<function dropout at 0x7f4145322ae8>",NA,1,NA,0.5,2,0.119999997317791,0.239999979734421
"heart-va",16,"<function dropout at 0x7f4145322ae8>",NA,0.1,NA,0.5,2,0.119999997317791,0.239999979734421
"heart-va",16,"<function dropout at 0x7f4145322ae8>",NA,1,NA,0.5,2,0.119999997317791,0.239999979734421
"heart-va",4,"<function dropout at 0x7f4145322ae8>",NA,0.01,NA,0,2,0.119999997317791,0.219999998807907
"heart-va",4,"<function dropout at 0x7f4145322ae8>",NA,0.1,NA,0,2,0.119999997317791,0.300000011920929
"heart-va",3,"<function dropout at 0x7f4145322ae8>",NA,0.1,NA,0.5,2,0.11599999666214,0.280000001192093
"heart-va",16,"<function dropout at 0x7f4145322ae8>",NA,1,NA,0,2,0.107999997586012,0.319999992847443
"heart-va",4,"<function dropout at 0x7f4145322ae8>",NA,0.01,NA,0.5,2,0.0879999980330467,0.279999971389771
