"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"horse-colic",2,"<function dropout at 0x7f11229aeae8>",NA,0.1,NA,0.5,2,0.928787910938263,0.779411792755127
"horse-colic",2,"<function dropout at 0x7f11229aeae8>",NA,0.01,NA,0.5,2,0.919696927070618,0.794117629528046
"horse-colic",16,"<function dropout at 0x7f11229aeae8>",NA,1,NA,0,2,0.913636362552643,0.764705896377563
"horse-colic",2,"<function dropout at 0x7f11229aeae8>",NA,0.1,NA,0,2,0.898484826087952,0.75
"horse-colic",4,"<function dropout at 0x7f11229aeae8>",NA,1,NA,0,2,0.890909075737,0.808823525905609
"horse-colic",3,"<function dropout at 0x7f11229aeae8>",NA,1,NA,0.5,2,0.887878787517548,0.838235318660736
"horse-colic",4,"<function dropout at 0x7f11229aeae8>",NA,0.1,NA,0,2,0.881818175315857,0.735294163227081
"horse-colic",4,"<function dropout at 0x7f11229aeae8>",NA,1,NA,0.5,2,0.881818175315857,0.764705896377563
"horse-colic",3,"<function dropout at 0x7f11229aeae8>",NA,0.01,NA,0.5,2,0.881818175315857,0.720588266849518
"horse-colic",3,"<function dropout at 0x7f11229aeae8>",NA,0.1,NA,0,2,0.878787875175476,0.779411733150482
"horse-colic",2,"<function dropout at 0x7f11229aeae8>",NA,1,NA,0,2,0.878787875175476,0.808823525905609
"horse-colic",3,"<function dropout at 0x7f11229aeae8>",NA,1,NA,0,2,0.874242424964905,0.79411768913269
"horse-colic",4,"<function dropout at 0x7f11229aeae8>",NA,0.01,NA,0,2,0.863636374473572,0.676470577716827
"horse-colic",2,"<function dropout at 0x7f11229aeae8>",NA,1,NA,0.5,2,0.860606062412262,0.838235318660736
"horse-colic",8,"<function dropout at 0x7f11229aeae8>",NA,1,NA,0,2,0.840909123420715,0.720588266849518
"horse-colic",3,"<function dropout at 0x7f11229aeae8>",NA,0.1,NA,0.5,2,0.836363661289215,0.676470577716827
"horse-colic",4,"<function dropout at 0x7f11229aeae8>",NA,0.1,NA,0.5,2,0.828787910938263,0.735294103622437
"horse-colic",8,"<function dropout at 0x7f11229aeae8>",NA,0.1,NA,0,2,0.810606110095978,0.735294103622437
"horse-colic",3,"<function dropout at 0x7f11229aeae8>",NA,0.01,NA,0,2,0.799999952316284,0.647058844566345
"horse-colic",16,"<function dropout at 0x7f11229aeae8>",NA,0.1,NA,0,2,0.772727251052856,0.735294163227081
"horse-colic",32,"<function dropout at 0x7f11229aeae8>",NA,1,NA,0,2,0.731818222999573,0.602941274642944
"horse-colic",4,"<function dropout at 0x7f11229aeae8>",NA,0.01,NA,0.5,2,0.728787899017334,0.676470577716827
"horse-colic",2,"<function dropout at 0x7f11229aeae8>",NA,0.01,NA,0,2,0.727272748947143,0.676470577716827
"horse-colic",32,"<function dropout at 0x7f11229aeae8>",NA,0.01,NA,0.5,2,0.696969747543335,0.602941274642944
"horse-colic",32,"<function dropout at 0x7f11229aeae8>",NA,0.01,NA,0,2,0.696969747543335,0.602941274642944
"horse-colic",32,"<function dropout at 0x7f11229aeae8>",NA,0.1,NA,0.5,2,0.696969747543335,0.602941274642944
"horse-colic",32,"<function dropout at 0x7f11229aeae8>",NA,0.1,NA,0,2,0.696969747543335,0.602941274642944
"horse-colic",32,"<function dropout at 0x7f11229aeae8>",NA,1,NA,0.5,2,0.696969747543335,0.602941274642944
"horse-colic",16,"<function dropout at 0x7f11229aeae8>",NA,0.01,NA,0.5,2,0.696969747543335,0.602941274642944
"horse-colic",16,"<function dropout at 0x7f11229aeae8>",NA,0.01,NA,0,2,0.696969747543335,0.602941274642944
"horse-colic",16,"<function dropout at 0x7f11229aeae8>",NA,0.1,NA,0.5,2,0.696969747543335,0.602941274642944
"horse-colic",16,"<function dropout at 0x7f11229aeae8>",NA,1,NA,0.5,2,0.696969747543335,0.602941274642944
"horse-colic",8,"<function dropout at 0x7f11229aeae8>",NA,0.01,NA,0.5,2,0.696969747543335,0.617647111415863
"horse-colic",8,"<function dropout at 0x7f11229aeae8>",NA,0.01,NA,0,2,0.696969747543335,0.602941274642944
"horse-colic",8,"<function dropout at 0x7f11229aeae8>",NA,1,NA,0.5,2,0.696969747543335,0.602941274642944
"horse-colic",8,"<function dropout at 0x7f11229aeae8>",NA,0.1,NA,0.5,2,0.680303049087524,0.602941274642944
