"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"led-display",2,"<function dropout at 0x7f7177f13ae8>",NA,0.1,NA,0,2,0.697169864177704,0.703999996185303
"led-display",3,"<function dropout at 0x7f7177f13ae8>",NA,0.1,NA,0,2,0.683018887042999,0.727999985218048
"led-display",2,"<function dropout at 0x7f7177f13ae8>",NA,1,NA,0,2,0.679245311021805,0.732000052928925
"led-display",3,"<function dropout at 0x7f7177f13ae8>",NA,1,NA,0,2,0.677358496189117,0.727999985218048
"led-display",4,"<function dropout at 0x7f7177f13ae8>",NA,1,NA,0,2,0.674528312683106,0.724000036716461
"led-display",8,"<function dropout at 0x7f7177f13ae8>",NA,1,NA,0,2,0.667924547195435,0.700000047683716
"led-display",16,"<function dropout at 0x7f7177f13ae8>",NA,1,NA,0,2,0.658490580320358,0.684000015258789
"led-display",3,"<function dropout at 0x7f7177f13ae8>",NA,1,NA,0.5,2,0.656603771448136,0.680000007152557
"led-display",4,"<function dropout at 0x7f7177f13ae8>",NA,0.1,NA,0,2,0.651886737346649,0.675999999046326
"led-display",2,"<function dropout at 0x7f7177f13ae8>",NA,1,NA,0.5,2,0.650943392515183,0.716000020503998
"led-display",2,"<function dropout at 0x7f7177f13ae8>",NA,0.1,NA,0.5,2,0.650943374633789,0.679999947547913
"led-display",8,"<function dropout at 0x7f7177f13ae8>",NA,0.1,NA,0,2,0.560377359390259,0.61599999666214
"led-display",3,"<function dropout at 0x7f7177f13ae8>",NA,0.1,NA,0.5,2,0.556603789329529,0.61599999666214
"led-display",4,"<function dropout at 0x7f7177f13ae8>",NA,1,NA,0.5,2,0.442452836036682,0.507999956607819
"led-display",3,"<function dropout at 0x7f7177f13ae8>",NA,0.01,NA,0.5,2,0.233962273597717,0.263999998569489
"led-display",16,"<function dropout at 0x7f7177f13ae8>",NA,0.1,NA,0,2,0.205660390853882,0.215999990701675
"led-display",2,"<function dropout at 0x7f7177f13ae8>",NA,0.01,NA,0.5,2,0.188679248094559,0.167999997735023
"led-display",2,"<function dropout at 0x7f7177f13ae8>",NA,0.01,NA,0,2,0.188679248094559,0.108000010251999
"led-display",32,"<function dropout at 0x7f7177f13ae8>",NA,0.1,NA,0,2,0.183018870651722,0.176000013947487
"led-display",4,"<function dropout at 0x7f7177f13ae8>",NA,0.1,NA,0.5,2,0.172641518712044,0.204000011086464
"led-display",8,"<function dropout at 0x7f7177f13ae8>",NA,0.01,NA,0,2,0.153773584961891,0.168000012636185
"led-display",8,"<function dropout at 0x7f7177f13ae8>",NA,0.1,NA,0.5,2,0.152830192446709,0.0880000069737434
"led-display",32,"<function dropout at 0x7f7177f13ae8>",NA,0.01,NA,0,2,0.113207548856735,0.108000010251999
"led-display",16,"<function dropout at 0x7f7177f13ae8>",NA,0.1,NA,0.5,2,0.113207548856735,0.108000010251999
"led-display",32,"<function dropout at 0x7f7177f13ae8>",NA,1,NA,0,2,0.112264151871204,0.136000007390976
"led-display",32,"<function dropout at 0x7f7177f13ae8>",NA,0.1,NA,0.5,2,0.10471698269248,0.108000010251999
"led-display",32,"<function dropout at 0x7f7177f13ae8>",NA,1,NA,0.5,2,0.10471698269248,0.108000010251999
"led-display",8,"<function dropout at 0x7f7177f13ae8>",NA,0.01,NA,0.5,2,0.0990566052496433,0.112000003457069
"led-display",8,"<function dropout at 0x7f7177f13ae8>",NA,1,NA,0.5,2,0.0971698127686977,0.108000010251999
"led-display",4,"<function dropout at 0x7f7177f13ae8>",NA,0.01,NA,0.5,2,0.0943396240472794,0.0800000056624413
"led-display",16,"<function dropout at 0x7f7177f13ae8>",NA,0.01,NA,0,2,0.0754716992378235,0.0920000076293945
"led-display",3,"<function dropout at 0x7f7177f13ae8>",NA,0.01,NA,0,2,0.0754716992378235,0.0480000041425228
"led-display",16,"<function dropout at 0x7f7177f13ae8>",NA,1,NA,0.5,2,0.06415094435215,0.0640000030398369
"led-display",16,"<function dropout at 0x7f7177f13ae8>",NA,0.01,NA,0.5,2,0.0566037744283676,0.108000010251999
"led-display",4,"<function dropout at 0x7f7177f13ae8>",NA,0.01,NA,0,2,0.0415094345808029,0.0720000043511391
"led-display",32,"<function dropout at 0x7f7177f13ae8>",NA,0.01,NA,0.5,2,0.0283018872141838,0.104000009596348
