"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"lenses",4,"<function dropout at 0x7f2e95421ae8>",NA,1,NA,0,2,1,1
"lenses",3,"<function dropout at 0x7f2e95421ae8>",NA,1,NA,0,2,1,0.833333373069763
"lenses",2,"<function dropout at 0x7f2e95421ae8>",NA,1,NA,0,2,1,1
"lenses",8,"<function dropout at 0x7f2e95421ae8>",NA,1,NA,0,2,0.900000005960464,0.833333373069763
"lenses",4,"<function dropout at 0x7f2e95421ae8>",NA,0.01,NA,0.5,2,0.666666686534881,0.333333343267441
"lenses",3,"<function dropout at 0x7f2e95421ae8>",NA,0.01,NA,0.5,2,0.666666686534881,0.666666686534882
"lenses",2,"<function dropout at 0x7f2e95421ae8>",NA,0.01,NA,0,2,0.666666686534881,0.5
"lenses",2,"<function dropout at 0x7f2e95421ae8>",NA,1,NA,0.5,2,0.633333343267441,0.666666686534882
"lenses",16,"<function dropout at 0x7f2e95421ae8>",NA,0.01,NA,0,2,0.500000014901161,0.333333343267441
"lenses",16,"<function dropout at 0x7f2e95421ae8>",NA,1,NA,0,2,0.500000014901161,0.666666686534882
"lenses",8,"<function dropout at 0x7f2e95421ae8>",NA,1,NA,0.5,2,0.500000014901161,0.5
"lenses",3,"<function dropout at 0x7f2e95421ae8>",NA,0.1,NA,0,2,0.500000014901161,0.666666686534882
"lenses",2,"<function dropout at 0x7f2e95421ae8>",NA,0.1,NA,0.5,2,0.433333346247673,0.666666686534882
"lenses",2,"<function dropout at 0x7f2e95421ae8>",NA,0.01,NA,0.5,2,0.400000011920929,0.833333373069763
"lenses",32,"<function dropout at 0x7f2e95421ae8>",NA,0.01,NA,0.5,2,0.366666677594185,0.666666686534882
"lenses",8,"<function dropout at 0x7f2e95421ae8>",NA,0.1,NA,0,2,0.366666677594185,0.666666686534882
"lenses",32,"<function dropout at 0x7f2e95421ae8>",NA,0.01,NA,0,2,0.333333343267441,0.666666686534882
"lenses",32,"<function dropout at 0x7f2e95421ae8>",NA,0.1,NA,0.5,2,0.333333343267441,0.666666686534882
"lenses",32,"<function dropout at 0x7f2e95421ae8>",NA,0.1,NA,0,2,0.333333343267441,0.666666686534882
"lenses",32,"<function dropout at 0x7f2e95421ae8>",NA,1,NA,0.5,2,0.333333343267441,0.666666686534882
"lenses",32,"<function dropout at 0x7f2e95421ae8>",NA,1,NA,0,2,0.333333343267441,0.666666686534882
"lenses",16,"<function dropout at 0x7f2e95421ae8>",NA,0.01,NA,0.5,2,0.333333343267441,0.666666686534882
"lenses",16,"<function dropout at 0x7f2e95421ae8>",NA,0.1,NA,0.5,2,0.333333343267441,0.666666686534882
"lenses",16,"<function dropout at 0x7f2e95421ae8>",NA,0.1,NA,0,2,0.333333343267441,0.666666686534882
"lenses",16,"<function dropout at 0x7f2e95421ae8>",NA,1,NA,0.5,2,0.333333343267441,0.666666686534882
"lenses",8,"<function dropout at 0x7f2e95421ae8>",NA,0.01,NA,0.5,2,0.333333343267441,0.666666686534882
"lenses",8,"<function dropout at 0x7f2e95421ae8>",NA,0.01,NA,0,2,0.333333343267441,0.333333343267441
"lenses",8,"<function dropout at 0x7f2e95421ae8>",NA,0.1,NA,0.5,2,0.333333343267441,0.5
"lenses",4,"<function dropout at 0x7f2e95421ae8>",NA,0.1,NA,0.5,2,0.333333343267441,0.666666686534882
"lenses",4,"<function dropout at 0x7f2e95421ae8>",NA,0.1,NA,0,2,0.333333343267441,0.666666686534882
"lenses",4,"<function dropout at 0x7f2e95421ae8>",NA,1,NA,0.5,2,0.333333343267441,0.666666686534882
"lenses",3,"<function dropout at 0x7f2e95421ae8>",NA,0.1,NA,0.5,2,0.333333343267441,0.666666686534882
"lenses",3,"<function dropout at 0x7f2e95421ae8>",NA,1,NA,0.5,2,0.333333343267441,0.5
"lenses",2,"<function dropout at 0x7f2e95421ae8>",NA,0.1,NA,0,2,0.333333343267441,0.666666686534882
"lenses",4,"<function dropout at 0x7f2e95421ae8>",NA,0.01,NA,0,2,0,0.16666667163372
"lenses",3,"<function dropout at 0x7f2e95421ae8>",NA,0.01,NA,0,2,0,0.333333343267441
