"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"libras",3,"<function dropout at 0x7fb158f4bae8>",NA,0.1,NA,0,2,0.789189195632935,0.822222292423248
"libras",3,"<function dropout at 0x7fb158f4bae8>",NA,1,NA,0,2,0.778378403186798,0.822222232818604
"libras",8,"<function dropout at 0x7fb158f4bae8>",NA,1,NA,0,2,0.7621621966362,0.788888931274414
"libras",2,"<function dropout at 0x7fb158f4bae8>",NA,0.1,NA,0,2,0.762162184715271,0.811111092567444
"libras",4,"<function dropout at 0x7fb158f4bae8>",NA,1,NA,0,2,0.751351398229599,0.822222292423248
"libras",4,"<function dropout at 0x7fb158f4bae8>",NA,0.1,NA,0,2,0.745945966243744,0.811111152172089
"libras",2,"<function dropout at 0x7fb158f4bae8>",NA,1,NA,0,2,0.729729753732681,0.788888931274414
"libras",8,"<function dropout at 0x7fb158f4bae8>",NA,0.1,NA,0,2,0.70270271897316,0.866666674613953
"libras",16,"<function dropout at 0x7fb158f4bae8>",NA,1,NA,0,2,0.68648653626442,0.644444465637207
"libras",2,"<function dropout at 0x7fb158f4bae8>",NA,0.1,NA,0.5,2,0.678378391265869,0.800000011920929
"libras",2,"<function dropout at 0x7fb158f4bae8>",NA,1,NA,0.5,2,0.654054087400436,0.688888907432556
"libras",3,"<function dropout at 0x7fb158f4bae8>",NA,0.1,NA,0.5,2,0.648648679256439,0.733333349227905
"libras",2,"<function dropout at 0x7fb158f4bae8>",NA,0.01,NA,0,2,0.629729771614075,0.555555582046509
"libras",4,"<function dropout at 0x7fb158f4bae8>",NA,0.01,NA,0,2,0.621621668338776,0.555555582046509
"libras",3,"<function dropout at 0x7fb158f4bae8>",NA,0.01,NA,0,2,0.594594597816467,0.611111164093018
"libras",4,"<function dropout at 0x7fb158f4bae8>",NA,0.1,NA,0.5,2,0.510810858011246,0.533333361148834
"libras",2,"<function dropout at 0x7fb158f4bae8>",NA,0.01,NA,0.5,2,0.486486524343491,0.544444441795349
"libras",3,"<function dropout at 0x7fb158f4bae8>",NA,0.01,NA,0.5,2,0.456756782531738,0.588888883590698
"libras",4,"<function dropout at 0x7fb158f4bae8>",NA,0.01,NA,0.5,2,0.378378391265869,0.433333367109299
"libras",16,"<function dropout at 0x7fb158f4bae8>",NA,0.1,NA,0,2,0.364864879846573,0.344444453716278
"libras",8,"<function dropout at 0x7fb158f4bae8>",NA,0.01,NA,0,2,0.327027040719986,0.433333367109299
"libras",32,"<function dropout at 0x7fb158f4bae8>",NA,0.01,NA,0,2,0.18378379046917,0.0666666701436043
"libras",3,"<function dropout at 0x7fb158f4bae8>",NA,1,NA,0.5,2,0.0837837874889374,0.0666666701436043
"libras",8,"<function dropout at 0x7fb158f4bae8>",NA,0.01,NA,0.5,2,0.0702702730894089,0.0777777805924416
"libras",32,"<function dropout at 0x7fb158f4bae8>",NA,0.01,NA,0.5,2,0.0540540553629398,0.0666666701436043
"libras",32,"<function dropout at 0x7fb158f4bae8>",NA,0.1,NA,0.5,2,0.0540540553629398,0.0666666701436043
"libras",32,"<function dropout at 0x7fb158f4bae8>",NA,1,NA,0.5,2,0.0540540553629398,0.0666666701436043
"libras",32,"<function dropout at 0x7fb158f4bae8>",NA,1,NA,0,2,0.0540540553629398,0.0666666701436043
"libras",16,"<function dropout at 0x7fb158f4bae8>",NA,0.01,NA,0.5,2,0.0540540553629398,0.0666666701436043
"libras",16,"<function dropout at 0x7fb158f4bae8>",NA,0.01,NA,0,2,0.0540540553629398,0.0666666701436043
"libras",16,"<function dropout at 0x7fb158f4bae8>",NA,0.1,NA,0.5,2,0.0540540553629398,0.0666666701436043
"libras",16,"<function dropout at 0x7fb158f4bae8>",NA,1,NA,0.5,2,0.0540540553629398,0.0666666701436043
"libras",8,"<function dropout at 0x7fb158f4bae8>",NA,0.1,NA,0.5,2,0.0540540553629398,0.0666666701436043
"libras",8,"<function dropout at 0x7fb158f4bae8>",NA,1,NA,0.5,2,0.0540540553629398,0.0666666701436043
"libras",4,"<function dropout at 0x7fb158f4bae8>",NA,1,NA,0.5,2,0.0540540553629398,0.0666666701436043
"libras",32,"<function dropout at 0x7fb158f4bae8>",NA,0.1,NA,0,2,0.0270270276814699,0.0666666701436043
