"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"lung-cancer",8,"<function dropout at 0x7f5df2dc6ae8>",NA,0.01,NA,0,2,1,0.125
"lung-cancer",8,"<function dropout at 0x7f5df2dc6ae8>",NA,1,NA,0,2,1,0.375
"lung-cancer",4,"<function dropout at 0x7f5df2dc6ae8>",NA,0.01,NA,0.5,2,1,0.5
"lung-cancer",4,"<function dropout at 0x7f5df2dc6ae8>",NA,0.01,NA,0,2,1,0.375
"lung-cancer",4,"<function dropout at 0x7f5df2dc6ae8>",NA,0.1,NA,0,2,1,0.375
"lung-cancer",4,"<function dropout at 0x7f5df2dc6ae8>",NA,1,NA,0,2,1,0.375
"lung-cancer",3,"<function dropout at 0x7f5df2dc6ae8>",NA,0.01,NA,0,2,1,0.375
"lung-cancer",3,"<function dropout at 0x7f5df2dc6ae8>",NA,0.1,NA,0.5,2,1,0.375
"lung-cancer",2,"<function dropout at 0x7f5df2dc6ae8>",NA,0.01,NA,0,2,1,0.375
"lung-cancer",2,"<function dropout at 0x7f5df2dc6ae8>",NA,0.1,NA,0,2,1,0.375
"lung-cancer",4,"<function dropout at 0x7f5df2dc6ae8>",NA,0.1,NA,0.5,2,0.5,0.375
"lung-cancer",8,"<function dropout at 0x7f5df2dc6ae8>",NA,0.01,NA,0.5,2,0.3,0.25
"lung-cancer",3,"<function dropout at 0x7f5df2dc6ae8>",NA,1,NA,0,2,0.3,0.375
"lung-cancer",16,"<function dropout at 0x7f5df2dc6ae8>",NA,1,NA,0,2,0.2,0.25
"lung-cancer",2,"<function dropout at 0x7f5df2dc6ae8>",NA,1,NA,0,2,0.2,0.625
"lung-cancer",32,"<function dropout at 0x7f5df2dc6ae8>",NA,1,NA,0,2,0.1,0.5
"lung-cancer",2,"<function dropout at 0x7f5df2dc6ae8>",NA,1,NA,0.5,2,0.1,0.25
"lung-cancer",32,"<function dropout at 0x7f5df2dc6ae8>",NA,0.01,NA,0.5,2,0,0.25
"lung-cancer",32,"<function dropout at 0x7f5df2dc6ae8>",NA,0.01,NA,0,2,0,0.25
"lung-cancer",32,"<function dropout at 0x7f5df2dc6ae8>",NA,0.1,NA,0.5,2,0,0.25
"lung-cancer",32,"<function dropout at 0x7f5df2dc6ae8>",NA,0.1,NA,0,2,0,0.5
"lung-cancer",32,"<function dropout at 0x7f5df2dc6ae8>",NA,1,NA,0.5,2,0,0.25
"lung-cancer",16,"<function dropout at 0x7f5df2dc6ae8>",NA,0.01,NA,0.5,2,0,0.25
"lung-cancer",16,"<function dropout at 0x7f5df2dc6ae8>",NA,0.01,NA,0,2,0,0.5
"lung-cancer",16,"<function dropout at 0x7f5df2dc6ae8>",NA,0.1,NA,0.5,2,0,0.25
"lung-cancer",16,"<function dropout at 0x7f5df2dc6ae8>",NA,0.1,NA,0,2,0,0.5
"lung-cancer",16,"<function dropout at 0x7f5df2dc6ae8>",NA,1,NA,0.5,2,0,0.25
"lung-cancer",8,"<function dropout at 0x7f5df2dc6ae8>",NA,0.1,NA,0.5,2,0,0.25
"lung-cancer",8,"<function dropout at 0x7f5df2dc6ae8>",NA,0.1,NA,0,2,0,0.125
"lung-cancer",8,"<function dropout at 0x7f5df2dc6ae8>",NA,1,NA,0.5,2,0,0.25
"lung-cancer",4,"<function dropout at 0x7f5df2dc6ae8>",NA,1,NA,0.5,2,0,0.5
"lung-cancer",3,"<function dropout at 0x7f5df2dc6ae8>",NA,0.01,NA,0.5,2,0,0.375
"lung-cancer",3,"<function dropout at 0x7f5df2dc6ae8>",NA,0.1,NA,0,2,0,0.25
"lung-cancer",3,"<function dropout at 0x7f5df2dc6ae8>",NA,1,NA,0.5,2,0,0.375
"lung-cancer",2,"<function dropout at 0x7f5df2dc6ae8>",NA,0.01,NA,0.5,2,0,0.375
"lung-cancer",2,"<function dropout at 0x7f5df2dc6ae8>",NA,0.1,NA,0.5,2,0,0.5
