"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"molec-biol-promoter",3,"<function dropout at 0x7fa16f43dae8>",NA,0.01,NA,0.5,2,0.809090960025788,0.692307770252228
"molec-biol-promoter",3,"<function dropout at 0x7fa16f43dae8>",NA,0.01,NA,0,2,0.727272748947143,0.730769276618958
"molec-biol-promoter",3,"<function dropout at 0x7fa16f43dae8>",NA,0.1,NA,0,2,0.700000011920929,0.653846204280853
"molec-biol-promoter",32,"<function dropout at 0x7fa16f43dae8>",NA,1,NA,0,2,0.690909099578857,0.769230842590332
"molec-biol-promoter",4,"<function dropout at 0x7fa16f43dae8>",NA,0.01,NA,0.5,2,0.663636362552643,0.653846204280853
"molec-biol-promoter",2,"<function dropout at 0x7fa16f43dae8>",NA,0.1,NA,0.5,2,0.6454545378685,0.653846204280853
"molec-biol-promoter",4,"<function dropout at 0x7fa16f43dae8>",NA,0.01,NA,0,2,0.636363625526428,0.576923131942749
"molec-biol-promoter",4,"<function dropout at 0x7fa16f43dae8>",NA,0.1,NA,0,2,0.636363625526428,0.730769276618958
"molec-biol-promoter",2,"<function dropout at 0x7fa16f43dae8>",NA,0.1,NA,0,2,0.636363625526428,0.730769276618958
"molec-biol-promoter",2,"<function dropout at 0x7fa16f43dae8>",NA,1,NA,0,2,0.636363625526428,0.807692348957062
"molec-biol-promoter",3,"<function dropout at 0x7fa16f43dae8>",NA,0.1,NA,0.5,2,0.627272737026215,0.769230782985687
"molec-biol-promoter",4,"<function dropout at 0x7fa16f43dae8>",NA,0.1,NA,0.5,2,0.609090918302536,0.653846204280853
"molec-biol-promoter",16,"<function dropout at 0x7fa16f43dae8>",NA,1,NA,0,2,0.572727280855179,0.692307770252228
"molec-biol-promoter",8,"<function dropout at 0x7fa16f43dae8>",NA,0.1,NA,0,2,0.554545468091965,0.576923131942749
"molec-biol-promoter",32,"<function dropout at 0x7fa16f43dae8>",NA,0.01,NA,0,2,0.545454561710358,0.538461565971375
"molec-biol-promoter",8,"<function dropout at 0x7fa16f43dae8>",NA,0.01,NA,0,2,0.545454561710358,0.46153849363327
"molec-biol-promoter",8,"<function dropout at 0x7fa16f43dae8>",NA,1,NA,0,2,0.545454561710358,0.653846204280853
"molec-biol-promoter",4,"<function dropout at 0x7fa16f43dae8>",NA,1,NA,0,2,0.545454561710358,0.692307710647583
"molec-biol-promoter",3,"<function dropout at 0x7fa16f43dae8>",NA,1,NA,0,2,0.545454561710358,0.846153914928436
"molec-biol-promoter",2,"<function dropout at 0x7fa16f43dae8>",NA,0.01,NA,0.5,2,0.545454561710358,0.538461565971375
"molec-biol-promoter",8,"<function dropout at 0x7fa16f43dae8>",NA,0.01,NA,0.5,2,0.545454561710358,0.538461565971375
"molec-biol-promoter",32,"<function dropout at 0x7fa16f43dae8>",NA,0.1,NA,0,2,0.536363646388054,0.5
"molec-biol-promoter",2,"<function dropout at 0x7fa16f43dae8>",NA,1,NA,0.5,2,0.490909099578857,0.5
"molec-biol-promoter",4,"<function dropout at 0x7fa16f43dae8>",NA,1,NA,0.5,2,0.472727283835411,0.5
"molec-biol-promoter",3,"<function dropout at 0x7fa16f43dae8>",NA,1,NA,0.5,2,0.463636377453804,0.5
"molec-biol-promoter",32,"<function dropout at 0x7fa16f43dae8>",NA,0.01,NA,0.5,2,0.454545468091965,0.5
"molec-biol-promoter",32,"<function dropout at 0x7fa16f43dae8>",NA,0.1,NA,0.5,2,0.454545468091965,0.5
"molec-biol-promoter",32,"<function dropout at 0x7fa16f43dae8>",NA,1,NA,0.5,2,0.454545468091965,0.5
"molec-biol-promoter",16,"<function dropout at 0x7fa16f43dae8>",NA,0.01,NA,0.5,2,0.454545468091965,0.5
"molec-biol-promoter",16,"<function dropout at 0x7fa16f43dae8>",NA,0.01,NA,0,2,0.454545468091965,0.5
"molec-biol-promoter",16,"<function dropout at 0x7fa16f43dae8>",NA,0.1,NA,0.5,2,0.454545468091965,0.5
"molec-biol-promoter",16,"<function dropout at 0x7fa16f43dae8>",NA,1,NA,0.5,2,0.454545468091965,0.5
"molec-biol-promoter",8,"<function dropout at 0x7fa16f43dae8>",NA,0.1,NA,0.5,2,0.454545468091965,0.5
"molec-biol-promoter",8,"<function dropout at 0x7fa16f43dae8>",NA,1,NA,0.5,2,0.454545468091965,0.5
"molec-biol-promoter",2,"<function dropout at 0x7fa16f43dae8>",NA,0.01,NA,0,2,0.454545468091965,0.576923131942749
"molec-biol-promoter",16,"<function dropout at 0x7fa16f43dae8>",NA,0.1,NA,0,2,0.409090921282768,0.615384638309479
