"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"molec-biol-splice",2,"<function dropout at 0x7fd2116b7ae8>",NA,1,NA,0.5,2,0.881081128120422,0.883312344551086
"molec-biol-splice",2,"<function dropout at 0x7fd2116b7ae8>",NA,1,NA,0,2,0.855405449867249,0.858218252658844
"molec-biol-splice",3,"<function dropout at 0x7fd2116b7ae8>",NA,1,NA,0,2,0.84891893863678,0.850690126419067
"molec-biol-splice",8,"<function dropout at 0x7fd2116b7ae8>",NA,1,NA,0,2,0.84594601392746,0.839397728443146
"molec-biol-splice",4,"<function dropout at 0x7fd2116b7ae8>",NA,1,NA,0,2,0.841621679067612,0.856963515281677
"molec-biol-splice",3,"<function dropout at 0x7fd2116b7ae8>",NA,0.1,NA,0,2,0.835675704479218,0.830614686012268
"molec-biol-splice",4,"<function dropout at 0x7fd2116b7ae8>",NA,0.1,NA,0,2,0.829459524154663,0.829360127449036
"molec-biol-splice",2,"<function dropout at 0x7fd2116b7ae8>",NA,0.1,NA,0.5,2,0.821351373195648,0.853199481964111
"molec-biol-splice",2,"<function dropout at 0x7fd2116b7ae8>",NA,0.1,NA,0,2,0.820270305871964,0.84567129611969
"molec-biol-splice",16,"<function dropout at 0x7fd2116b7ae8>",NA,0.1,NA,0,2,0.80864868760109,0.79548305273056
"molec-biol-splice",3,"<function dropout at 0x7fd2116b7ae8>",NA,1,NA,0.5,2,0.804864901304245,0.843161821365356
"molec-biol-splice",4,"<function dropout at 0x7fd2116b7ae8>",NA,1,NA,0.5,2,0.7981081366539,0.805520713329315
"molec-biol-splice",8,"<function dropout at 0x7fd2116b7ae8>",NA,0.1,NA,0,2,0.785945981740952,0.823086500167847
"molec-biol-splice",2,"<function dropout at 0x7fd2116b7ae8>",NA,0.01,NA,0,2,0.745405387878418,0.747804224491119
"molec-biol-splice",3,"<function dropout at 0x7fd2116b7ae8>",NA,0.01,NA,0,2,0.739459478855133,0.75156843662262
"molec-biol-splice",16,"<function dropout at 0x7fd2116b7ae8>",NA,1,NA,0,2,0.717567592859268,0.746549546718597
"molec-biol-splice",4,"<function dropout at 0x7fd2116b7ae8>",NA,0.01,NA,0,2,0.715405404567718,0.732747793197632
"molec-biol-splice",2,"<function dropout at 0x7fd2116b7ae8>",NA,0.01,NA,0.5,2,0.630540543794632,0.653701424598694
"molec-biol-splice",3,"<function dropout at 0x7fd2116b7ae8>",NA,0.01,NA,0.5,2,0.553243267536163,0.524466753005981
"molec-biol-splice",3,"<function dropout at 0x7fd2116b7ae8>",NA,0.1,NA,0.5,2,0.547297304868698,0.540777921676636
"molec-biol-splice",4,"<function dropout at 0x7fd2116b7ae8>",NA,0.01,NA,0.5,2,0.542702692747116,0.520702600479126
"molec-biol-splice",32,"<function dropout at 0x7fd2116b7ae8>",NA,1,NA,0,2,0.540270292758942,0.519447922706604
"molec-biol-splice",8,"<function dropout at 0x7fd2116b7ae8>",NA,0.01,NA,0,2,0.539729762077331,0.520702600479126
"molec-biol-splice",4,"<function dropout at 0x7fd2116b7ae8>",NA,0.1,NA,0.5,2,0.538648670911789,0.519447922706604
"molec-biol-splice",32,"<function dropout at 0x7fd2116b7ae8>",NA,0.01,NA,0,2,0.537837862968445,0.519447922706604
"molec-biol-splice",32,"<function dropout at 0x7fd2116b7ae8>",NA,0.1,NA,0,2,0.537837862968445,0.519447922706604
"molec-biol-splice",16,"<function dropout at 0x7fd2116b7ae8>",NA,0.01,NA,0,2,0.537837862968445,0.519447922706604
"molec-biol-splice",8,"<function dropout at 0x7fd2116b7ae8>",NA,0.01,NA,0.5,2,0.537837862968445,0.519447922706604
"molec-biol-splice",8,"<function dropout at 0x7fd2116b7ae8>",NA,0.1,NA,0.5,2,0.537837862968445,0.519447922706604
"molec-biol-splice",32,"<function dropout at 0x7fd2116b7ae8>",NA,0.01,NA,0.5,2,0.227027028799057,0.239648699760437
"molec-biol-splice",32,"<function dropout at 0x7fd2116b7ae8>",NA,0.1,NA,0.5,2,0.227027028799057,0.239648699760437
"molec-biol-splice",32,"<function dropout at 0x7fd2116b7ae8>",NA,1,NA,0.5,2,0.227027028799057,0.239648699760437
"molec-biol-splice",16,"<function dropout at 0x7fd2116b7ae8>",NA,0.01,NA,0.5,2,0.227027028799057,0.239648699760437
"molec-biol-splice",16,"<function dropout at 0x7fd2116b7ae8>",NA,0.1,NA,0.5,2,0.227027028799057,0.239648684859276
"molec-biol-splice",16,"<function dropout at 0x7fd2116b7ae8>",NA,1,NA,0.5,2,0.227027028799057,0.239648699760437
"molec-biol-splice",8,"<function dropout at 0x7fd2116b7ae8>",NA,1,NA,0.5,2,0.227027028799057,0.239648699760437
