"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"monks-2",8,"<function dropout at 0x7ff91ff89ae8>",NA,1,NA,0,2,0.720000064373016,0.638888895511627
"monks-2",2,"<function dropout at 0x7ff91ff89ae8>",NA,0.01,NA,0,2,0.700000047683716,0.564814805984497
"monks-2",4,"<function dropout at 0x7ff91ff89ae8>",NA,0.1,NA,0,2,0.693333387374878,0.511574029922485
"monks-2",8,"<function dropout at 0x7ff91ff89ae8>",NA,1,NA,0.5,2,0.673333406448364,0.673611164093018
"monks-2",4,"<function dropout at 0x7ff91ff89ae8>",NA,0.01,NA,0.5,2,0.673333406448364,0.530092597007751
"monks-2",3,"<function dropout at 0x7ff91ff89ae8>",NA,1,NA,0.5,2,0.673333406448364,0.557870388031006
"monks-2",32,"<function dropout at 0x7ff91ff89ae8>",NA,0.01,NA,0,2,0.670000076293945,0.671296298503876
"monks-2",2,"<function dropout at 0x7ff91ff89ae8>",NA,1,NA,0.5,2,0.670000076293945,0.659722208976746
"monks-2",32,"<function dropout at 0x7ff91ff89ae8>",NA,0.01,NA,0.5,2,0.666666746139526,0.671296358108521
"monks-2",32,"<function dropout at 0x7ff91ff89ae8>",NA,0.1,NA,0.5,2,0.666666746139526,0.671296358108521
"monks-2",32,"<function dropout at 0x7ff91ff89ae8>",NA,0.1,NA,0,2,0.666666746139526,0.671296298503876
"monks-2",32,"<function dropout at 0x7ff91ff89ae8>",NA,1,NA,0.5,2,0.666666746139526,0.671296358108521
"monks-2",32,"<function dropout at 0x7ff91ff89ae8>",NA,1,NA,0,2,0.666666746139526,0.671296358108521
"monks-2",16,"<function dropout at 0x7ff91ff89ae8>",NA,0.01,NA,0.5,2,0.666666746139526,0.671296358108521
"monks-2",16,"<function dropout at 0x7ff91ff89ae8>",NA,0.01,NA,0,2,0.666666746139526,0.671296358108521
"monks-2",16,"<function dropout at 0x7ff91ff89ae8>",NA,0.1,NA,0.5,2,0.666666746139526,0.671296298503876
"monks-2",16,"<function dropout at 0x7ff91ff89ae8>",NA,0.1,NA,0,2,0.666666746139526,0.671296298503876
"monks-2",16,"<function dropout at 0x7ff91ff89ae8>",NA,1,NA,0,2,0.666666746139526,0.675925970077515
"monks-2",8,"<function dropout at 0x7ff91ff89ae8>",NA,0.01,NA,0,2,0.666666746139526,0.668981552124023
"monks-2",8,"<function dropout at 0x7ff91ff89ae8>",NA,0.1,NA,0.5,2,0.666666746139526,0.671296298503876
"monks-2",4,"<function dropout at 0x7ff91ff89ae8>",NA,0.01,NA,0,2,0.666666746139526,0.530092597007751
"monks-2",4,"<function dropout at 0x7ff91ff89ae8>",NA,0.1,NA,0.5,2,0.666666746139526,0.671296358108521
"monks-2",4,"<function dropout at 0x7ff91ff89ae8>",NA,1,NA,0.5,2,0.666666746139526,0.557870388031006
"monks-2",3,"<function dropout at 0x7ff91ff89ae8>",NA,0.1,NA,0.5,2,0.666666746139526,0.671296358108521
"monks-2",2,"<function dropout at 0x7ff91ff89ae8>",NA,0.01,NA,0.5,2,0.666666746139526,0.638888895511627
"monks-2",2,"<function dropout at 0x7ff91ff89ae8>",NA,0.1,NA,0.5,2,0.666666746139526,0.668981492519379
"monks-2",2,"<function dropout at 0x7ff91ff89ae8>",NA,0.1,NA,0,2,0.666666746139526,0.564814865589142
"monks-2",8,"<function dropout at 0x7ff91ff89ae8>",NA,0.1,NA,0,2,0.656666737794876,0.539351880550385
"monks-2",4,"<function dropout at 0x7ff91ff89ae8>",NA,1,NA,0,2,0.653333389759064,0.627314805984497
"monks-2",3,"<function dropout at 0x7ff91ff89ae8>",NA,0.01,NA,0.5,2,0.646666729450226,0.594907402992249
"monks-2",2,"<function dropout at 0x7ff91ff89ae8>",NA,1,NA,0,2,0.643333393335342,0.578703701496124
"monks-2",16,"<function dropout at 0x7ff91ff89ae8>",NA,1,NA,0.5,2,0.633333405852318,0.60185182094574
"monks-2",3,"<function dropout at 0x7ff91ff89ae8>",NA,1,NA,0,2,0.616666731238365,0.680555582046509
"monks-2",3,"<function dropout at 0x7ff91ff89ae8>",NA,0.01,NA,0,2,0.600000023841858,0.541666686534882
"monks-2",3,"<function dropout at 0x7ff91ff89ae8>",NA,0.1,NA,0,2,0.600000023841858,0.548611164093018
"monks-2",8,"<function dropout at 0x7ff91ff89ae8>",NA,0.01,NA,0.5,2,0.446666696667671,0.479166656732559
