"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"musk-2",2,"<function dropout at 0x7f701d036ae8>",NA,1,NA,0,2,0.998482817411423,0.991510033607483
"musk-2",4,"<function dropout at 0x7f701d036ae8>",NA,1,NA,0,2,0.996275919675827,0.993935704231262
"musk-2",3,"<function dropout at 0x7f701d036ae8>",NA,1,NA,0,2,0.995448333024979,0.990903496742249
"musk-2",3,"<function dropout at 0x7f701d036ae8>",NA,0.1,NA,0,2,0.994206953048706,0.991509914398193
"musk-2",3,"<function dropout at 0x7f701d036ae8>",NA,1,NA,0.5,2,0.993655228614807,0.992722868919373
"musk-2",8,"<function dropout at 0x7f701d036ae8>",NA,1,NA,0,2,0.992965573072433,0.988477826118469
"musk-2",4,"<function dropout at 0x7f701d036ae8>",NA,0.1,NA,0,2,0.992965573072433,0.988477826118469
"musk-2",2,"<function dropout at 0x7f701d036ae8>",NA,1,NA,0.5,2,0.992551779747009,0.990903615951538
"musk-2",16,"<function dropout at 0x7f701d036ae8>",NA,1,NA,0,2,0.990344882011414,0.990297198295593
"musk-2",2,"<function dropout at 0x7f701d036ae8>",NA,0.1,NA,0,2,0.990206950902939,0.988477826118469
"musk-2",8,"<function dropout at 0x7f701d036ae8>",NA,0.1,NA,0,2,0.989793157577515,0.985445737838745
"musk-2",16,"<function dropout at 0x7f701d036ae8>",NA,0.1,NA,0,2,0.989103502035141,0.9854456782341
"musk-2",32,"<function dropout at 0x7f701d036ae8>",NA,0.1,NA,0,2,0.982482808828354,0.982413589954376
"musk-2",2,"<function dropout at 0x7f701d036ae8>",NA,0.1,NA,0.5,2,0.980689704418183,0.979381442070007
"musk-2",3,"<function dropout at 0x7f701d036ae8>",NA,0.01,NA,0,2,0.970896595716476,0.961795032024384
"musk-2",3,"<function dropout at 0x7f701d036ae8>",NA,0.1,NA,0.5,2,0.968689697980881,0.966040015220642
"musk-2",4,"<function dropout at 0x7f701d036ae8>",NA,0.01,NA,0,2,0.966758662462235,0.966040015220642
"musk-2",2,"<function dropout at 0x7f701d036ae8>",NA,0.01,NA,0,2,0.966758662462235,0.969072163105011
"musk-2",8,"<function dropout at 0x7f701d036ae8>",NA,0.01,NA,0,2,0.964965558052063,0.963614344596863
"musk-2",4,"<function dropout at 0x7f701d036ae8>",NA,0.1,NA,0.5,2,0.951724189519882,0.950879335403442
"musk-2",2,"<function dropout at 0x7f701d036ae8>",NA,0.01,NA,0.5,2,0.924965536594391,0.937537968158722
"musk-2",3,"<function dropout at 0x7f701d036ae8>",NA,0.01,NA,0.5,2,0.916827601194382,0.931473612785339
"musk-2",4,"<function dropout at 0x7f701d036ae8>",NA,0.01,NA,0.5,2,0.908137947320938,0.93026077747345
"musk-2",32,"<function dropout at 0x7f701d036ae8>",NA,1,NA,0,2,0.870206934213638,0.97331714630127
"musk-2",32,"<function dropout at 0x7f701d036ae8>",NA,0.01,NA,0.5,2,0.831724166870117,0.845967233181
"musk-2",32,"<function dropout at 0x7f701d036ae8>",NA,0.01,NA,0,2,0.831724166870117,0.845967292785645
"musk-2",32,"<function dropout at 0x7f701d036ae8>",NA,0.1,NA,0.5,2,0.831724166870117,0.845967292785645
"musk-2",32,"<function dropout at 0x7f701d036ae8>",NA,1,NA,0.5,2,0.831724166870117,0.845967233181
"musk-2",16,"<function dropout at 0x7f701d036ae8>",NA,0.01,NA,0.5,2,0.831724166870117,0.845967233181
"musk-2",16,"<function dropout at 0x7f701d036ae8>",NA,0.01,NA,0,2,0.831724166870117,0.845967233181
"musk-2",16,"<function dropout at 0x7f701d036ae8>",NA,0.1,NA,0.5,2,0.831724166870117,0.845967233181
"musk-2",16,"<function dropout at 0x7f701d036ae8>",NA,1,NA,0.5,2,0.831724166870117,0.845967233181
"musk-2",8,"<function dropout at 0x7f701d036ae8>",NA,0.01,NA,0.5,2,0.831724166870117,0.845967233181
"musk-2",8,"<function dropout at 0x7f701d036ae8>",NA,0.1,NA,0.5,2,0.831724166870117,0.845967233181
"musk-2",8,"<function dropout at 0x7f701d036ae8>",NA,1,NA,0.5,2,0.831724166870117,0.845967233181
"musk-2",4,"<function dropout at 0x7f701d036ae8>",NA,1,NA,0.5,2,0.831724166870117,0.845967233181
