"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"oocytes_merluccius_nucleus_4d",3,"<function dropout at 0x7f2cb4c49ae8>",NA,1,NA,0,2,0.852136796712875,0.717647075653076
"oocytes_merluccius_nucleus_4d",2,"<function dropout at 0x7f2cb4c49ae8>",NA,1,NA,0,2,0.83162397146225,0.800000011920929
"oocytes_merluccius_nucleus_4d",8,"<function dropout at 0x7f2cb4c49ae8>",NA,1,NA,0,2,0.817948788404465,0.796078443527222
"oocytes_merluccius_nucleus_4d",16,"<function dropout at 0x7f2cb4c49ae8>",NA,1,NA,0,2,0.817094099521637,0.788235306739807
"oocytes_merluccius_nucleus_4d",4,"<function dropout at 0x7f2cb4c49ae8>",NA,1,NA,0,2,0.814529991149902,0.823529422283173
"oocytes_merluccius_nucleus_4d",2,"<function dropout at 0x7f2cb4c49ae8>",NA,0.01,NA,0,2,0.811111181974411,0.733333349227905
"oocytes_merluccius_nucleus_4d",2,"<function dropout at 0x7f2cb4c49ae8>",NA,0.1,NA,0,2,0.78888892531395,0.7843137383461
"oocytes_merluccius_nucleus_4d",4,"<function dropout at 0x7f2cb4c49ae8>",NA,0.1,NA,0,2,0.759829115867615,0.74117648601532
"oocytes_merluccius_nucleus_4d",3,"<function dropout at 0x7f2cb4c49ae8>",NA,0.1,NA,0,2,0.750427389144897,0.74117648601532
"oocytes_merluccius_nucleus_4d",2,"<function dropout at 0x7f2cb4c49ae8>",NA,0.01,NA,0.5,2,0.747863304615021,0.69803923368454
"oocytes_merluccius_nucleus_4d",3,"<function dropout at 0x7f2cb4c49ae8>",NA,0.01,NA,0,2,0.731623983383178,0.670588254928589
"oocytes_merluccius_nucleus_4d",2,"<function dropout at 0x7f2cb4c49ae8>",NA,1,NA,0.5,2,0.725641065835953,0.717647075653076
"oocytes_merluccius_nucleus_4d",16,"<function dropout at 0x7f2cb4c49ae8>",NA,0.1,NA,0,2,0.721367567777634,0.670588254928589
"oocytes_merluccius_nucleus_4d",8,"<function dropout at 0x7f2cb4c49ae8>",NA,0.1,NA,0,2,0.718803489208221,0.670588254928589
"oocytes_merluccius_nucleus_4d",32,"<function dropout at 0x7f2cb4c49ae8>",NA,0.01,NA,0,2,0.717948794364929,0.670588254928589
"oocytes_merluccius_nucleus_4d",32,"<function dropout at 0x7f2cb4c49ae8>",NA,0.1,NA,0,2,0.717948794364929,0.670588254928589
"oocytes_merluccius_nucleus_4d",32,"<function dropout at 0x7f2cb4c49ae8>",NA,1,NA,0,2,0.717948794364929,0.670588254928589
"oocytes_merluccius_nucleus_4d",16,"<function dropout at 0x7f2cb4c49ae8>",NA,0.01,NA,0,2,0.717948794364929,0.670588254928589
"oocytes_merluccius_nucleus_4d",8,"<function dropout at 0x7f2cb4c49ae8>",NA,0.01,NA,0,2,0.717948794364929,0.670588254928589
"oocytes_merluccius_nucleus_4d",4,"<function dropout at 0x7f2cb4c49ae8>",NA,0.1,NA,0.5,2,0.717948794364929,0.670588254928589
"oocytes_merluccius_nucleus_4d",3,"<function dropout at 0x7f2cb4c49ae8>",NA,0.1,NA,0.5,2,0.717094087600708,0.670588254928589
"oocytes_merluccius_nucleus_4d",3,"<function dropout at 0x7f2cb4c49ae8>",NA,0.01,NA,0.5,2,0.717094039916992,0.678431391716003
"oocytes_merluccius_nucleus_4d",3,"<function dropout at 0x7f2cb4c49ae8>",NA,1,NA,0.5,2,0.711965852975845,0.701960802078247
"oocytes_merluccius_nucleus_4d",8,"<function dropout at 0x7f2cb4c49ae8>",NA,0.01,NA,0.5,2,0.707692360877991,0.670588254928589
"oocytes_merluccius_nucleus_4d",2,"<function dropout at 0x7f2cb4c49ae8>",NA,0.1,NA,0.5,2,0.700000041723251,0.694117665290833
"oocytes_merluccius_nucleus_4d",4,"<function dropout at 0x7f2cb4c49ae8>",NA,0.01,NA,0.5,2,0.681196647882461,0.666666686534882
"oocytes_merluccius_nucleus_4d",8,"<function dropout at 0x7f2cb4c49ae8>",NA,0.1,NA,0.5,2,0.678632545471191,0.670588254928589
"oocytes_merluccius_nucleus_4d",4,"<function dropout at 0x7f2cb4c49ae8>",NA,0.01,NA,0,2,0.670085513591766,0.678431391716003
"oocytes_merluccius_nucleus_4d",4,"<function dropout at 0x7f2cb4c49ae8>",NA,1,NA,0.5,2,0.401709455251694,0.329411774873734
"oocytes_merluccius_nucleus_4d",32,"<function dropout at 0x7f2cb4c49ae8>",NA,0.01,NA,0.5,2,0.28205132484436,0.329411774873734
"oocytes_merluccius_nucleus_4d",32,"<function dropout at 0x7f2cb4c49ae8>",NA,0.1,NA,0.5,2,0.28205132484436,0.329411774873734
"oocytes_merluccius_nucleus_4d",32,"<function dropout at 0x7f2cb4c49ae8>",NA,1,NA,0.5,2,0.28205132484436,0.329411774873734
"oocytes_merluccius_nucleus_4d",16,"<function dropout at 0x7f2cb4c49ae8>",NA,0.01,NA,0.5,2,0.28205132484436,0.329411774873734
"oocytes_merluccius_nucleus_4d",16,"<function dropout at 0x7f2cb4c49ae8>",NA,0.1,NA,0.5,2,0.28205132484436,0.329411774873734
"oocytes_merluccius_nucleus_4d",16,"<function dropout at 0x7f2cb4c49ae8>",NA,1,NA,0.5,2,0.28205132484436,0.329411774873734
"oocytes_merluccius_nucleus_4d",8,"<function dropout at 0x7f2cb4c49ae8>",NA,1,NA,0.5,2,0.28205132484436,0.329411774873734
