"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"oocytes_trisopterus_nucleus_2f",8,"<function dropout at 0x7f93d90b2ae8>",NA,1,NA,0,2,0.831645596027374,0.828947365283966
"oocytes_trisopterus_nucleus_2f",4,"<function dropout at 0x7f93d90b2ae8>",NA,1,NA,0,2,0.83164559006691,0.771929800510406
"oocytes_trisopterus_nucleus_2f",3,"<function dropout at 0x7f93d90b2ae8>",NA,1,NA,0,2,0.829113906621933,0.820175468921661
"oocytes_trisopterus_nucleus_2f",2,"<function dropout at 0x7f93d90b2ae8>",NA,1,NA,0,2,0.821519005298615,0.807017505168915
"oocytes_trisopterus_nucleus_2f",3,"<function dropout at 0x7f93d90b2ae8>",NA,0.1,NA,0,2,0.794936776161194,0.776315808296204
"oocytes_trisopterus_nucleus_2f",2,"<function dropout at 0x7f93d90b2ae8>",NA,0.1,NA,0,2,0.794936776161194,0.767543852329254
"oocytes_trisopterus_nucleus_2f",4,"<function dropout at 0x7f93d90b2ae8>",NA,0.1,NA,0,2,0.793670952320099,0.771929800510406
"oocytes_trisopterus_nucleus_2f",2,"<function dropout at 0x7f93d90b2ae8>",NA,1,NA,0.5,2,0.782278537750244,0.793859660625458
"oocytes_trisopterus_nucleus_2f",3,"<function dropout at 0x7f93d90b2ae8>",NA,0.01,NA,0.5,2,0.659493625164032,0.631578922271729
"oocytes_trisopterus_nucleus_2f",2,"<function dropout at 0x7f93d90b2ae8>",NA,0.01,NA,0.5,2,0.654430389404297,0.614035069942474
"oocytes_trisopterus_nucleus_2f",3,"<function dropout at 0x7f93d90b2ae8>",NA,1,NA,0.5,2,0.641772156953812,0.666666626930237
"oocytes_trisopterus_nucleus_2f",2,"<function dropout at 0x7f93d90b2ae8>",NA,0.1,NA,0.5,2,0.636708873510361,0.587719321250916
"oocytes_trisopterus_nucleus_2f",8,"<function dropout at 0x7f93d90b2ae8>",NA,0.01,NA,0.5,2,0.616455698013306,0.618421077728271
"oocytes_trisopterus_nucleus_2f",3,"<function dropout at 0x7f93d90b2ae8>",NA,0.1,NA,0.5,2,0.603797483444214,0.59649121761322
"oocytes_trisopterus_nucleus_2f",8,"<function dropout at 0x7f93d90b2ae8>",NA,0.01,NA,0,2,0.588607609272003,0.539473652839661
"oocytes_trisopterus_nucleus_2f",32,"<function dropout at 0x7f93d90b2ae8>",NA,0.1,NA,0,2,0.582278490066528,0.578947365283966
"oocytes_trisopterus_nucleus_2f",32,"<function dropout at 0x7f93d90b2ae8>",NA,1,NA,0,2,0.582278490066528,0.578947365283966
"oocytes_trisopterus_nucleus_2f",16,"<function dropout at 0x7f93d90b2ae8>",NA,0.1,NA,0,2,0.582278490066528,0.578947365283966
"oocytes_trisopterus_nucleus_2f",4,"<function dropout at 0x7f93d90b2ae8>",NA,0.1,NA,0.5,2,0.581012666225433,0.557017505168915
"oocytes_trisopterus_nucleus_2f",8,"<function dropout at 0x7f93d90b2ae8>",NA,0.1,NA,0,2,0.578481018543243,0.578947365283966
"oocytes_trisopterus_nucleus_2f",16,"<function dropout at 0x7f93d90b2ae8>",NA,0.01,NA,0,2,0.575949370861053,0.574561417102814
"oocytes_trisopterus_nucleus_2f",4,"<function dropout at 0x7f93d90b2ae8>",NA,1,NA,0.5,2,0.570886093378067,0.578947365283966
"oocytes_trisopterus_nucleus_2f",16,"<function dropout at 0x7f93d90b2ae8>",NA,1,NA,0,2,0.565822786092758,0.578947365283966
"oocytes_trisopterus_nucleus_2f",4,"<function dropout at 0x7f93d90b2ae8>",NA,0.01,NA,0,2,0.531645596027374,0.491228103637695
"oocytes_trisopterus_nucleus_2f",2,"<function dropout at 0x7f93d90b2ae8>",NA,0.01,NA,0,2,0.51012659072876,0.5
"oocytes_trisopterus_nucleus_2f",4,"<function dropout at 0x7f93d90b2ae8>",NA,0.01,NA,0.5,2,0.496202543377876,0.552631556987762
"oocytes_trisopterus_nucleus_2f",3,"<function dropout at 0x7f93d90b2ae8>",NA,0.01,NA,0,2,0.459493666887283,0.583333373069763
"oocytes_trisopterus_nucleus_2f",8,"<function dropout at 0x7f93d90b2ae8>",NA,0.1,NA,0.5,2,0.451898729801178,0.421052634716034
"oocytes_trisopterus_nucleus_2f",32,"<function dropout at 0x7f93d90b2ae8>",NA,0.01,NA,0,2,0.450632905960083,0.421052634716034
"oocytes_trisopterus_nucleus_2f",32,"<function dropout at 0x7f93d90b2ae8>",NA,0.01,NA,0.5,2,0.417721509933472,0.421052634716034
"oocytes_trisopterus_nucleus_2f",32,"<function dropout at 0x7f93d90b2ae8>",NA,0.1,NA,0.5,2,0.417721509933472,0.421052664518356
"oocytes_trisopterus_nucleus_2f",32,"<function dropout at 0x7f93d90b2ae8>",NA,1,NA,0.5,2,0.417721509933472,0.421052604913712
"oocytes_trisopterus_nucleus_2f",16,"<function dropout at 0x7f93d90b2ae8>",NA,0.01,NA,0.5,2,0.417721509933472,0.421052634716034
"oocytes_trisopterus_nucleus_2f",16,"<function dropout at 0x7f93d90b2ae8>",NA,0.1,NA,0.5,2,0.417721509933472,0.421052634716034
"oocytes_trisopterus_nucleus_2f",16,"<function dropout at 0x7f93d90b2ae8>",NA,1,NA,0.5,2,0.417721509933472,0.421052634716034
"oocytes_trisopterus_nucleus_2f",8,"<function dropout at 0x7f93d90b2ae8>",NA,1,NA,0.5,2,0.417721509933472,0.421052604913712
