"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"optical",3,"<function dropout at 0x7f6ec47e3ae8>",NA,1,NA,0,2,0.986893916130066,0.964385032653809
"optical",2,"<function dropout at 0x7f6ec47e3ae8>",NA,1,NA,0.5,2,0.985321176052094,0.973288655281067
"optical",2,"<function dropout at 0x7f6ec47e3ae8>",NA,1,NA,0,2,0.98165146112442,0.966610908508301
"optical",4,"<function dropout at 0x7f6ec47e3ae8>",NA,1,NA,0,2,0.979554462432861,0.955481290817261
"optical",2,"<function dropout at 0x7f6ec47e3ae8>",NA,0.1,NA,0.5,2,0.979030191898346,0.964385032653809
"optical",3,"<function dropout at 0x7f6ec47e3ae8>",NA,0.1,NA,0,2,0.977719652652741,0.950472950935364
"optical",2,"<function dropout at 0x7f6ec47e3ae8>",NA,0.1,NA,0,2,0.974574136734009,0.961046099662781
"optical",4,"<function dropout at 0x7f6ec47e3ae8>",NA,0.1,NA,0.5,2,0.972083967924118,0.94602108001709
"optical",4,"<function dropout at 0x7f6ec47e3ae8>",NA,0.1,NA,0,2,0.97155966758728,0.946577608585358
"optical",3,"<function dropout at 0x7f6ec47e3ae8>",NA,0.1,NA,0.5,2,0.969986987113953,0.962715625762939
"optical",8,"<function dropout at 0x7f6ec47e3ae8>",NA,0.1,NA,0,2,0.968152141571045,0.946577548980713
"optical",3,"<function dropout at 0x7f6ec47e3ae8>",NA,0.01,NA,0,2,0.95360426902771,0.928213596343994
"optical",2,"<function dropout at 0x7f6ec47e3ae8>",NA,0.01,NA,0,2,0.949279189109802,0.916527509689331
"optical",4,"<function dropout at 0x7f6ec47e3ae8>",NA,0.01,NA,0,2,0.945347410440445,0.913188636302948
"optical",2,"<function dropout at 0x7f6ec47e3ae8>",NA,0.01,NA,0.5,2,0.934731364250183,0.909849762916565
"optical",8,"<function dropout at 0x7f6ec47e3ae8>",NA,0.01,NA,0,2,0.921494144201279,0.902058959007263
"optical",3,"<function dropout at 0x7f6ec47e3ae8>",NA,0.01,NA,0.5,2,0.910353899002075,0.874791324138641
"optical",4,"<function dropout at 0x7f6ec47e3ae8>",NA,0.01,NA,0.5,2,0.857536119222641,0.832498550415039
"optical",16,"<function dropout at 0x7f6ec47e3ae8>",NA,0.01,NA,0,2,0.452293604612351,0.410127997398376
"optical",3,"<function dropout at 0x7f6ec47e3ae8>",NA,1,NA,0.5,2,0.247706431150436,0.0990539863705635
"optical",8,"<function dropout at 0x7f6ec47e3ae8>",NA,1,NA,0,2,0.144167767465115,0.0990539863705635
"optical",4,"<function dropout at 0x7f6ec47e3ae8>",NA,1,NA,0.5,2,0.139973799884319,0.0990539863705635
"optical",8,"<function dropout at 0x7f6ec47e3ae8>",NA,0.01,NA,0.5,2,0.129750990122557,0.12910407781601
"optical",16,"<function dropout at 0x7f6ec47e3ae8>",NA,0.1,NA,0,2,0.0910878159105778,0.0990539863705635
"optical",16,"<function dropout at 0x7f6ec47e3ae8>",NA,0.1,NA,0.5,2,0.0878112785518169,0.0990539938211441
"optical",32,"<function dropout at 0x7f6ec47e3ae8>",NA,0.1,NA,0.5,2,0.0878112785518169,0.0990539938211441
"optical",8,"<function dropout at 0x7f6ec47e3ae8>",NA,1,NA,0.5,2,0.0878112785518169,0.0990539938211441
"optical",32,"<function dropout at 0x7f6ec47e3ae8>",NA,1,NA,0.5,2,0.0878112778067589,0.0990539863705635
"optical",32,"<function dropout at 0x7f6ec47e3ae8>",NA,0.01,NA,0,2,0.0878112770617008,0.0990539863705635
"optical",32,"<function dropout at 0x7f6ec47e3ae8>",NA,0.01,NA,0.5,2,0.0878112763166428,0.0990539863705635
"optical",32,"<function dropout at 0x7f6ec47e3ae8>",NA,0.1,NA,0,2,0.0878112763166428,0.0990539863705635
"optical",32,"<function dropout at 0x7f6ec47e3ae8>",NA,1,NA,0,2,0.0878112763166428,0.0990539863705635
"optical",16,"<function dropout at 0x7f6ec47e3ae8>",NA,0.01,NA,0.5,2,0.0878112763166428,0.0990539863705635
"optical",16,"<function dropout at 0x7f6ec47e3ae8>",NA,1,NA,0.5,2,0.0878112763166428,0.0990539863705635
"optical",16,"<function dropout at 0x7f6ec47e3ae8>",NA,1,NA,0,2,0.0878112763166428,0.0990539863705635
"optical",8,"<function dropout at 0x7f6ec47e3ae8>",NA,0.1,NA,0.5,2,0.0878112763166428,0.0990539863705635
