"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"page-blocks",3,"<function dropout at 0x7f3adabfeae8>",NA,0.1,NA,0,2,0.981450319290161,0.965643227100372
"page-blocks",4,"<function dropout at 0x7f3adabfeae8>",NA,1,NA,0,2,0.980101251602173,0.961257219314575
"page-blocks",4,"<function dropout at 0x7f3adabfeae8>",NA,0.1,NA,0,2,0.978077620267868,0.963450253009796
"page-blocks",2,"<function dropout at 0x7f3adabfeae8>",NA,1,NA,0,2,0.977403116226196,0.967836260795593
"page-blocks",3,"<function dropout at 0x7f3adabfeae8>",NA,1,NA,0,2,0.977065777778626,0.964181184768677
"page-blocks",8,"<function dropout at 0x7f3adabfeae8>",NA,0.1,NA,0,2,0.976728475093842,0.960526287555695
"page-blocks",2,"<function dropout at 0x7f3adabfeae8>",NA,0.1,NA,0,2,0.976222681999207,0.966374158859253
"page-blocks",8,"<function dropout at 0x7f3adabfeae8>",NA,1,NA,0,2,0.97301858663559,0.964181184768677
"page-blocks",16,"<function dropout at 0x7f3adabfeae8>",NA,1,NA,0,2,0.966610485315323,0.958333253860474
"page-blocks",16,"<function dropout at 0x7f3adabfeae8>",NA,0.1,NA,0,2,0.963575035333633,0.956140279769897
"page-blocks",2,"<function dropout at 0x7f3adabfeae8>",NA,1,NA,0.5,2,0.960539650917053,0.94298243522644
"page-blocks",3,"<function dropout at 0x7f3adabfeae8>",NA,1,NA,0.5,2,0.952782493829727,0.942251443862915
"page-blocks",4,"<function dropout at 0x7f3adabfeae8>",NA,1,NA,0.5,2,0.94957839846611,0.940058469772339
"page-blocks",2,"<function dropout at 0x7f3adabfeae8>",NA,0.1,NA,0.5,2,0.943676221370697,0.93201756477356
"page-blocks",4,"<function dropout at 0x7f3adabfeae8>",NA,0.01,NA,0,2,0.942664384841919,0.929093599319458
"page-blocks",2,"<function dropout at 0x7f3adabfeae8>",NA,0.01,NA,0,2,0.932883644104004,0.926900506019592
"page-blocks",3,"<function dropout at 0x7f3adabfeae8>",NA,0.1,NA,0.5,2,0.923946017026901,0.921052575111389
"page-blocks",4,"<function dropout at 0x7f3adabfeae8>",NA,0.1,NA,0.5,2,0.913996636867523,0.91301167011261
"page-blocks",8,"<function dropout at 0x7f3adabfeae8>",NA,0.01,NA,0,2,0.912310290336609,0.91301167011261
"page-blocks",4,"<function dropout at 0x7f3adabfeae8>",NA,0.01,NA,0.5,2,0.906913936138153,0.901315808296204
"page-blocks",8,"<function dropout at 0x7f3adabfeae8>",NA,0.01,NA,0.5,2,0.905733513832092,0.898391842842102
"page-blocks",3,"<function dropout at 0x7f3adabfeae8>",NA,0.01,NA,0.5,2,0.905564856529236,0.898391783237457
"page-blocks",2,"<function dropout at 0x7f3adabfeae8>",NA,0.01,NA,0.5,2,0.904047203063965,0.899853825569153
"page-blocks",32,"<function dropout at 0x7f3adabfeae8>",NA,1,NA,0,2,0.904047179222107,0.898391842842102
"page-blocks",16,"<function dropout at 0x7f3adabfeae8>",NA,0.01,NA,0,2,0.904047167301178,0.898391783237457
"page-blocks",16,"<function dropout at 0x7f3adabfeae8>",NA,0.01,NA,0.5,2,0.903878581523895,0.898391842842102
"page-blocks",32,"<function dropout at 0x7f3adabfeae8>",NA,0.1,NA,0,2,0.903878557682037,0.898391842842102
"page-blocks",8,"<function dropout at 0x7f3adabfeae8>",NA,0.1,NA,0.5,2,0.903878545761108,0.898391783237457
"page-blocks",8,"<function dropout at 0x7f3adabfeae8>",NA,1,NA,0.5,2,0.903878545761108,0.898391842842102
"page-blocks",3,"<function dropout at 0x7f3adabfeae8>",NA,0.01,NA,0,2,0.903878545761108,0.899122834205627
"page-blocks",32,"<function dropout at 0x7f3adabfeae8>",NA,0.01,NA,0,2,0.903878533840179,0.898391783237457
"page-blocks",32,"<function dropout at 0x7f3adabfeae8>",NA,1,NA,0.5,2,0.903878533840179,0.898391783237457
"page-blocks",16,"<function dropout at 0x7f3adabfeae8>",NA,1,NA,0.5,2,0.903878533840179,0.898391842842102
"page-blocks",32,"<function dropout at 0x7f3adabfeae8>",NA,0.01,NA,0.5,2,0.90387852191925,0.898391783237457
"page-blocks",16,"<function dropout at 0x7f3adabfeae8>",NA,0.1,NA,0.5,2,0.90387852191925,0.898391842842102
"page-blocks",32,"<function dropout at 0x7f3adabfeae8>",NA,0.1,NA,0.5,2,0.903878509998322,0.898391842842102
