"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"plant-margin",2,"<function dropout at 0x7f683fc1fae8>",NA,1,NA,0.5,2,0.830588275194168,0.837500095367432
"plant-margin",2,"<function dropout at 0x7f683fc1fae8>",NA,1,NA,0,2,0.774705946445465,0.789999961853027
"plant-margin",3,"<function dropout at 0x7f683fc1fae8>",NA,1,NA,0,2,0.751176524162293,0.774999976158142
"plant-margin",4,"<function dropout at 0x7f683fc1fae8>",NA,1,NA,0,2,0.747058856487274,0.764999985694885
"plant-margin",2,"<function dropout at 0x7f683fc1fae8>",NA,0.1,NA,0,2,0.737647086381912,0.732499957084656
"plant-margin",3,"<function dropout at 0x7f683fc1fae8>",NA,1,NA,0.5,2,0.722352981567383,0.774999976158142
"plant-margin",3,"<function dropout at 0x7f683fc1fae8>",NA,0.1,NA,0,2,0.718823593854904,0.767499983310699
"plant-margin",8,"<function dropout at 0x7f683fc1fae8>",NA,0.1,NA,0,2,0.718235331773758,0.679999947547913
"plant-margin",8,"<function dropout at 0x7f683fc1fae8>",NA,1,NA,0,2,0.711176496744156,0.762499988079071
"plant-margin",4,"<function dropout at 0x7f683fc1fae8>",NA,0.1,NA,0,2,0.698823571205139,0.694999992847443
"plant-margin",2,"<function dropout at 0x7f683fc1fae8>",NA,0.1,NA,0.5,2,0.621176517009735,0.704999983310699
"plant-margin",4,"<function dropout at 0x7f683fc1fae8>",NA,1,NA,0.5,2,0.508823561668396,0.560000061988831
"plant-margin",3,"<function dropout at 0x7f683fc1fae8>",NA,0.1,NA,0.5,2,0.438823539018631,0.602499961853027
"plant-margin",16,"<function dropout at 0x7f683fc1fae8>",NA,0.1,NA,0,2,0.254705895483494,0.350000023841858
"plant-margin",4,"<function dropout at 0x7f683fc1fae8>",NA,0.1,NA,0.5,2,0.224705889821053,0.387499988079071
"plant-margin",3,"<function dropout at 0x7f683fc1fae8>",NA,0.01,NA,0,2,0.193529424071312,0.22749999165535
"plant-margin",2,"<function dropout at 0x7f683fc1fae8>",NA,0.01,NA,0,2,0.152941182255745,0.259999990463257
"plant-margin",2,"<function dropout at 0x7f683fc1fae8>",NA,0.01,NA,0.5,2,0.122941184043884,0.197500005364418
"plant-margin",8,"<function dropout at 0x7f683fc1fae8>",NA,0.01,NA,0,2,0.0235294122248888,0.00749999983236194
"plant-margin",4,"<function dropout at 0x7f683fc1fae8>",NA,0.01,NA,0,2,0.0235294122248888,0.0525000020861626
"plant-margin",8,"<function dropout at 0x7f683fc1fae8>",NA,0.01,NA,0.5,2,0.0176470596343279,0.00999999977648258
"plant-margin",4,"<function dropout at 0x7f683fc1fae8>",NA,0.01,NA,0.5,2,0.0117647061124444,0.0175000000745058
"plant-margin",3,"<function dropout at 0x7f683fc1fae8>",NA,0.01,NA,0.5,2,0.00647058836184442,0.0175000000745058
"plant-margin",32,"<function dropout at 0x7f683fc1fae8>",NA,0.01,NA,0.5,2,0.0058823530562222,0.00999999977648258
"plant-margin",32,"<function dropout at 0x7f683fc1fae8>",NA,0.01,NA,0,2,0.0058823530562222,0.00999999977648258
"plant-margin",32,"<function dropout at 0x7f683fc1fae8>",NA,0.1,NA,0.5,2,0.0058823530562222,0.00999999977648258
"plant-margin",32,"<function dropout at 0x7f683fc1fae8>",NA,1,NA,0.5,2,0.0058823530562222,0.00999999977648258
"plant-margin",32,"<function dropout at 0x7f683fc1fae8>",NA,1,NA,0,2,0.0058823530562222,0.00999999977648258
"plant-margin",16,"<function dropout at 0x7f683fc1fae8>",NA,0.01,NA,0.5,2,0.0058823530562222,0.00999999977648258
"plant-margin",16,"<function dropout at 0x7f683fc1fae8>",NA,0.01,NA,0,2,0.0058823530562222,0.00999999977648258
"plant-margin",16,"<function dropout at 0x7f683fc1fae8>",NA,0.1,NA,0.5,2,0.0058823530562222,0.00999999977648258
"plant-margin",16,"<function dropout at 0x7f683fc1fae8>",NA,1,NA,0.5,2,0.0058823530562222,0.00999999977648258
"plant-margin",16,"<function dropout at 0x7f683fc1fae8>",NA,1,NA,0,2,0.0058823530562222,0.00999999977648258
"plant-margin",8,"<function dropout at 0x7f683fc1fae8>",NA,0.1,NA,0.5,2,0.0058823530562222,0.00999999977648258
"plant-margin",8,"<function dropout at 0x7f683fc1fae8>",NA,1,NA,0.5,2,0.0058823530562222,0.00999999977648258
"plant-margin",32,"<function dropout at 0x7f683fc1fae8>",NA,0.1,NA,0,2,0,0.00999999977648258
