"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"plant-shape",2,"<function dropout at 0x7ff253659ae8>",NA,1,NA,0,2,0.62743901014328,0.632499933242798
"plant-shape",3,"<function dropout at 0x7ff253659ae8>",NA,1,NA,0,2,0.615853625535965,0.642499923706055
"plant-shape",4,"<function dropout at 0x7ff253659ae8>",NA,1,NA,0,2,0.571341449022293,0.527499973773956
"plant-shape",8,"<function dropout at 0x7ff253659ae8>",NA,1,NA,0,2,0.548780462145805,0.552500009536743
"plant-shape",2,"<function dropout at 0x7ff253659ae8>",NA,1,NA,0.5,2,0.490243881940842,0.512499928474426
"plant-shape",3,"<function dropout at 0x7ff253659ae8>",NA,0.1,NA,0,2,0.482317048311234,0.504999935626984
"plant-shape",4,"<function dropout at 0x7ff253659ae8>",NA,0.1,NA,0,2,0.475609734654427,0.467499971389771
"plant-shape",2,"<function dropout at 0x7ff253659ae8>",NA,0.1,NA,0,2,0.449390229582787,0.469999969005585
"plant-shape",8,"<function dropout at 0x7ff253659ae8>",NA,0.1,NA,0,2,0.440853640437126,0.432500004768372
"plant-shape",3,"<function dropout at 0x7ff253659ae8>",NA,1,NA,0.5,2,0.356707301735878,0.419999957084656
"plant-shape",2,"<function dropout at 0x7ff253659ae8>",NA,0.1,NA,0.5,2,0.27256096303463,0.322499990463257
"plant-shape",3,"<function dropout at 0x7ff253659ae8>",NA,0.1,NA,0.5,2,0.197560967504978,0.249999985098839
"plant-shape",2,"<function dropout at 0x7ff253659ae8>",NA,0.01,NA,0,2,0.103658527135849,0.0850000008940697
"plant-shape",4,"<function dropout at 0x7ff253659ae8>",NA,0.01,NA,0,2,0.0999999955296516,0.109999999403954
"plant-shape",4,"<function dropout at 0x7ff253659ae8>",NA,0.1,NA,0.5,2,0.0731707274913788,0.107500001788139
"plant-shape",16,"<function dropout at 0x7ff253659ae8>",NA,0.01,NA,0,2,0.0518292661756277,0.0624999962747097
"plant-shape",3,"<function dropout at 0x7ff253659ae8>",NA,0.01,NA,0,2,0.0323170719668269,0.057499997317791
"plant-shape",8,"<function dropout at 0x7ff253659ae8>",NA,0.01,NA,0,2,0.0274390233680606,0.0349999964237213
"plant-shape",3,"<function dropout at 0x7ff253659ae8>",NA,0.01,NA,0.5,2,0.0207317065447569,0.00999999977648258
"plant-shape",2,"<function dropout at 0x7ff253659ae8>",NA,0.01,NA,0.5,2,0.0170731700956821,0.025000000372529
"plant-shape",32,"<function dropout at 0x7ff253659ae8>",NA,0.01,NA,0,2,0.0121951214969158,0.00999999977648258
"plant-shape",4,"<function dropout at 0x7ff253659ae8>",NA,0.01,NA,0.5,2,0.0121951214969158,0.0249999985098839
"plant-shape",32,"<function dropout at 0x7ff253659ae8>",NA,0.1,NA,0,2,0.0109756093472242,0.0199999995529652
"plant-shape",16,"<function dropout at 0x7ff253659ae8>",NA,0.1,NA,0,2,0.00792682897299528,0.00499999988824129
"plant-shape",32,"<function dropout at 0x7ff253659ae8>",NA,0.01,NA,0.5,2,0.00609756074845791,0.00999999977648258
"plant-shape",32,"<function dropout at 0x7ff253659ae8>",NA,0.1,NA,0.5,2,0.00609756074845791,0.00999999977648258
"plant-shape",32,"<function dropout at 0x7ff253659ae8>",NA,1,NA,0.5,2,0.00609756074845791,0.00999999977648258
"plant-shape",32,"<function dropout at 0x7ff253659ae8>",NA,1,NA,0,2,0.00609756074845791,0.00999999977648258
"plant-shape",16,"<function dropout at 0x7ff253659ae8>",NA,0.01,NA,0.5,2,0.00609756074845791,0.00999999977648258
"plant-shape",16,"<function dropout at 0x7ff253659ae8>",NA,0.1,NA,0.5,2,0.00609756074845791,0.00999999977648258
"plant-shape",16,"<function dropout at 0x7ff253659ae8>",NA,1,NA,0.5,2,0.00609756074845791,0.00999999977648258
"plant-shape",16,"<function dropout at 0x7ff253659ae8>",NA,1,NA,0,2,0.00609756074845791,0.00999999977648258
"plant-shape",8,"<function dropout at 0x7ff253659ae8>",NA,0.01,NA,0.5,2,0.00609756074845791,0.00999999977648258
"plant-shape",8,"<function dropout at 0x7ff253659ae8>",NA,0.1,NA,0.5,2,0.00609756074845791,0.00999999977648258
"plant-shape",8,"<function dropout at 0x7ff253659ae8>",NA,1,NA,0.5,2,0.00609756074845791,0.00999999977648258
"plant-shape",4,"<function dropout at 0x7ff253659ae8>",NA,1,NA,0.5,2,0.00609756074845791,0.00999999977648258
