"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"plant-texture",2,"<function dropout at 0x7f6b31591ae8>",NA,1,NA,0.5,2,0.788944733142853,0.789999961853027
"plant-texture",2,"<function dropout at 0x7f6b31591ae8>",NA,1,NA,0,2,0.75628137588501,0.792500019073486
"plant-texture",4,"<function dropout at 0x7f6b31591ae8>",NA,1,NA,0,2,0.748241204023361,0.722499907016754
"plant-texture",8,"<function dropout at 0x7f6b31591ae8>",NA,1,NA,0,2,0.738693434000015,0.747499942779541
"plant-texture",2,"<function dropout at 0x7f6b31591ae8>",NA,0.1,NA,0,2,0.731658273935318,0.752499997615814
"plant-texture",3,"<function dropout at 0x7f6b31591ae8>",NA,1,NA,0,2,0.715075367689133,0.757499992847443
"plant-texture",3,"<function dropout at 0x7f6b31591ae8>",NA,0.1,NA,0,2,0.695979899168015,0.71999990940094
"plant-texture",3,"<function dropout at 0x7f6b31591ae8>",NA,1,NA,0.5,2,0.672864294052124,0.707499980926514
"plant-texture",4,"<function dropout at 0x7f6b31591ae8>",NA,0.1,NA,0,2,0.65527635216713,0.682499945163727
"plant-texture",2,"<function dropout at 0x7f6b31591ae8>",NA,0.1,NA,0.5,2,0.654773837327957,0.674999952316284
"plant-texture",8,"<function dropout at 0x7f6b31591ae8>",NA,0.1,NA,0,2,0.652763783931732,0.669999957084656
"plant-texture",16,"<function dropout at 0x7f6b31591ae8>",NA,1,NA,0,2,0.581909516453743,0.627499997615814
"plant-texture",4,"<function dropout at 0x7f6b31591ae8>",NA,1,NA,0.5,2,0.534673327207565,0.589999973773956
"plant-texture",3,"<function dropout at 0x7f6b31591ae8>",NA,0.1,NA,0.5,2,0.482914552092552,0.564999938011169
"plant-texture",4,"<function dropout at 0x7f6b31591ae8>",NA,0.1,NA,0.5,2,0.289949730038643,0.394999980926514
"plant-texture",3,"<function dropout at 0x7f6b31591ae8>",NA,0.01,NA,0,2,0.160804010927677,0.144999995827675
"plant-texture",2,"<function dropout at 0x7f6b31591ae8>",NA,0.01,NA,0.5,2,0.118090454488993,0.140000000596046
"plant-texture",4,"<function dropout at 0x7f6b31591ae8>",NA,0.01,NA,0,2,0.0984924599528313,0.14750000834465
"plant-texture",3,"<function dropout at 0x7f6b31591ae8>",NA,0.01,NA,0.5,2,0.0814070343971252,0.0925000011920929
"plant-texture",8,"<function dropout at 0x7f6b31591ae8>",NA,0.01,NA,0,2,0.0301507543772459,0.0124999992549419
"plant-texture",32,"<function dropout at 0x7f6b31591ae8>",NA,0.01,NA,0.5,2,0.0201005022972822,0.00999999977648258
"plant-texture",32,"<function dropout at 0x7f6b31591ae8>",NA,0.1,NA,0.5,2,0.0201005022972822,0.00999999977648258
"plant-texture",32,"<function dropout at 0x7f6b31591ae8>",NA,1,NA,0.5,2,0.0201005022972822,0.00999999977648258
"plant-texture",32,"<function dropout at 0x7f6b31591ae8>",NA,1,NA,0,2,0.0201005022972822,0.00999999977648258
"plant-texture",16,"<function dropout at 0x7f6b31591ae8>",NA,0.01,NA,0.5,2,0.0201005022972822,0.00999999977648258
"plant-texture",16,"<function dropout at 0x7f6b31591ae8>",NA,0.1,NA,0.5,2,0.0201005022972822,0.00999999977648258
"plant-texture",16,"<function dropout at 0x7f6b31591ae8>",NA,1,NA,0.5,2,0.0201005022972822,0.00999999977648258
"plant-texture",8,"<function dropout at 0x7f6b31591ae8>",NA,0.1,NA,0.5,2,0.0201005022972822,0.00999999977648258
"plant-texture",8,"<function dropout at 0x7f6b31591ae8>",NA,1,NA,0.5,2,0.0201005022972822,0.00999999977648258
"plant-texture",8,"<function dropout at 0x7f6b31591ae8>",NA,0.01,NA,0.5,2,0.0170854266732931,0.00749999983236194
"plant-texture",4,"<function dropout at 0x7f6b31591ae8>",NA,0.01,NA,0.5,2,0.0150753762573004,0.0124999992549419
"plant-texture",2,"<function dropout at 0x7f6b31591ae8>",NA,0.01,NA,0,2,0.0150753762573004,0.0124999992549419
"plant-texture",32,"<function dropout at 0x7f6b31591ae8>",NA,0.01,NA,0,2,0.0100502511486411,0.00999999977648258
"plant-texture",16,"<function dropout at 0x7f6b31591ae8>",NA,0.01,NA,0,2,0.00502512557432055,0.00999999977648258
"plant-texture",16,"<function dropout at 0x7f6b31591ae8>",NA,0.1,NA,0,2,0.00502512557432055,0.00999999977648258
"plant-texture",32,"<function dropout at 0x7f6b31591ae8>",NA,0.1,NA,0,2,0,0.00999999977648258
