"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"seeds",4,"<function dropout at 0x7f776ff94ae8>",NA,0.1,NA,0,2,1,0.942307770252228
"seeds",3,"<function dropout at 0x7f776ff94ae8>",NA,0.1,NA,0.5,2,1,0.884615421295166
"seeds",3,"<function dropout at 0x7f776ff94ae8>",NA,0.1,NA,0,2,1,0.865384638309479
"seeds",3,"<function dropout at 0x7f776ff94ae8>",NA,1,NA,0,2,0.995454549789429,0.884615421295166
"seeds",2,"<function dropout at 0x7f776ff94ae8>",NA,0.1,NA,0.5,2,0.995454549789429,0.865384638309479
"seeds",4,"<function dropout at 0x7f776ff94ae8>",NA,1,NA,0.5,2,0.986363649368286,0.884615421295166
"seeds",2,"<function dropout at 0x7f776ff94ae8>",NA,1,NA,0,2,0.981818199157715,0.903846204280853
"seeds",8,"<function dropout at 0x7f776ff94ae8>",NA,1,NA,0,2,0.98181819319725,0.923076987266541
"seeds",8,"<function dropout at 0x7f776ff94ae8>",NA,0.1,NA,0,2,0.959090948104858,0.865384638309479
"seeds",16,"<function dropout at 0x7f776ff94ae8>",NA,1,NA,0,2,0.959090930223465,0.923076987266541
"seeds",2,"<function dropout at 0x7f776ff94ae8>",NA,0.01,NA,0.5,2,0.954545497894287,0.826923131942749
"seeds",2,"<function dropout at 0x7f776ff94ae8>",NA,0.1,NA,0,2,0.954545497894287,0.903846204280853
"seeds",2,"<function dropout at 0x7f776ff94ae8>",NA,1,NA,0.5,2,0.954545485973358,0.884615421295166
"seeds",4,"<function dropout at 0x7f776ff94ae8>",NA,1,NA,0,2,0.954545468091965,0.961538553237915
"seeds",3,"<function dropout at 0x7f776ff94ae8>",NA,1,NA,0.5,2,0.945454585552216,0.865384638309479
"seeds",3,"<function dropout at 0x7f776ff94ae8>",NA,0.01,NA,0,2,0.909090936183929,0.826923131942749
"seeds",2,"<function dropout at 0x7f776ff94ae8>",NA,0.01,NA,0,2,0.909090936183929,0.884615421295166
"seeds",8,"<function dropout at 0x7f776ff94ae8>",NA,0.01,NA,0,2,0.863636374473572,0.846153855323792
"seeds",4,"<function dropout at 0x7f776ff94ae8>",NA,0.01,NA,0,2,0.863636374473572,0.730769276618958
"seeds",4,"<function dropout at 0x7f776ff94ae8>",NA,0.1,NA,0.5,2,0.840909123420715,0.865384638309479
"seeds",3,"<function dropout at 0x7f776ff94ae8>",NA,0.01,NA,0.5,2,0.772727251052856,0.826923131942749
"seeds",4,"<function dropout at 0x7f776ff94ae8>",NA,0.01,NA,0.5,2,0.727272748947143,0.673076987266541
"seeds",16,"<function dropout at 0x7f776ff94ae8>",NA,0.1,NA,0,2,0.636363625526428,0.769230842590332
"seeds",8,"<function dropout at 0x7f776ff94ae8>",NA,1,NA,0.5,2,0.522727300226688,0.46153849363327
"seeds",8,"<function dropout at 0x7f776ff94ae8>",NA,0.1,NA,0.5,2,0.509090918302536,0.615384638309479
"seeds",16,"<function dropout at 0x7f776ff94ae8>",NA,0.01,NA,0,2,0.463636374473572,0.326923072338104
"seeds",32,"<function dropout at 0x7f776ff94ae8>",NA,1,NA,0,2,0.400000008940697,0.615384638309479
"seeds",32,"<function dropout at 0x7f776ff94ae8>",NA,0.01,NA,0,2,0.354545474052429,0.25
"seeds",32,"<function dropout at 0x7f776ff94ae8>",NA,0.1,NA,0.5,2,0.345454549789429,0.346153855323792
"seeds",16,"<function dropout at 0x7f776ff94ae8>",NA,1,NA,0.5,2,0.327272737026215,0.326923102140427
"seeds",32,"<function dropout at 0x7f776ff94ae8>",NA,1,NA,0.5,2,0.318181824684143,0.326923102140427
"seeds",32,"<function dropout at 0x7f776ff94ae8>",NA,0.1,NA,0,2,0.272727280855179,0.307692319154739
"seeds",16,"<function dropout at 0x7f776ff94ae8>",NA,0.01,NA,0.5,2,0.268181820213795,0.288461565971375
"seeds",16,"<function dropout at 0x7f776ff94ae8>",NA,0.1,NA,0.5,2,0.268181818723679,0.365384638309479
"seeds",32,"<function dropout at 0x7f776ff94ae8>",NA,0.01,NA,0.5,2,0.245454549789429,0.288461565971375
"seeds",8,"<function dropout at 0x7f776ff94ae8>",NA,0.01,NA,0.5,2,0.168181823194027,0.15384615957737
