"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"spectf",8,"<function dropout at 0x7fca98e12ae8>",NA,1,NA,0,2,0.83809529542923,0.893048167228699
"spectf",8,"<function dropout at 0x7fca98e12ae8>",NA,0.1,NA,0,2,0.733333384990692,0.860962569713593
"spectf",8,"<function dropout at 0x7fca98e12ae8>",NA,0.01,NA,0,2,0.723809552192688,0.689839541912079
"spectf",3,"<function dropout at 0x7fca98e12ae8>",NA,1,NA,0,2,0.704761958122254,0.866310119628906
"spectf",2,"<function dropout at 0x7fca98e12ae8>",NA,0.1,NA,0.5,2,0.695238143205643,0.737967848777771
"spectf",4,"<function dropout at 0x7fca98e12ae8>",NA,0.1,NA,0,2,0.690476232767105,0.860962510108948
"spectf",3,"<function dropout at 0x7fca98e12ae8>",NA,0.1,NA,0,2,0.690476226806641,0.764705836772919
"spectf",2,"<function dropout at 0x7fca98e12ae8>",NA,0.1,NA,0,2,0.685714310407639,0.732620298862457
"spectf",4,"<function dropout at 0x7fca98e12ae8>",NA,0.01,NA,0,2,0.676190507411957,0.796791434288025
"spectf",16,"<function dropout at 0x7fca98e12ae8>",NA,0.1,NA,0,2,0.638095259666443,0.893048167228699
"spectf",2,"<function dropout at 0x7fca98e12ae8>",NA,0.01,NA,0,2,0.628571450710297,0.51871657371521
"spectf",3,"<function dropout at 0x7fca98e12ae8>",NA,0.01,NA,0.5,2,0.571428596973419,0.689839601516724
"spectf",4,"<function dropout at 0x7fca98e12ae8>",NA,1,NA,0,2,0.566666704416275,0.877005338668823
"spectf",2,"<function dropout at 0x7fca98e12ae8>",NA,1,NA,0,2,0.561904788017273,0.636363625526428
"spectf",16,"<function dropout at 0x7fca98e12ae8>",NA,1,NA,0,2,0.557142889499664,0.0802139043807983
"spectf",4,"<function dropout at 0x7fca98e12ae8>",NA,0.1,NA,0.5,2,0.552380979061127,0.465240657329559
"spectf",32,"<function dropout at 0x7fca98e12ae8>",NA,1,NA,0,2,0.54285717010498,0.0802139043807983
"spectf",32,"<function dropout at 0x7fca98e12ae8>",NA,0.01,NA,0,2,0.523809552192688,0.898395776748657
"spectf",16,"<function dropout at 0x7fca98e12ae8>",NA,0.01,NA,0,2,0.523809552192688,0.919786214828491
"spectf",8,"<function dropout at 0x7fca98e12ae8>",NA,0.01,NA,0.5,2,0.523809552192688,0.51871657371521
"spectf",3,"<function dropout at 0x7fca98e12ae8>",NA,0.1,NA,0.5,2,0.504761934280395,0.213903740048409
"spectf",2,"<function dropout at 0x7fca98e12ae8>",NA,1,NA,0.5,2,0.504761934280395,0.149732634425163
"spectf",32,"<function dropout at 0x7fca98e12ae8>",NA,0.01,NA,0.5,2,0.476190507411957,0.0802139043807983
"spectf",32,"<function dropout at 0x7fca98e12ae8>",NA,0.1,NA,0.5,2,0.476190507411957,0.0802139043807983
"spectf",32,"<function dropout at 0x7fca98e12ae8>",NA,0.1,NA,0,2,0.476190507411957,0.0909090936183929
"spectf",32,"<function dropout at 0x7fca98e12ae8>",NA,1,NA,0.5,2,0.476190507411957,0.0802139043807983
"spectf",16,"<function dropout at 0x7fca98e12ae8>",NA,0.01,NA,0.5,2,0.476190507411957,0.0802139043807983
"spectf",16,"<function dropout at 0x7fca98e12ae8>",NA,0.1,NA,0.5,2,0.476190507411957,0.0802139043807983
"spectf",16,"<function dropout at 0x7fca98e12ae8>",NA,1,NA,0.5,2,0.476190507411957,0.0802139043807983
"spectf",8,"<function dropout at 0x7fca98e12ae8>",NA,0.1,NA,0.5,2,0.476190507411957,0.0802139043807983
"spectf",8,"<function dropout at 0x7fca98e12ae8>",NA,1,NA,0.5,2,0.476190507411957,0.0802139043807983
"spectf",4,"<function dropout at 0x7fca98e12ae8>",NA,0.01,NA,0.5,2,0.476190507411957,0.454545438289642
"spectf",4,"<function dropout at 0x7fca98e12ae8>",NA,1,NA,0.5,2,0.476190507411957,0.0802139043807983
"spectf",3,"<function dropout at 0x7fca98e12ae8>",NA,1,NA,0.5,2,0.476190507411957,0.0802139043807983
"spectf",3,"<function dropout at 0x7fca98e12ae8>",NA,0.01,NA,0,2,0.44285717010498,0.422459900379181
"spectf",2,"<function dropout at 0x7fca98e12ae8>",NA,0.01,NA,0.5,2,0.414285746216774,0.545454561710358
