"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"statlog-landsat",4,"<function dropout at 0x7fe97decaae8>",NA,1,NA,0,2,0.925498902797699,0.91100001335144
"statlog-landsat",2,"<function dropout at 0x7fe97decaae8>",NA,1,NA,0,2,0.919401347637177,0.899500012397766
"statlog-landsat",3,"<function dropout at 0x7fe97decaae8>",NA,1,NA,0,2,0.917849242687225,0.897500097751617
"statlog-landsat",8,"<function dropout at 0x7fe97decaae8>",NA,0.1,NA,0,2,0.915299355983734,0.887000143527985
"statlog-landsat",3,"<function dropout at 0x7fe97decaae8>",NA,0.1,NA,0,2,0.909977853298187,0.897000074386597
"statlog-landsat",2,"<function dropout at 0x7fe97decaae8>",NA,0.1,NA,0,2,0.901773869991302,0.884500026702881
"statlog-landsat",4,"<function dropout at 0x7fe97decaae8>",NA,0.1,NA,0,2,0.898780471086502,0.894999980926514
"statlog-landsat",8,"<function dropout at 0x7fe97decaae8>",NA,1,NA,0,2,0.892572075128555,0.861000061035156
"statlog-landsat",3,"<function dropout at 0x7fe97decaae8>",NA,1,NA,0.5,2,0.880044341087341,0.865000128746033
"statlog-landsat",2,"<function dropout at 0x7fe97decaae8>",NA,1,NA,0.5,2,0.873614192008972,0.864000082015991
"statlog-landsat",2,"<function dropout at 0x7fe97decaae8>",NA,0.1,NA,0.5,2,0.870842558145523,0.851500034332275
"statlog-landsat",4,"<function dropout at 0x7fe97decaae8>",NA,1,NA,0.5,2,0.869844794273377,0.83650004863739
"statlog-landsat",4,"<function dropout at 0x7fe97decaae8>",NA,0.01,NA,0,2,0.855432391166687,0.838500082492828
"statlog-landsat",3,"<function dropout at 0x7fe97decaae8>",NA,0.01,NA,0,2,0.853325963020325,0.843000054359436
"statlog-landsat",3,"<function dropout at 0x7fe97decaae8>",NA,0.1,NA,0.5,2,0.851552128791809,0.839000105857849
"statlog-landsat",8,"<function dropout at 0x7fe97decaae8>",NA,0.01,NA,0,2,0.848447871208191,0.823000073432922
"statlog-landsat",2,"<function dropout at 0x7fe97decaae8>",NA,0.01,NA,0,2,0.846341490745545,0.828000068664551
"statlog-landsat",4,"<function dropout at 0x7fe97decaae8>",NA,0.1,NA,0.5,2,0.843902456760407,0.825000107288361
"statlog-landsat",2,"<function dropout at 0x7fe97decaae8>",NA,0.01,NA,0.5,2,0.837361454963684,0.803000092506409
"statlog-landsat",3,"<function dropout at 0x7fe97decaae8>",NA,0.01,NA,0.5,2,0.831374704837799,0.806000053882599
"statlog-landsat",4,"<function dropout at 0x7fe97decaae8>",NA,0.01,NA,0.5,2,0.774944603443146,0.735000014305115
"statlog-landsat",16,"<function dropout at 0x7fe97decaae8>",NA,0.01,NA,0,2,0.631596451997757,0.611500024795532
"statlog-landsat",8,"<function dropout at 0x7fe97decaae8>",NA,0.01,NA,0.5,2,0.430598682165146,0.416500002145767
"statlog-landsat",16,"<function dropout at 0x7fe97decaae8>",NA,0.1,NA,0,2,0.328159652650356,0.230499997735023
"statlog-landsat",16,"<function dropout at 0x7fe97decaae8>",NA,1,NA,0,2,0.284478944540024,0.230499997735023
"statlog-landsat",32,"<function dropout at 0x7fe97decaae8>",NA,0.1,NA,0,2,0.259423507750034,0.230499997735023
"statlog-landsat",32,"<function dropout at 0x7fe97decaae8>",NA,1,NA,0,2,0.240798233449459,0.230500012636185
"statlog-landsat",32,"<function dropout at 0x7fe97decaae8>",NA,0.01,NA,0,2,0.234257215261459,0.230500012636185
"statlog-landsat",32,"<function dropout at 0x7fe97decaae8>",NA,0.01,NA,0.5,2,0.22616408765316,0.230500012636185
"statlog-landsat",32,"<function dropout at 0x7fe97decaae8>",NA,0.1,NA,0.5,2,0.22616408765316,0.230500012636185
"statlog-landsat",32,"<function dropout at 0x7fe97decaae8>",NA,1,NA,0.5,2,0.22616408765316,0.230500012636185
"statlog-landsat",16,"<function dropout at 0x7fe97decaae8>",NA,0.01,NA,0.5,2,0.22616408765316,0.230499997735023
"statlog-landsat",16,"<function dropout at 0x7fe97decaae8>",NA,0.1,NA,0.5,2,0.22616408765316,0.230500012636185
"statlog-landsat",16,"<function dropout at 0x7fe97decaae8>",NA,1,NA,0.5,2,0.22616408765316,0.230499997735023
"statlog-landsat",8,"<function dropout at 0x7fe97decaae8>",NA,0.1,NA,0.5,2,0.22616408765316,0.230500012636185
"statlog-landsat",8,"<function dropout at 0x7fe97decaae8>",NA,1,NA,0.5,2,0.22616408765316,0.230500012636185
