"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"statlog-vehicle",2,"<function dropout at 0x7ff84ae34ae8>",NA,1,NA,0,2,0.762162190675736,0.796208560466766
"statlog-vehicle",4,"<function dropout at 0x7ff84ae34ae8>",NA,1,NA,0,2,0.760810828208923,0.791469216346741
"statlog-vehicle",3,"<function dropout at 0x7ff84ae34ae8>",NA,0.1,NA,0,2,0.747297328710556,0.791469216346741
"statlog-vehicle",2,"<function dropout at 0x7ff84ae34ae8>",NA,0.1,NA,0,2,0.737837874889374,0.725118517875671
"statlog-vehicle",2,"<function dropout at 0x7ff84ae34ae8>",NA,1,NA,0.5,2,0.72702705860138,0.734597146511078
"statlog-vehicle",3,"<function dropout at 0x7ff84ae34ae8>",NA,1,NA,0,2,0.727027040719986,0.758293867111206
"statlog-vehicle",4,"<function dropout at 0x7ff84ae34ae8>",NA,0.1,NA,0,2,0.725675678253174,0.744075894355774
"statlog-vehicle",16,"<function dropout at 0x7ff84ae34ae8>",NA,1,NA,0,2,0.720270299911499,0.725118517875671
"statlog-vehicle",3,"<function dropout at 0x7ff84ae34ae8>",NA,1,NA,0.5,2,0.701351380348206,0.734597206115723
"statlog-vehicle",4,"<function dropout at 0x7ff84ae34ae8>",NA,1,NA,0.5,2,0.686486518383026,0.701421856880188
"statlog-vehicle",8,"<function dropout at 0x7ff84ae34ae8>",NA,1,NA,0,2,0.685135143995285,0.668246448040009
"statlog-vehicle",3,"<function dropout at 0x7ff84ae34ae8>",NA,0.1,NA,0.5,2,0.594594615697861,0.630331814289093
"statlog-vehicle",2,"<function dropout at 0x7ff84ae34ae8>",NA,0.1,NA,0.5,2,0.539189225435257,0.57345974445343
"statlog-vehicle",8,"<function dropout at 0x7ff84ae34ae8>",NA,0.1,NA,0,2,0.482432445883751,0.521327018737793
"statlog-vehicle",2,"<function dropout at 0x7ff84ae34ae8>",NA,0.01,NA,0.5,2,0.448648679256439,0.412322282791138
"statlog-vehicle",8,"<function dropout at 0x7ff84ae34ae8>",NA,0.01,NA,0,2,0.409459453821182,0.388625591993332
"statlog-vehicle",4,"<function dropout at 0x7ff84ae34ae8>",NA,0.1,NA,0.5,2,0.405405429005623,0.45023700594902
"statlog-vehicle",3,"<function dropout at 0x7ff84ae34ae8>",NA,0.01,NA,0,2,0.404054081439972,0.450236976146698
"statlog-vehicle",2,"<function dropout at 0x7ff84ae34ae8>",NA,0.01,NA,0,2,0.345945957303047,0.393364906311035
"statlog-vehicle",4,"<function dropout at 0x7ff84ae34ae8>",NA,0.01,NA,0.5,2,0.336486494541168,0.336492925882339
"statlog-vehicle",16,"<function dropout at 0x7ff84ae34ae8>",NA,0.01,NA,0,2,0.312162184715271,0.255924165248871
"statlog-vehicle",32,"<function dropout at 0x7ff84ae34ae8>",NA,0.01,NA,0,2,0.308108130097389,0.303317546844482
"statlog-vehicle",16,"<function dropout at 0x7ff84ae34ae8>",NA,0.1,NA,0,2,0.298648670315742,0.298578202724457
"statlog-vehicle",8,"<function dropout at 0x7ff84ae34ae8>",NA,0.01,NA,0.5,2,0.267567583918571,0.327014267444611
"statlog-vehicle",3,"<function dropout at 0x7ff84ae34ae8>",NA,0.01,NA,0.5,2,0.267567574977875,0.312796235084534
"statlog-vehicle",4,"<function dropout at 0x7ff84ae34ae8>",NA,0.01,NA,0,2,0.25405407845974,0.255924195051193
"statlog-vehicle",8,"<function dropout at 0x7ff84ae34ae8>",NA,0.1,NA,0.5,2,0.233783794939518,0.303317546844482
"statlog-vehicle",32,"<function dropout at 0x7ff84ae34ae8>",NA,1,NA,0,2,0.225675688683987,0.255924165248871
"statlog-vehicle",32,"<function dropout at 0x7ff84ae34ae8>",NA,0.01,NA,0.5,2,0.216216221451759,0.260663509368896
"statlog-vehicle",32,"<function dropout at 0x7ff84ae34ae8>",NA,0.1,NA,0.5,2,0.216216221451759,0.260663509368896
"statlog-vehicle",32,"<function dropout at 0x7ff84ae34ae8>",NA,0.1,NA,0,2,0.216216221451759,0.260663509368896
"statlog-vehicle",32,"<function dropout at 0x7ff84ae34ae8>",NA,1,NA,0.5,2,0.216216221451759,0.260663509368896
"statlog-vehicle",16,"<function dropout at 0x7ff84ae34ae8>",NA,0.01,NA,0.5,2,0.216216221451759,0.260663509368896
"statlog-vehicle",16,"<function dropout at 0x7ff84ae34ae8>",NA,0.1,NA,0.5,2,0.216216221451759,0.260663509368896
"statlog-vehicle",16,"<function dropout at 0x7ff84ae34ae8>",NA,1,NA,0.5,2,0.216216221451759,0.260663509368896
"statlog-vehicle",8,"<function dropout at 0x7ff84ae34ae8>",NA,1,NA,0.5,2,0.216216221451759,0.260663509368896
