"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"vertebral-column-3clases",2,"<function dropout at 0x7f6232208ae8>",NA,0.1,NA,0.5,2,0.90625,0.792207777500153
"vertebral-column-3clases",8,"<function dropout at 0x7f6232208ae8>",NA,1,NA,0,2,0.8875,0.766233801841736
"vertebral-column-3clases",3,"<function dropout at 0x7f6232208ae8>",NA,0.1,NA,0.5,2,0.875,0.649350643157959
"vertebral-column-3clases",3,"<function dropout at 0x7f6232208ae8>",NA,0.1,NA,0,2,0.875,0.727272689342499
"vertebral-column-3clases",2,"<function dropout at 0x7f6232208ae8>",NA,1,NA,0.5,2,0.871875,0.75324672460556
"vertebral-column-3clases",3,"<function dropout at 0x7f6232208ae8>",NA,1,NA,0.5,2,0.859375,0.714285671710968
"vertebral-column-3clases",4,"<function dropout at 0x7f6232208ae8>",NA,1,NA,0,2,0.85625,0.74025970697403
"vertebral-column-3clases",3,"<function dropout at 0x7f6232208ae8>",NA,1,NA,0,2,0.853125,0.792207777500153
"vertebral-column-3clases",4,"<function dropout at 0x7f6232208ae8>",NA,0.1,NA,0.5,2,0.84375,0.66233766078949
"vertebral-column-3clases",2,"<function dropout at 0x7f6232208ae8>",NA,1,NA,0,2,0.84375,0.805194795131683
"vertebral-column-3clases",16,"<function dropout at 0x7f6232208ae8>",NA,1,NA,0,2,0.828125,0.792207837104797
"vertebral-column-3clases",8,"<function dropout at 0x7f6232208ae8>",NA,0.1,NA,0,2,0.8125,0.649350643157959
"vertebral-column-3clases",4,"<function dropout at 0x7f6232208ae8>",NA,0.1,NA,0,2,0.8125,0.701298654079437
"vertebral-column-3clases",4,"<function dropout at 0x7f6232208ae8>",NA,1,NA,0.5,2,0.8125,0.636363565921783
"vertebral-column-3clases",2,"<function dropout at 0x7f6232208ae8>",NA,0.01,NA,0.5,2,0.8125,0.727272689342499
"vertebral-column-3clases",2,"<function dropout at 0x7f6232208ae8>",NA,0.01,NA,0,2,0.8125,0.714285731315613
"vertebral-column-3clases",4,"<function dropout at 0x7f6232208ae8>",NA,0.01,NA,0,2,0.78125,0.623376607894897
"vertebral-column-3clases",3,"<function dropout at 0x7f6232208ae8>",NA,0.01,NA,0,2,0.78125,0.584415555000305
"vertebral-column-3clases",2,"<function dropout at 0x7f6232208ae8>",NA,0.1,NA,0,2,0.75,0.701298713684082
"vertebral-column-3clases",3,"<function dropout at 0x7f6232208ae8>",NA,0.01,NA,0.5,2,0.5625,0.623376607894897
"vertebral-column-3clases",8,"<function dropout at 0x7f6232208ae8>",NA,0.01,NA,0.5,2,0.540625,0.480519473552704
"vertebral-column-3clases",8,"<function dropout at 0x7f6232208ae8>",NA,0.1,NA,0.5,2,0.540625,0.480519473552704
"vertebral-column-3clases",32,"<function dropout at 0x7f6232208ae8>",NA,0.01,NA,0,2,0.53125,0.480519473552704
"vertebral-column-3clases",32,"<function dropout at 0x7f6232208ae8>",NA,0.1,NA,0.5,2,0.53125,0.480519473552704
"vertebral-column-3clases",32,"<function dropout at 0x7f6232208ae8>",NA,0.1,NA,0,2,0.53125,0.480519473552704
"vertebral-column-3clases",32,"<function dropout at 0x7f6232208ae8>",NA,1,NA,0.5,2,0.53125,0.480519473552704
"vertebral-column-3clases",32,"<function dropout at 0x7f6232208ae8>",NA,1,NA,0,2,0.53125,0.480519473552704
"vertebral-column-3clases",16,"<function dropout at 0x7f6232208ae8>",NA,0.01,NA,0,2,0.53125,0.480519473552704
"vertebral-column-3clases",16,"<function dropout at 0x7f6232208ae8>",NA,0.1,NA,0.5,2,0.53125,0.480519473552704
"vertebral-column-3clases",16,"<function dropout at 0x7f6232208ae8>",NA,0.1,NA,0,2,0.53125,0.480519473552704
"vertebral-column-3clases",16,"<function dropout at 0x7f6232208ae8>",NA,1,NA,0.5,2,0.53125,0.480519473552704
"vertebral-column-3clases",8,"<function dropout at 0x7f6232208ae8>",NA,0.01,NA,0,2,0.53125,0.480519473552704
"vertebral-column-3clases",8,"<function dropout at 0x7f6232208ae8>",NA,1,NA,0.5,2,0.53125,0.480519473552704
"vertebral-column-3clases",4,"<function dropout at 0x7f6232208ae8>",NA,0.01,NA,0.5,2,0.53125,0.480519473552704
"vertebral-column-3clases",32,"<function dropout at 0x7f6232208ae8>",NA,0.01,NA,0.5,2,0.5,0.454545438289642
"vertebral-column-3clases",16,"<function dropout at 0x7f6232208ae8>",NA,0.01,NA,0.5,2,0.353125,0.376623392105103
