"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"wall-following",3,"<function dropout at 0x7f3ddc023ae8>",NA,1,NA,0,2,0.91755234003067,0.923020541667938
"wall-following",8,"<function dropout at 0x7f3ddc023ae8>",NA,1,NA,0,2,0.915941989421845,0.928152501583099
"wall-following",4,"<function dropout at 0x7f3ddc023ae8>",NA,1,NA,0,2,0.910628014802933,0.915689170360565
"wall-following",8,"<function dropout at 0x7f3ddc023ae8>",NA,0.1,NA,0,2,0.904508858919144,0.912756621837616
"wall-following",2,"<function dropout at 0x7f3ddc023ae8>",NA,1,NA,0,2,0.903542643785477,0.91715544462204
"wall-following",16,"<function dropout at 0x7f3ddc023ae8>",NA,1,NA,0,2,0.902898544073105,0.928885638713837
"wall-following",2,"<function dropout at 0x7f3ddc023ae8>",NA,0.1,NA,0,2,0.902737480401993,0.924486815929413
"wall-following",3,"<function dropout at 0x7f3ddc023ae8>",NA,0.1,NA,0,2,0.900322079658508,0.908357799053192
"wall-following",4,"<function dropout at 0x7f3ddc023ae8>",NA,0.1,NA,0,2,0.886151385307312,0.89002937078476
"wall-following",2,"<function dropout at 0x7f3ddc023ae8>",NA,1,NA,0.5,2,0.881159394979477,0.886363625526428
"wall-following",16,"<function dropout at 0x7f3ddc023ae8>",NA,0.1,NA,0,2,0.87117549777031,0.869501531124115
"wall-following",3,"<function dropout at 0x7f3ddc023ae8>",NA,1,NA,0.5,2,0.86940416097641,0.895161330699921
"wall-following",4,"<function dropout at 0x7f3ddc023ae8>",NA,1,NA,0.5,2,0.850563585758209,0.858504474163055
"wall-following",2,"<function dropout at 0x7f3ddc023ae8>",NA,0.1,NA,0.5,2,0.810950088500977,0.79472142457962
"wall-following",4,"<function dropout at 0x7f3ddc023ae8>",NA,0.01,NA,0,2,0.735748773813248,0.725073337554932
"wall-following",3,"<function dropout at 0x7f3ddc023ae8>",NA,0.1,NA,0.5,2,0.731723034381866,0.718475103378296
"wall-following",2,"<function dropout at 0x7f3ddc023ae8>",NA,0.01,NA,0,2,0.703703677654266,0.705278635025024
"wall-following",3,"<function dropout at 0x7f3ddc023ae8>",NA,0.01,NA,0,2,0.688405817747116,0.683284401893616
"wall-following",32,"<function dropout at 0x7f3ddc023ae8>",NA,0.1,NA,0,2,0.671980661153793,0.698680341243744
"wall-following",8,"<function dropout at 0x7f3ddc023ae8>",NA,0.01,NA,0,2,0.661996763944626,0.623167097568512
"wall-following",4,"<function dropout at 0x7f3ddc023ae8>",NA,0.1,NA,0.5,2,0.614814800024033,0.618768274784088
"wall-following",2,"<function dropout at 0x7f3ddc023ae8>",NA,0.01,NA,0.5,2,0.593397730588913,0.583577692508698
"wall-following",3,"<function dropout at 0x7f3ddc023ae8>",NA,0.01,NA,0.5,2,0.58067632317543,0.56378298997879
"wall-following",4,"<function dropout at 0x7f3ddc023ae8>",NA,0.01,NA,0.5,2,0.531561994552612,0.509530782699585
"wall-following",16,"<function dropout at 0x7f3ddc023ae8>",NA,0.01,NA,0,2,0.514331722259521,0.530791819095612
"wall-following",8,"<function dropout at 0x7f3ddc023ae8>",NA,0.01,NA,0.5,2,0.437198066711426,0.425953090190887
"wall-following",32,"<function dropout at 0x7f3ddc023ae8>",NA,0.01,NA,0,2,0.416264095902443,0.406891465187073
"wall-following",8,"<function dropout at 0x7f3ddc023ae8>",NA,0.1,NA,0.5,2,0.415942040085793,0.404692053794861
"wall-following",32,"<function dropout at 0x7f3ddc023ae8>",NA,1,NA,0,2,0.415458938479424,0.404692113399506
"wall-following",16,"<function dropout at 0x7f3ddc023ae8>",NA,0.1,NA,0.5,2,0.413848647475243,0.404692053794861
"wall-following",32,"<function dropout at 0x7f3ddc023ae8>",NA,0.01,NA,0.5,2,0.413848638534546,0.404692053794861
"wall-following",32,"<function dropout at 0x7f3ddc023ae8>",NA,0.1,NA,0.5,2,0.413848638534546,0.404692053794861
"wall-following",32,"<function dropout at 0x7f3ddc023ae8>",NA,1,NA,0.5,2,0.413848638534546,0.404692053794861
"wall-following",16,"<function dropout at 0x7f3ddc023ae8>",NA,0.01,NA,0.5,2,0.413848638534546,0.404692053794861
"wall-following",16,"<function dropout at 0x7f3ddc023ae8>",NA,1,NA,0.5,2,0.413848638534546,0.404692053794861
"wall-following",8,"<function dropout at 0x7f3ddc023ae8>",NA,1,NA,0.5,2,0.413848632574081,0.404692053794861
