"dataset","nlayers","dropoutFn","nstart","learningrate","layerForm","dR","activationFn","valAccuracy","testAccuracy"
"waveform-noise",3,"<function dropout at 0x7f91aaa75ae8>",NA,1,NA,0.5,2,0.861525118350983,0.869599938392639
"waveform-noise",3,"<function dropout at 0x7f91aaa75ae8>",NA,0.1,NA,0,2,0.857885593175888,0.855199992656708
"waveform-noise",2,"<function dropout at 0x7f91aaa75ae8>",NA,1,NA,0.5,2,0.851126497983932,0.860000014305115
"waveform-noise",2,"<function dropout at 0x7f91aaa75ae8>",NA,0.1,NA,0.5,2,0.846100515127182,0.85999995470047
"waveform-noise",4,"<function dropout at 0x7f91aaa75ae8>",NA,1,NA,0.5,2,0.843674170970917,0.843199908733368
"waveform-noise",4,"<function dropout at 0x7f91aaa75ae8>",NA,0.1,NA,0,2,0.842980909347534,0.833599984645844
"waveform-noise",2,"<function dropout at 0x7f91aaa75ae8>",NA,1,NA,0,2,0.836395108699799,0.847999930381775
"waveform-noise",8,"<function dropout at 0x7f91aaa75ae8>",NA,1,NA,0,2,0.836048513650894,0.835199952125549
"waveform-noise",2,"<function dropout at 0x7f91aaa75ae8>",NA,0.1,NA,0,2,0.828942811489105,0.858399927616119
"waveform-noise",3,"<function dropout at 0x7f91aaa75ae8>",NA,1,NA,0,2,0.828422850370407,0.841599881649017
"waveform-noise",3,"<function dropout at 0x7f91aaa75ae8>",NA,0.1,NA,0.5,2,0.825649875402451,0.831999897956848
"waveform-noise",4,"<function dropout at 0x7f91aaa75ae8>",NA,1,NA,0,2,0.823916780948639,0.835999965667725
"waveform-noise",16,"<function dropout at 0x7f91aaa75ae8>",NA,0.1,NA,0,2,0.823570173978805,0.857599973678589
"waveform-noise",16,"<function dropout at 0x7f91aaa75ae8>",NA,1,NA,0,2,0.819930654764175,0.867199957370758
"waveform-noise",2,"<function dropout at 0x7f91aaa75ae8>",NA,0.01,NA,0,2,0.814038097858429,0.809599995613098
"waveform-noise",3,"<function dropout at 0x7f91aaa75ae8>",NA,0.01,NA,0,2,0.812305015325546,0.831200063228607
"waveform-noise",8,"<function dropout at 0x7f91aaa75ae8>",NA,0.1,NA,0,2,0.8117850959301,0.824799954891205
"waveform-noise",2,"<function dropout at 0x7f91aaa75ae8>",NA,0.01,NA,0.5,2,0.809705352783203,0.84879994392395
"waveform-noise",4,"<function dropout at 0x7f91aaa75ae8>",NA,0.01,NA,0,2,0.804332721233368,0.828799962997437
"waveform-noise",8,"<function dropout at 0x7f91aaa75ae8>",NA,0.01,NA,0,2,0.796360468864441,0.821600079536438
"waveform-noise",4,"<function dropout at 0x7f91aaa75ae8>",NA,0.1,NA,0.5,2,0.765684568881989,0.798399984836578
"waveform-noise",3,"<function dropout at 0x7f91aaa75ae8>",NA,0.01,NA,0.5,2,0.741247826814652,0.769599914550781
"waveform-noise",4,"<function dropout at 0x7f91aaa75ae8>",NA,0.01,NA,0.5,2,0.736048531532288,0.73360002040863
"waveform-noise",32,"<function dropout at 0x7f91aaa75ae8>",NA,0.1,NA,0,2,0.659792041778565,0.65120005607605
"waveform-noise",16,"<function dropout at 0x7f91aaa75ae8>",NA,0.01,NA,0,2,0.585441952943802,0.597599983215332
"waveform-noise",8,"<function dropout at 0x7f91aaa75ae8>",NA,0.01,NA,0.5,2,0.390467920899391,0.343999981880188
"waveform-noise",32,"<function dropout at 0x7f91aaa75ae8>",NA,1,NA,0,2,0.383015620708466,0.339199960231781
"waveform-noise",8,"<function dropout at 0x7f91aaa75ae8>",NA,0.1,NA,0.5,2,0.369324082136154,0.401600003242493
"waveform-noise",32,"<function dropout at 0x7f91aaa75ae8>",NA,0.01,NA,0.5,2,0.363951504230499,0.339199960231781
"waveform-noise",32,"<function dropout at 0x7f91aaa75ae8>",NA,0.1,NA,0.5,2,0.363951504230499,0.339199990034103
"waveform-noise",32,"<function dropout at 0x7f91aaa75ae8>",NA,1,NA,0.5,2,0.363951504230499,0.339199960231781
"waveform-noise",16,"<function dropout at 0x7f91aaa75ae8>",NA,0.01,NA,0.5,2,0.363951504230499,0.339199990034103
"waveform-noise",16,"<function dropout at 0x7f91aaa75ae8>",NA,0.1,NA,0.5,2,0.363951504230499,0.339199990034103
"waveform-noise",16,"<function dropout at 0x7f91aaa75ae8>",NA,1,NA,0.5,2,0.363951504230499,0.339199990034103
"waveform-noise",8,"<function dropout at 0x7f91aaa75ae8>",NA,1,NA,0.5,2,0.363951504230499,0.339199990034103
"waveform-noise",32,"<function dropout at 0x7f91aaa75ae8>",NA,0.01,NA,0,2,0.303639516234398,0.331200003623962
