"dataset","layerForm","nlayers","testAccuracy","valAccuracy","nhidden","learningrate"
"adult","rect",2,0.851667106151581,0.845383530855179,256,1
"adult","cone",3,0.850622892379761,0.844812113046646,1024,1
"adult","cone",8,0.85105288028717,0.843729400634766,256,1
"adult","cone",4,0.84853458404541,0.843097841739655,256,1
"adult","cone",2,0.852527022361755,0.84297753572464,256,1
"adult","cone",3,0.851052939891815,0.842797088623047,512,1
"adult","cone",2,0.84982442855835,0.842767024040222,256,0.1
"adult","cone",8,0.847121953964233,0.842436194419861,512,1
"adult","cone",4,0.853202700614929,0.841774517297745,512,1
"adult","cone",8,0.847920477390289,0.841473782062531,256,0.1
"adult","cone",2,0.849210262298584,0.84087228178978,1024,0.1
"adult","cone",8,0.844665050506592,0.840721899271011,1024,0.1
"adult","cone",2,0.842331051826477,0.840481299161911,1024,1
"adult","cone",2,0.852404177188873,0.84045125246048,512,1
"adult","cone",4,0.844603657722473,0.840391081571579,1024,1
"adult","cone",3,0.84706050157547,0.840300852060318,256,0.1
"adult","cone",3,0.851605653762817,0.840240693092346,256,1
"adult","cone",2,0.849947333335876,0.839909875392914,256,0.01
"adult","cone",2,0.844480812549591,0.83978955745697,512,0.1
"adult","rect",8,0.848288893699646,0.83942865729332,1024,0.1
"adult","cone",4,0.846999168395996,0.839188063144684,512,0.1
"adult","cone",3,0.847428977489471,0.839097845554352,512,0.1
"adult","cone",3,0.850745797157288,0.838887298107147,1024,0.1
"adult","cone",4,0.849640250205994,0.838436180353165,1024,0.1
"adult","cone",4,0.847981810569763,0.838345950841904,256,0.1
"adult","cone",8,0.847306191921234,0.837924897670746,1024,1
"adult","cone",8,0.849210262298584,0.837563985586167,512,0.1
"adult","cone",3,0.845095098018646,0.837082779407501,256,0.01
"adult","cone",2,0.852158546447754,0.836842173337936,512,0.01
"adult","rect",2,0.846753478050232,0.836751973628998,256,0.01
"adult","cone",4,0.844235241413116,0.836481267213821,256,0.01
"adult","cone",2,0.84957879781723,0.836330926418305,1024,0.01
"adult","cone",4,0.844173729419708,0.836120367050171,512,0.01
"adult","rect",16,0.832995057106018,0.835729420185089,256,0.1
"adult","cone",8,0.841716885566711,0.835699343681336,512,0.01
"adult","rect",2,0.844910740852356,0.835669261217117,256,0.1
"adult","rect",16,0.842515349388123,0.835248214006424,512,0.1
"adult","cone",3,0.850131630897522,0.835157984495163,512,0.01
"adult","cone",3,0.846753418445587,0.83488729596138,1024,0.01
"adult","rect",3,0.841286897659302,0.834616625308991,512,0.01
"adult","rect",32,0.844910800457001,0.834285813570023,256,0.01
"adult","cone",4,0.84957879781723,0.834105372428894,1024,0.01
"adult","rect",2,0.842453896999359,0.83398505449295,512,0.01
"adult","rect",3,0.837110340595245,0.833323383331299,1024,0.01
"adult","rect",2,0.846814870834351,0.833173024654389,1024,0.01
"adult","rect",3,0.845279276371002,0.832872247695923,256,0.01
"adult","cone",8,0.837294518947601,0.832842200994492,256,0.01
"adult","rect",2,0.849148809909821,0.832631677389145,512,0.1
"adult","rect",2,0.844235122203827,0.832421153783798,1024,0.1
"adult","rect",3,0.84644627571106,0.832391059398651,256,0.1
"adult","rect",4,0.842883884906769,0.831939953565598,512,0.01
"adult","rect",32,0.836127519607544,0.831909865140915,1024,0.01
