"dataset","testAccuracy","nhidden","nlayers","layerForm","learningrate","valAccuracy"
"audiology-std",0.799999952316284,256,2,"rect",1,0.866666734218597
"audiology-std",0.679999947547913,512,3,"cone",1,0.860000067949295
"audiology-std",0.719999969005585,512,2,"cone",1,0.853333401679993
"audiology-std",0.560000002384186,256,8,"rect",0.1,0.840000069141388
"audiology-std",0.839999973773956,256,4,"cone",1,0.826666736602783
"audiology-std",0.839999973773956,1024,4,"cone",1,0.820000070333481
"audiology-std",0.679999947547913,1024,3,"cone",1,0.820000070333481
"audiology-std",0.799999952316284,1024,4,"rect",0.1,0.800000071525574
"audiology-std",0.639999985694885,512,3,"rect",0.1,0.800000071525574
"audiology-std",0.759999990463257,256,3,"rect",0.1,0.800000071525574
"audiology-std",0.600000023841858,1024,2,"rect",0.01,0.800000071525574
"audiology-std",0.759999990463257,1024,2,"cone",0.1,0.800000071525574
"audiology-std",0.679999947547913,512,2,"cone",0.1,0.800000071525574
"audiology-std",0.719999969005585,256,2,"cone",0.1,0.800000071525574
"audiology-std",0.600000023841858,512,3,"cone",0.1,0.793333405256271
"audiology-std",0.639999985694885,512,4,"cone",1,0.78666672706604
"audiology-std",0.679999947547913,512,2,"rect",1,0.746666741371155
"audiology-std",0.479999989271164,512,4,"rect",0.01,0.73333340883255
"audiology-std",0.479999989271164,256,4,"rect",0.01,0.73333340883255
"audiology-std",0.839999973773956,512,4,"rect",0.1,0.73333340883255
"audiology-std",0.599999964237213,1024,3,"cone",0.01,0.73333340883255
"audiology-std",0.679999947547913,512,3,"rect",0.01,0.73333340883255
"audiology-std",0.759999990463257,1024,3,"cone",0.1,0.73333340883255
"audiology-std",0.719999969005585,256,3,"cone",0.1,0.73333340883255
"audiology-std",0.679999947547913,1024,2,"cone",0.01,0.73333340883255
"audiology-std",0.799999952316284,512,2,"rect",0.01,0.73333340883255
"audiology-std",0.799999952316284,512,2,"rect",0.1,0.73333340883255
"audiology-std",0.719999969005585,256,2,"rect",0.1,0.73333340883255
"audiology-std",0.799999952316284,256,2,"cone",1,0.73333340883255
"audiology-std",0.600000023841858,1024,4,"cone",0.01,0.733333349227905
"audiology-std",0.439999997615814,256,3,"cone",0.01,0.733333349227905
"audiology-std",0.759999990463257,256,3,"cone",1,0.733333349227905
"audiology-std",0.720000028610229,1024,2,"cone",1,0.726666694879532
"audiology-std",0.639999985694885,256,4,"cone",0.1,0.720000076293945
"audiology-std",0.680000007152557,256,8,"cone",1,0.720000076293945
"audiology-std",0.600000023841858,512,8,"cone",1,0.720000070333481
"audiology-std",0.600000023841858,1024,8,"rect",0.1,0.700000077486038
"audiology-std",0.799999952316284,256,2,"rect",0.01,0.700000077486038
"audiology-std",0.559999942779541,1024,16,"cone",0.1,0.673333406448364
"audiology-std",0.560000002384186,512,8,"cone",0.1,0.666666746139526
"audiology-std",0.839999973773956,512,8,"rect",0.1,0.666666746139526
"audiology-std",0.600000023841858,1024,4,"rect",0.01,0.666666746139526
"audiology-std",0.680000007152557,1024,4,"cone",0.1,0.666666746139526
"audiology-std",0.799999952316284,512,4,"cone",0.1,0.666666746139526
"audiology-std",0.639999985694885,256,4,"rect",0.1,0.666666746139526
"audiology-std",0.759999990463257,1024,3,"rect",0.1,0.666666746139526
"audiology-std",0.639999985694885,512,2,"cone",0.01,0.666666746139526
"audiology-std",0.560000002384186,256,2,"cone",0.01,0.666666746139526
"audiology-std",0.759999990463257,1024,2,"rect",0.1,0.666666746139526
"audiology-std",0.639999985694885,1024,16,"rect",0.01,0.626666712760925
"audiology-std",0.759999990463257,1024,8,"cone",0.1,0.626666712760925
"audiology-std",0.559999942779541,256,16,"cone",0.1,0.626666712760925
"audiology-std",0.560000002384186,512,16,"rect",0.01,0.606666696071625
"audiology-std",0.600000023841858,1024,8,"rect",0.01,0.600000023841858
"audiology-std",0.439999997615814,512,4,"cone",0.01,0.600000023841858
"audiology-std",0.560000002384186,1024,3,"rect",0.01,0.600000023841858
"audiology-std",0.600000023841858,256,8,"cone",0.1,0.59333336353302
"audiology-std",0.519999980926514,256,4,"cone",0.01,0.580000025033951
"audiology-std",0.679999947547913,512,3,"cone",0.01,0.533333420753479
"audiology-std",0.399999976158142,256,8,"rect",0.01,0.533333361148834
"audiology-std",0.679999947547913,256,16,"rect",0.1,0.520000031590462
"audiology-std",0.519999980926514,512,32,"rect",0.01,0.513333386182785
"audiology-std",0.359999984502792,512,8,"rect",0.01,0.46666669845581
