"dataset","learningrate","layerForm","nlayers","testAccuracy","nhidden","valAccuracy"
"breast-cancer",0.01,"cone",8,0.661971807479858,256,0.890476256608963
"breast-cancer",0.1,"cone",8,0.760563313961029,512,0.838095283508301
"breast-cancer",0.01,"cone",8,0.718309879302979,512,0.780952423810959
"breast-cancer",0.01,"rect",3,0.704225301742554,256,0.776190531253815
"breast-cancer",1,"cone",4,0.647887349128723,1024,0.766666698455811
"breast-cancer",0.1,"cone",4,0.732394337654114,256,0.766666686534881
"breast-cancer",0.01,"cone",4,0.690140843391418,256,0.761904835700989
"breast-cancer",1,"cone",4,0.746478915214539,256,0.757142889499664
"breast-cancer",0.1,"rect",8,0.619718253612518,512,0.742857199907303
"breast-cancer",0.1,"cone",8,0.704225361347198,256,0.73333335518837
"breast-cancer",1,"cone",4,0.746478855609894,512,0.733333349227905
"breast-cancer",0.01,"rect",16,0.619718253612518,256,0.728571444749832
"breast-cancer",0.01,"rect",4,0.619718253612518,256,0.723809552192688
"breast-cancer",1,"cone",8,0.690140843391418,512,0.71904764175415
"breast-cancer",0.01,"cone",32,0.704225301742554,1024,0.714285731315613
"breast-cancer",0.01,"cone",32,0.704225301742554,512,0.714285731315613
"breast-cancer",0.01,"cone",32,0.704225301742554,256,0.714285731315613
"breast-cancer",0.1,"cone",32,0.704225301742554,1024,0.714285731315613
"breast-cancer",0.1,"rect",32,0.704225301742554,1024,0.714285731315613
"breast-cancer",0.1,"cone",32,0.704225301742554,512,0.714285731315613
"breast-cancer",0.1,"cone",32,0.704225301742554,256,0.714285731315613
"breast-cancer",0.1,"rect",32,0.704225301742554,256,0.714285731315613
"breast-cancer",1,"cone",32,0.704225301742554,1024,0.714285731315613
"breast-cancer",1,"rect",32,0.704225301742554,1024,0.714285731315613
"breast-cancer",1,"cone",32,0.704225301742554,512,0.714285731315613
"breast-cancer",1,"rect",32,0.704225301742554,512,0.714285731315613
"breast-cancer",1,"cone",32,0.704225301742554,256,0.714285731315613
"breast-cancer",0.01,"cone",16,0.704225301742554,1024,0.714285731315613
"breast-cancer",0.01,"cone",16,0.704225301742554,512,0.714285731315613
"breast-cancer",0.01,"cone",16,0.704225301742554,256,0.714285731315613
"breast-cancer",0.1,"cone",16,0.704225301742554,1024,0.714285731315613
"breast-cancer",0.1,"rect",16,0.704225301742554,1024,0.714285731315613
"breast-cancer",0.1,"cone",16,0.704225301742554,512,0.714285731315613
"breast-cancer",0.1,"rect",16,0.704225301742554,512,0.714285731315613
"breast-cancer",0.1,"cone",16,0.704225301742554,256,0.714285731315613
"breast-cancer",0.1,"rect",16,0.704225301742554,256,0.714285731315613
"breast-cancer",1,"cone",16,0.704225301742554,1024,0.714285731315613
"breast-cancer",1,"rect",16,0.704225301742554,1024,0.714285731315613
"breast-cancer",1,"cone",16,0.704225301742554,512,0.714285731315613
"breast-cancer",1,"cone",16,0.704225301742554,256,0.714285731315613
"breast-cancer",1,"rect",16,0.704225301742554,256,0.714285731315613
"breast-cancer",0.01,"cone",8,0.704225301742554,1024,0.714285731315613
"breast-cancer",1,"cone",8,0.704225301742554,1024,0.714285731315613
"breast-cancer",1,"rect",8,0.704225301742554,512,0.714285731315613
"breast-cancer",1,"cone",8,0.704225301742554,256,0.714285731315613
"breast-cancer",1,"rect",8,0.704225301742554,256,0.714285731315613
"breast-cancer",0.01,"cone",4,0.633802771568298,512,0.714285731315613
"breast-cancer",1,"rect",4,0.704225301742554,512,0.714285731315613
"breast-cancer",1,"rect",3,0.704225301742554,1024,0.714285731315613
"breast-cancer",1,"rect",3,0.704225301742554,512,0.714285731315613
"breast-cancer",1,"rect",2,0.704225301742554,1024,0.714285731315613
"breast-cancer",0.1,"cone",2,0.661971807479858,256,0.709523850679397
"breast-cancer",0.01,"rect",2,0.661971807479858,256,0.70952382683754
"breast-cancer",0.1,"cone",2,0.661971807479858,512,0.704761934280395
"breast-cancer",1,"cone",2,0.732394337654114,1024,0.700000023841858
"breast-cancer",0.1,"rect",4,0.577464818954468,512,0.700000023841858
"breast-cancer",0.1,"cone",3,0.690140843391418,512,0.700000023841858
"breast-cancer",0.1,"cone",2,0.676056385040283,1024,0.700000023841858
"breast-cancer",0.1,"rect",4,0.591549277305603,1024,0.695238137245178
"breast-cancer",0.01,"rect",4,0.661971807479858,512,0.69523811340332
"breast-cancer",0.1,"cone",3,0.661971807479858,256,0.69523811340332
"breast-cancer",0.1,"rect",2,0.676056325435638,256,0.690476220846176
"breast-cancer",1,"cone",3,0.676056325435638,512,0.690476208925247
"breast-cancer",0.1,"rect",3,0.605633854866028,512,0.685714316368103
"breast-cancer",1,"cone",2,0.647887289524078,256,0.685714310407638
"breast-cancer",0.01,"rect",32,0.704225301742554,512,0.685714304447174
"breast-cancer",0.1,"cone",3,0.690140843391418,1024,0.685714304447174
"breast-cancer",1,"cone",2,0.704225301742554,512,0.685714304447174
"breast-cancer",0.1,"rect",8,0.619718313217163,256,0.680952405929565
"breast-cancer",0.01,"rect",16,0.661971807479858,1024,0.680952399969101
"breast-cancer",0.1,"rect",8,0.521126747131348,1024,0.680952399969101
"breast-cancer",0.01,"rect",32,0.450704216957092,1024,0.676190495491028
"breast-cancer",0.01,"cone",2,0.605633735656738,512,0.676190495491028
"breast-cancer",1,"cone",3,0.746478855609894,256,0.671428602933884
"breast-cancer",0.1,"cone",4,0.661971807479858,512,0.671428596973419
"breast-cancer",0.01,"cone",4,0.661971807479858,1024,0.671428591012955
"breast-cancer",0.01,"cone",3,0.619718253612518,1024,0.671428591012955
"breast-cancer",0.01,"cone",2,0.661971807479858,1024,0.671428591012955
"breast-cancer",0.01,"rect",32,0.704225301742554,256,0.671428588032722
"breast-cancer",0.1,"rect",32,0.704225301742554,512,0.671428588032722
"breast-cancer",1,"rect",32,0.704225301742554,256,0.671428588032722
"breast-cancer",1,"rect",16,0.704225301742554,512,0.671428588032722
"breast-cancer",1,"rect",8,0.704225301742554,1024,0.671428588032722
"breast-cancer",1,"rect",2,0.704225301742554,512,0.671428588032722
"breast-cancer",0.1,"rect",3,0.661971807479858,1024,0.666666707396507
"breast-cancer",0.1,"cone",4,0.661971807479858,1024,0.666666692495346
"breast-cancer",0.01,"rect",3,0.661971807479858,512,0.666666692495346
"breast-cancer",0.01,"rect",3,0.605633735656738,1024,0.666666686534881
