"dataset","learningrate","valAccuracy","nhidden","nlayers","testAccuracy","layerForm"
"cardiotocography-3clases",0.01,0.93708610534668,1024,16,0.902071535587311,"rect"
"cardiotocography-3clases",0.01,0.931788063049317,512,8,0.907721281051636,"cone"
"cardiotocography-3clases",0.01,0.930463576316834,1024,3,0.915254235267639,"rect"
"cardiotocography-3clases",0.01,0.929801321029663,1024,2,0.92090380191803,"rect"
"cardiotocography-3clases",0.1,0.929139071702957,512,8,0.903954803943634,"rect"
"cardiotocography-3clases",0.1,0.929139065742493,512,3,0.919020652770996,"cone"
"cardiotocography-3clases",0.1,0.928476840257645,512,4,0.915254235267639,"rect"
"cardiotocography-3clases",0.1,0.927814584970474,512,8,0.915254175662994,"cone"
"cardiotocography-3clases",1,0.927152329683304,256,3,0.894538581371307,"cone"
"cardiotocography-3clases",0.1,0.927152317762375,256,16,0.903954744338989,"rect"
"cardiotocography-3clases",0.1,0.924503326416016,256,4,0.926553547382355,"rect"
"cardiotocography-3clases",0.01,0.924503308534622,1024,4,0.922787129878998,"rect"
"cardiotocography-3clases",0.1,0.922516566514969,512,3,0.894538581371307,"rect"
"cardiotocography-3clases",0.1,0.922516560554504,1024,8,0.93220329284668,"rect"
"cardiotocography-3clases",0.01,0.92185429930687,512,4,0.924670398235321,"cone"
"cardiotocography-3clases",0.1,0.921192067861557,1024,4,0.915254235267639,"cone"
"cardiotocography-3clases",1,0.921192055940628,256,4,0.911487698554993,"cone"
"cardiotocography-3clases",1,0.920529800653458,512,3,0.905838012695312,"cone"
"cardiotocography-3clases",1,0.920529800653458,256,2,0.902071475982666,"cone"
"cardiotocography-3clases",0.1,0.919867551326752,256,3,0.907721221446991,"rect"
"cardiotocography-3clases",0.1,0.919867545366287,512,2,0.919020593166351,"cone"
"cardiotocography-3clases",0.01,0.919205313920975,256,2,0.917137444019318,"cone"
"cardiotocography-3clases",0.1,0.91920530796051,1024,2,0.920903921127319,"cone"
"cardiotocography-3clases",0.1,0.919205284118652,512,4,0.911487698554993,"cone"
"cardiotocography-3clases",0.1,0.919205260276794,1024,3,0.926553666591644,"cone"
"cardiotocography-3clases",0.01,0.918543064594269,512,2,0.911487698554993,"rect"
"cardiotocography-3clases",0.01,0.917218577861786,512,3,0.900188267230988,"cone"
"cardiotocography-3clases",0.01,0.917218512296677,256,16,0.883239150047302,"rect"
"cardiotocography-3clases",0.01,0.916556286811829,256,2,0.900188207626343,"rect"
"cardiotocography-3clases",0.1,0.915894025564194,256,8,0.915254175662994,"rect"
"cardiotocography-3clases",0.01,0.914569562673569,256,4,0.928436815738678,"rect"
"cardiotocography-3clases",0.1,0.914569532871246,256,8,0.898304998874664,"cone"
"cardiotocography-3clases",0.01,0.913907277584076,512,3,0.920903861522675,"rect"
"cardiotocography-3clases",0.1,0.913245046138763,512,2,0.905838012695312,"rect"
"cardiotocography-3clases",0.01,0.911258298158646,512,4,0.917137384414673,"rect"
"cardiotocography-3clases",0.01,0.911258286237717,1024,3,0.911487698554993,"cone"
"cardiotocography-3clases",0.1,0.911258286237717,1024,3,0.902071535587311,"rect"
"cardiotocography-3clases",0.1,0.910596024990082,256,2,0.907721161842346,"rect"
"cardiotocography-3clases",0.01,0.909271538257599,1024,8,0.888888776302338,"cone"
"cardiotocography-3clases",0.01,0.907947051525116,1024,4,0.894538640975952,"cone"
"cardiotocography-3clases",0.1,0.907947015762329,1024,2,0.907721281051636,"rect"
"cardiotocography-3clases",0.1,0.907284796237946,1024,8,0.922787129878998,"cone"
"cardiotocography-3clases",0.01,0.906622511148453,1024,8,0.903954863548279,"rect"
"cardiotocography-3clases",0.01,0.906622505187988,256,3,0.905838012695312,"rect"
"cardiotocography-3clases",0.1,0.905298012495041,1024,4,0.911487579345703,"rect"
"cardiotocography-3clases",1,0.90463575720787,512,2,0.896421730518341,"cone"
"cardiotocography-3clases",0.1,0.902649003267288,256,2,0.907721161842346,"cone"
"cardiotocography-3clases",0.1,0.901986765861511,256,3,0.896421790122986,"cone"
"cardiotocography-3clases",1,0.901324510574341,512,8,0.879472672939301,"cone"
"cardiotocography-3clases",1,0.900662279129028,1024,4,0.898305058479309,"cone"
"cardiotocography-3clases",0.01,0.900000029802323,512,2,0.907721281051636,"cone"
"cardiotocography-3clases",0.1,0.898675507307053,256,4,0.907721281051636,"cone"
"cardiotocography-3clases",0.01,0.898013269901276,256,4,0.903954684734344,"cone"
"cardiotocography-3clases",1,0.896688765287399,256,2,0.877589464187622,"rect"
"cardiotocography-3clases",0.01,0.896688747406006,1024,2,0.903954744338989,"cone"
"cardiotocography-3clases",1,0.893377506732941,1024,3,0.903954744338989,"cone"
"cardiotocography-3clases",0.01,0.89271525144577,512,16,0.888888835906982,"rect"
"cardiotocography-3clases",1,0.892715239524841,512,4,0.903954803943634,"cone"
"cardiotocography-3clases",0.01,0.890066260099411,256,8,0.881355881690979,"rect"
"cardiotocography-3clases",0.01,0.889403975009918,512,8,0.892655313014984,"rect"
"cardiotocography-3clases",0.01,0.887417209148407,256,3,0.907721221446991,"cone"
"cardiotocography-3clases",1,0.885430461168289,1024,2,0.896421790122986,"cone"
"cardiotocography-3clases",0.01,0.882781475782395,256,8,0.854990541934967,"cone"
"cardiotocography-3clases",1,0.876821202039719,1024,8,0.881355941295624,"cone"
"cardiotocography-3clases",1,0.875496691465378,256,8,0.864406704902649,"cone"
"cardiotocography-3clases",0.01,0.857615900039673,256,32,0.871939659118652,"rect"
"cardiotocography-3clases",0.01,0.85629141330719,256,16,0.821092247962952,"cone"
"cardiotocography-3clases",0.01,0.854304659366608,512,32,0.847457587718964,"rect"
"cardiotocography-3clases",0.01,0.835761612653732,512,16,0.826741933822632,"cone"
"cardiotocography-3clases",1,0.794702053070068,1024,32,0.779660940170288,"rect"
"cardiotocography-3clases",0.1,0.794702053070068,512,16,0.779661059379578,"cone"
"cardiotocography-3clases",1,0.794702053070068,512,16,0.779661059379578,"cone"
"cardiotocography-3clases",1,0.794702053070068,256,16,0.779661059379578,"cone"
"cardiotocography-3clases",0.1,0.794702047109604,256,32,0.779660940170288,"rect"
"cardiotocography-3clases",1,0.794702047109604,512,32,0.779660999774933,"cone"
"cardiotocography-3clases",0.01,0.794702047109604,1024,16,0.779661059379578,"cone"
"cardiotocography-3clases",0.1,0.794702047109604,1024,16,0.779660999774933,"cone"
"cardiotocography-3clases",0.1,0.794702047109604,256,16,0.779660940170288,"cone"
"cardiotocography-3clases",1,0.794702047109604,512,4,0.779661059379578,"rect"
"cardiotocography-3clases",1,0.794702047109604,1024,3,0.779660940170288,"rect"
"cardiotocography-3clases",0.01,0.79470204114914,1024,32,0.779660940170288,"rect"
"cardiotocography-3clases",0.1,0.79470204114914,512,32,0.779661059379578,"rect"
"cardiotocography-3clases",1,0.79470204114914,1024,32,0.779660940170288,"cone"
"cardiotocography-3clases",1,0.79470204114914,256,32,0.779661059379578,"cone"
"cardiotocography-3clases",0.1,0.79470204114914,1024,16,0.779660940170288,"rect"
"cardiotocography-3clases",0.1,0.79470204114914,512,16,0.779660940170288,"rect"
"cardiotocography-3clases",1,0.79470204114914,512,16,0.779661059379578,"rect"
"cardiotocography-3clases",0.1,0.794702041149139,512,32,0.779660940170288,"cone"
"cardiotocography-3clases",0.1,0.794702041149139,256,32,0.779660999774933,"cone"
"cardiotocography-3clases",1,0.794702041149139,512,2,0.779661059379578,"rect"
"cardiotocography-3clases",0.01,0.794702035188675,1024,32,0.779660940170288,"cone"
"cardiotocography-3clases",0.01,0.794702035188675,512,32,0.779660999774933,"cone"
"cardiotocography-3clases",0.01,0.794702035188675,256,32,0.779661059379578,"cone"
"cardiotocography-3clases",1,0.794702035188675,256,32,0.779660940170288,"rect"
"cardiotocography-3clases",1,0.794702035188675,1024,16,0.779660940170288,"cone"
"cardiotocography-3clases",0.1,0.794702029228211,1024,32,0.779661059379578,"cone"
"cardiotocography-3clases",1,0.794702029228211,1024,8,0.779660940170288,"rect"
"cardiotocography-3clases",0.1,0.794702029228211,1024,32,0.779660940170288,"rect"
"cardiotocography-3clases",1,0.794702029228211,512,3,0.779661059379578,"rect"
"cardiotocography-3clases",1,0.727814623713493,512,8,0.779661059379578,"rect"
"cardiotocography-3clases",1,0.727814617753029,256,8,0.779660940170288,"rect"
"cardiotocography-3clases",1,0.72317885607481,1024,4,0.779660940170288,"rect"
"cardiotocography-3clases",1,0.660927194356918,512,32,0.779660999774933,"rect"
"cardiotocography-3clases",1,0.656291438639164,1024,16,0.779660940170288,"rect"
"cardiotocography-3clases",1,0.656291438639164,1024,2,0.779661059379578,"rect"
"cardiotocography-3clases",1,0.656291435658932,256,4,0.779660999774933,"rect"
"cardiotocography-3clases",1,0.589404021203518,256,16,0.779660940170288,"rect"
"cardiotocography-3clases",1,0.589404021203518,256,3,0.137476459145546,"rect"
