"dataset","nlayers","testAccuracy","learningrate","layerForm","valAccuracy","nhidden"
"contrac",2,0.459239155054092,0.01,"cone",0.618254047632217,256
"contrac",4,0.45923912525177,0.01,"rect",0.599206429719925,512
"contrac",8,0.453804343938828,0.01,"cone",0.596825468540192,256
"contrac",2,0.464673936367035,0.01,"rect",0.586508017778397,256
"contrac",3,0.472826153039932,0.1,"cone",0.584127068519592,256
"contrac",2,0.464673936367035,0.01,"rect",0.584127068519592,512
"contrac",2,0.475543469190598,0.01,"cone",0.579365164041519,1024
"contrac",2,0.475543469190598,0.1,"cone",0.576190549135208,256
"contrac",2,0.51630437374115,0.1,"cone",0.574603253602981,1024
"contrac",4,0.467391282320023,0.1,"cone",0.574603241682053,1024
"contrac",3,0.45652174949646,0.1,"rect",0.573809599876404,256
"contrac",2,0.49456524848938,0.01,"cone",0.573809593915939,512
"contrac",4,0.467391312122345,0.1,"cone",0.573015928268433,512
"contrac",3,0.44021737575531,0.01,"cone",0.572222292423248,256
"contrac",3,0.49728262424469,0.1,"cone",0.5714286506176,1024
"contrac",3,0.50815212726593,1,"cone",0.569841343164444,512
"contrac",3,0.483695656061172,0.01,"cone",0.568254041671753,1024
"contrac",2,0.483695656061172,0.01,"rect",0.563492149114609,1024
"contrac",8,0.453804314136505,0.1,"rect",0.56349213719368,256
"contrac",4,0.470108658075333,0.01,"rect",0.562698483467102,256
"contrac",4,0.467391312122345,0.01,"rect",0.561904841661453,1024
"contrac",8,0.45652174949646,0.01,"cone",0.561904835700989,512
"contrac",4,0.472826093435287,0.01,"cone",0.561111187934875,1024
"contrac",2,0.478260904550552,1,"cone",0.561111187934875,256
"contrac",4,0.45108699798584,0.01,"cone",0.560317528247833,256
"contrac",4,0.464673936367035,0.1,"cone",0.559523868560791,256
"contrac",3,0.448369592428207,0.01,"rect",0.558730226755142,256
"contrac",3,0.505434811115265,0.1,"cone",0.557936578989029,512
"contrac",2,0.5,1,"cone",0.55714293718338,1024
"contrac",4,0.456521719694138,0.1,"rect",0.55714293718338,256
"contrac",4,0.464673936367035,0.1,"rect",0.556349283456802,1024
"contrac",3,0.48369562625885,0.1,"rect",0.555555641651154,1024
"contrac",3,0.470108687877655,0.01,"rect",0.554761981964111,512
"contrac",2,0.475543469190598,0.1,"rect",0.554761976003647,1024
"contrac",4,0.475543469190598,0.1,"rect",0.554761976003647,512
"contrac",2,0.49456524848938,1,"cone",0.554761958122253,512
"contrac",2,0.48097825050354,0.1,"rect",0.553174674510956,512
"contrac",2,0.489130437374115,0.1,"cone",0.552381026744843,512
"contrac",3,0.461956560611725,1,"cone",0.552381008863449,1024
"contrac",3,0.453804343938828,0.01,"cone",0.551587373018265,512
"contrac",8,0.45380437374115,0.1,"cone",0.5515873670578,1024
"contrac",2,0.467391312122345,0.1,"rect",0.5515873670578,256
"contrac",4,0.489130437374115,0.01,"cone",0.550793716311455,512
"contrac",3,0.47826087474823,0.01,"rect",0.548412775993347,1024
"contrac",8,0.480978280305862,0.1,"cone",0.548412773013115,256
"contrac",3,0.45923912525177,0.1,"rect",0.54603180885315,512
"contrac",3,0.423913061618805,1,"cone",0.542857211828232,256
"contrac",4,0.49728262424469,1,"cone",0.540476262569427,256
"contrac",8,0.464673936367035,0.1,"rect",0.538888961076737,512
"contrac",16,0.448369562625885,0.01,"rect",0.534127050638199,1024
"contrac",8,0.461956560611725,0.1,"cone",0.532539749145508,512
"contrac",8,0.50271737575531,0.1,"rect",0.530158787965775,1024
"contrac",8,0.45923912525177,0.01,"rect",0.524603247642517,256
"contrac",32,0.429347842931747,0.01,"cone",0.523809552192688,512
"contrac",32,0.42934787273407,0.1,"cone",0.523809552192688,1024
"contrac",32,0.42934787273407,0.1,"rect",0.523809552192688,1024
"contrac",32,0.42934787273407,0.1,"cone",0.523809552192688,256
"contrac",32,0.42934787273407,1,"cone",0.523809552192688,1024
"contrac",32,0.429347842931747,1,"cone",0.523809552192688,512
"contrac",32,0.429347842931747,1,"cone",0.523809552192688,256
"contrac",16,0.42934787273407,0.1,"cone",0.523809552192688,1024
"contrac",16,0.42934787273407,0.1,"cone",0.523809552192688,256
"contrac",4,0.429347842931747,1,"rect",0.523809552192688,256
