"dataset","nlayers","testAccuracy","nhidden","learningrate","layerForm","valAccuracy"
"credit-approval",8,0.854651093482971,1024,0.01,"rect",0.957446813583374
"credit-approval",8,0.813953518867493,256,0.1,"rect",0.957446813583374
"credit-approval",4,0.872093081474304,1024,0.01,"rect",0.957446813583374
"credit-approval",4,0.84883725643158,256,0.1,"rect",0.957446813583374
"credit-approval",3,0.866279065608978,512,0.01,"cone",0.957446813583374
"credit-approval",3,0.843023300170898,512,0.01,"rect",0.957446813583374
"credit-approval",2,0.860465049743652,1024,0.01,"cone",0.953191494941711
"credit-approval",3,0.848837196826935,512,0.1,"rect",0.95106383562088
"credit-approval",4,0.860465109348297,256,1,"cone",0.948936176300049
"credit-approval",4,0.843023300170898,1024,0.1,"rect",0.946808516979218
"credit-approval",3,0.813953518867493,256,0.1,"rect",0.946808516979218
"credit-approval",16,0.84883725643158,512,0.1,"rect",0.944680857658386
"credit-approval",2,0.866279006004333,512,0.1,"rect",0.944680857658386
"credit-approval",2,0.854651093482971,256,0.1,"rect",0.942553198337555
"credit-approval",3,0.837209343910217,1024,0.1,"cone",0.940425539016724
"credit-approval",4,0.843023240566254,512,0.1,"rect",0.938297879695892
"credit-approval",4,0.813953518867493,512,0.01,"rect",0.936170220375061
"credit-approval",3,0.82558137178421,512,1,"cone",0.936170220375061
"credit-approval",2,0.860465109348297,1024,0.01,"rect",0.936170220375061
"credit-approval",2,0.848837196826935,256,0.01,"rect",0.936170220375061
"credit-approval",4,0.837209343910217,256,0.1,"cone",0.93404256105423
"credit-approval",3,0.84883725643158,512,0.1,"cone",0.93404256105423
"credit-approval",2,0.854651212692261,1024,0.1,"cone",0.93404256105423
"credit-approval",4,0.825581431388855,256,0.01,"cone",0.931914901733399
"credit-approval",2,0.848837196826935,256,0.1,"cone",0.931914901733399
"credit-approval",2,0.860465168952942,512,0.1,"cone",0.929787242412567
"credit-approval",8,0.877906918525696,1024,0.1,"cone",0.929787242412567
"credit-approval",3,0.848837196826935,1024,1,"cone",0.929787242412567
"credit-approval",2,0.860465168952942,512,1,"cone",0.929787242412567
"credit-approval",4,0.819767475128174,1024,0.01,"cone",0.927659583091736
"credit-approval",4,0.854651212692261,512,1,"cone",0.927659583091736
"credit-approval",2,0.837209343910217,1024,0.1,"rect",0.925531923770905
"credit-approval",2,0.860465049743652,256,1,"cone",0.925531923770905
"credit-approval",3,0.854651093482971,1024,0.01,"cone",0.923404264450073
"credit-approval",2,0.872093021869659,1024,1,"cone",0.919148945808411
"credit-approval",3,0.843023300170898,256,0.01,"cone",0.919148945808411
"credit-approval",3,0.866279125213623,1024,0.1,"rect",0.919148945808411
"credit-approval",4,0.860465109348297,1024,0.1,"cone",0.91702128648758
"credit-approval",2,0.866279065608978,512,0.01,"rect",0.91702128648758
"credit-approval",8,0.819767475128174,512,0.01,"rect",0.914893627166748
"credit-approval",8,0.84883713722229,512,0.1,"rect",0.914893627166748
"credit-approval",3,0.854651212692261,1024,0.01,"rect",0.914893627166748
"credit-approval",2,0.877906918525696,256,0.01,"cone",0.914893627166748
"credit-approval",8,0.773255884647369,1024,0.01,"cone",0.914893627166748
"credit-approval",4,0.883720934391022,512,0.1,"cone",0.914893627166748
"credit-approval",3,0.843023240566254,256,0.01,"rect",0.912765967845917
"credit-approval",3,0.848837196826935,256,1,"cone",0.912765967845917
"credit-approval",16,0.854651093482971,256,0.1,"rect",0.912765967845917
"credit-approval",2,0.854651212692261,512,0.01,"cone",0.912765967845917
"credit-approval",2,0.866279065608978,256,1,"rect",0.912765967845917
"credit-approval",8,0.860465109348297,512,0.1,"cone",0.910638308525086
"credit-approval",3,0.872092962265015,256,0.1,"cone",0.910638308525086
"credit-approval",4,0.854651212692261,1024,1,"cone",0.906382989883423
"credit-approval",32,0.80232560634613,512,0.01,"rect",0.895744693279266
"credit-approval",4,0.837209284305573,512,0.01,"cone",0.895744693279266
"credit-approval",8,0.808139562606812,256,0.01,"rect",0.893617033958435
"credit-approval",4,0.837209343910217,256,0.01,"rect",0.893617033958435
"credit-approval",2,0.668604671955109,512,1,"rect",0.891489374637604
"credit-approval",16,0.831395387649536,1024,0.01,"rect",0.880851078033447
"credit-approval",8,0.767441868782043,512,0.01,"cone",0.876595759391785
"credit-approval",16,0.773255825042725,512,0.01,"rect",0.872340440750122
"credit-approval",8,0.843023300170898,1024,1,"cone",0.872340440750122
"credit-approval",16,0.819767475128174,256,0.01,"rect",0.855319166183472
"credit-approval",8,0.819767355918884,1024,0.1,"rect",0.855319166183472
"credit-approval",8,0.860465109348297,256,0.1,"cone",0.838297891616821
"credit-approval",32,0.773255825042725,256,0.01,"rect",0.77872342467308
"credit-approval",8,0.720930218696594,256,1,"cone",0.763829809427261
"credit-approval",8,0.720930218696594,256,0.01,"cone",0.740425562858581
"credit-approval",8,0.755813956260681,512,1,"cone",0.7212766289711
"credit-approval",16,0.610465109348297,1024,1,"cone",0.659574508666992
"credit-approval",32,0.558139562606812,1024,0.01,"rect",0.595744699239731
"credit-approval",4,0.441860496997833,1024,1,"rect",0.585106390714646
"credit-approval",8,0.558139562606812,512,1,"rect",0.561702132225037
"credit-approval",16,0.558139562606812,1024,0.1,"rect",0.529787236452103
"credit-approval",3,0.441860496997833,256,1,"rect",0.517021286487579
"credit-approval",2,0.441860467195511,1024,1,"rect",0.510638299584389
"credit-approval",32,0.546511650085449,512,1,"cone",0.510638296604157
"credit-approval",32,0.441860437393188,256,1,"rect",0.510638296604157
"credit-approval",16,0.441860467195511,512,0.01,"cone",0.510638296604157
"credit-approval",16,0.441860467195511,1024,1,"rect",0.510638296604157
"credit-approval",8,0.441860467195511,256,1,"rect",0.510638296604157
