"dataset","nhidden","learningrate","valAccuracy","nlayers","testAccuracy","layerForm"
"cylinder-bands",256,0.1,0.875,8,0.7578125,"rect"
"cylinder-bands",1024,0.1,0.875,4,0.78125,"cone"
"cylinder-bands",1024,0.1,0.875,4,0.8125,"rect"
"cylinder-bands",1024,1,0.875,2,0.8046875,"cone"
"cylinder-bands",256,1,0.86875,3,0.765625,"cone"
"cylinder-bands",512,0.1,0.85,2,0.7734375,"rect"
"cylinder-bands",1024,0.01,0.84375,2,0.765625,"cone"
"cylinder-bands",512,0.01,0.840625,2,0.7890625,"rect"
"cylinder-bands",1024,0.1,0.840625,3,0.8046875,"cone"
"cylinder-bands",1024,1,0.83125,3,0.7890625,"cone"
"cylinder-bands",1024,0.1,0.821875,3,0.765625,"rect"
"cylinder-bands",1024,1,0.81875,4,0.7421875,"cone"
"cylinder-bands",512,0.1,0.81875,3,0.828125,"rect"
"cylinder-bands",512,1,0.815625,2,0.78125,"cone"
"cylinder-bands",512,0.1,0.8125,8,0.8125,"rect"
"cylinder-bands",512,0.01,0.8125,4,0.71875,"rect"
"cylinder-bands",256,0.01,0.8125,3,0.8125,"rect"
"cylinder-bands",256,0.1,0.8125,3,0.75,"rect"
"cylinder-bands",512,1,0.80625,3,0.765625,"cone"
"cylinder-bands",256,0.1,0.796875,4,0.765625,"cone"
"cylinder-bands",512,1,0.79375,4,0.7265625,"cone"
"cylinder-bands",512,0.1,0.7875,3,0.84375,"cone"
"cylinder-bands",256,0.01,0.78125,4,0.65625,"rect"
"cylinder-bands",512,0.1,0.78125,4,0.7421875,"rect"
"cylinder-bands",256,0.1,0.78125,4,0.8046875,"rect"
"cylinder-bands",1024,0.01,0.78125,3,0.765625,"rect"
"cylinder-bands",1024,0.1,0.78125,2,0.78125,"rect"
"cylinder-bands",256,0.1,0.78125,2,0.78125,"rect"
"cylinder-bands",1024,0.1,0.778125,2,0.7890625,"cone"
"cylinder-bands",256,1,0.778125,2,0.671875,"cone"
