"dataset","learningrate","layerForm","nhidden","testAccuracy","valAccuracy","nlayers"
"ecoli",0.01,"cone",256,0.857142925262451,0.839393973350525,2
"ecoli",0.01,"rect",256,0.845238089561462,0.818181872367859,2
"ecoli",1,"cone",1024,0.845238089561462,0.818181848526001,4
"ecoli",1,"cone",256,0.833333313465118,0.815151536464691,4
"ecoli",0.01,"cone",256,0.857142865657806,0.812121248245239,3
"ecoli",1,"cone",1024,0.857142865657806,0.812121236324311,2
"ecoli",0.1,"rect",1024,0.809523820877075,0.812121224403382,4
"ecoli",0.1,"cone",256,0.821428656578064,0.80909093618393,3
"ecoli",1,"cone",256,0.833333373069763,0.809090924263001,2
"ecoli",1,"cone",256,0.833333373069763,0.809090912342072,3
"ecoli",0.01,"rect",256,0.821428537368774,0.80606062412262,4
"ecoli",1,"cone",512,0.809523820877075,0.803030335903168,4
"ecoli",0.1,"cone",512,0.857142925262451,0.803030300140381,3
"ecoli",0.1,"cone",256,0.857142925262451,0.800000011920929,4
"ecoli",1,"cone",512,0.857142865657806,0.8,2
"ecoli",0.01,"cone",256,0.833333373069763,0.793939387798309,4
"ecoli",0.01,"rect",512,0.809523820877075,0.793939387798309,2
"ecoli",1,"cone",512,0.833333373069763,0.790909099578858,3
"ecoli",0.01,"cone",256,0.761904835700989,0.790909063816071,16
"ecoli",0.1,"rect",1024,0.797619104385376,0.787878793478012,3
"ecoli",0.1,"cone",1024,0.845238089561462,0.787878787517548,4
"ecoli",1,"cone",1024,0.833333373069763,0.787878787517548,3
"ecoli",0.1,"rect",256,0.821428656578064,0.787878775596619,2
"ecoli",0.1,"cone",512,0.785714268684387,0.787878751754761,16
"ecoli",0.1,"rect",256,0.821428596973419,0.784848487377167,3
"ecoli",0.1,"cone",256,0.821428656578064,0.784848481416702,2
"ecoli",0.1,"cone",512,0.821428656578064,0.778787875175476,4
"ecoli",0.1,"rect",512,0.845238089561462,0.778787875175476,4
"ecoli",0.01,"rect",1024,0.833333373069763,0.778787851333618,8
"ecoli",0.1,"cone",512,0.857142925262451,0.778787851333618,2
"ecoli",0.1,"rect",1024,0.86904764175415,0.775757575035095,2
"ecoli",0.1,"rect",256,0.821428537368774,0.775757563114166,4
"ecoli",0.01,"rect",512,0.809523820877075,0.775757563114166,3
"ecoli",0.01,"cone",1024,0.845238089561462,0.775757563114166,2
"ecoli",0.1,"cone",1024,0.833333373069763,0.775757563114166,2
"ecoli",0.1,"rect",512,0.797619104385376,0.772727274894714,2
"ecoli",0.1,"cone",1024,0.845238149166107,0.772727251052856,8
"ecoli",0.1,"cone",1024,0.845238089561462,0.769696950912476,3
"ecoli",0.01,"cone",512,0.845238089561462,0.769696950912476,2
"ecoli",0.1,"cone",512,0.845238089561462,0.766666674613953,8
"ecoli",0.01,"rect",1024,0.821428656578064,0.766666650772095,2
"ecoli",0.01,"rect",512,0.821428656578064,0.763636362552643,16
"ecoli",0.01,"cone",1024,0.845238089561462,0.763636350631714,4
"ecoli",0.01,"rect",1024,0.845238089561462,0.763636350631714,3
"ecoli",0.1,"rect",256,0.797619104385376,0.760606062412262,8
"ecoli",0.01,"rect",1024,0.857142925262451,0.760606062412262,4
"ecoli",0.1,"rect",512,0.833333373069763,0.760606062412262,3
