"dataset","nlayers","nhidden","testAccuracy","learningrate","layerForm","valAccuracy"
"energy-y2",8,1024,0.880208373069763,0.01,"rect",0.983606517314911
"energy-y2",8,512,0.895833373069763,0.01,"rect",0.983606517314911
"energy-y2",3,1024,0.87500011920929,0.1,"rect",0.977049136161804
"energy-y2",2,512,0.916666746139526,1,"cone",0.97704913020134
"energy-y2",3,1024,0.895833432674408,0.1,"cone",0.972131109237671
"energy-y2",4,1024,0.885416746139526,0.01,"cone",0.972131103277207
"energy-y2",8,256,0.911458373069763,0.1,"cone",0.972131103277206
"energy-y2",4,1024,0.911458373069763,0.1,"rect",0.970491778850556
"energy-y2",3,512,0.911458373069763,0.1,"rect",0.970491766929627
"energy-y2",4,256,0.895833432674408,0.1,"rect",0.968852436542511
"energy-y2",3,1024,0.880208373069763,0.01,"rect",0.968852430582047
"energy-y2",3,512,0.901041746139526,0.1,"cone",0.968852424621582
"energy-y2",2,512,0.890625,0.1,"rect",0.968852424621582
"energy-y2",16,256,0.895833373069763,0.01,"rect",0.967213094234467
"energy-y2",4,256,0.895833373069763,0.01,"rect",0.967213082313538
"energy-y2",3,256,0.859375059604645,0.1,"rect",0.967213070392609
"energy-y2",4,1024,0.890625059604645,0.1,"cone",0.965573734045029
"energy-y2",8,512,0.87500011920929,0.1,"cone",0.96393438577652
"energy-y2",2,1024,0.89062511920929,0.1,"rect",0.963934379816055
"energy-y2",3,256,0.901041746139526,1,"cone",0.959016358852387
"energy-y2",2,256,0.885416746139526,1,"cone",0.959016346931458
"energy-y2",4,1024,0.890625059604645,0.01,"rect",0.959016346931457
"energy-y2",16,1024,0.859375059604645,0.01,"cone",0.959016329050064
"energy-y2",8,256,0.885416746139526,0.1,"rect",0.957377010583878
"energy-y2",4,256,0.911458432674408,0.1,"cone",0.955737674236298
"energy-y2",3,256,0.890625059604645,0.1,"cone",0.955737668275833
"energy-y2",2,1024,0.895833373069763,0.01,"rect",0.955737668275833
"energy-y2",3,512,0.916666746139526,0.01,"rect",0.955737662315369
"energy-y2",8,512,0.890625059604645,0.1,"rect",0.954098320007324
"energy-y2",4,512,0.895833373069763,0.01,"cone",0.954098308086395
"energy-y2",4,512,0.885416746139526,0.1,"rect",0.952458989620209
"energy-y2",2,256,0.895833373069763,0.1,"rect",0.952458971738815
"energy-y2",4,512,0.885416746139526,0.01,"rect",0.952458959817886
"energy-y2",3,1024,0.885416686534882,0.01,"cone",0.950819629430771
"energy-y2",4,512,0.911458373069763,0.1,"cone",0.950819629430771
"energy-y2",2,1024,0.885416746139526,0.1,"cone",0.949180293083191
"energy-y2",8,1024,0.859375,0.1,"cone",0.949180287122726
"energy-y2",2,256,0.901041746139526,0.1,"cone",0.949180287122726
"energy-y2",3,256,0.895833432674408,0.01,"rect",0.947540950775147
"energy-y2",2,512,0.901041746139526,0.01,"rect",0.947540950775147
"energy-y2",4,256,0.854166686534882,0.01,"cone",0.947540932893753
"energy-y2",8,512,0.864583432674408,0.01,"cone",0.942622911930084
"energy-y2",4,1024,0.854166746139526,1,"cone",0.942622900009155
"energy-y2",16,512,0.869791746139526,0.01,"cone",0.940983557701111
"energy-y2",4,256,0.854166686534882,1,"cone",0.940983545780182
"energy-y2",2,512,0.885416746139526,0.1,"cone",0.939344221353531
"energy-y2",8,256,0.838541746139526,0.01,"cone",0.939344215393066
"energy-y2",2,512,0.854166746139526,0.01,"cone",0.939344215393066
"energy-y2",3,512,0.854166746139526,1,"cone",0.939344215393066
"energy-y2",4,512,0.854166746139526,1,"cone",0.936065530776978
"energy-y2",16,1024,0.848958373069763,0.01,"rect",0.936065530776978
"energy-y2",16,512,0.859375059604645,0.01,"rect",0.936065530776978
"energy-y2",2,1024,0.89062511920929,0.01,"cone",0.936065530776978
"energy-y2",3,256,0.880208373069763,0.01,"cone",0.934426200389862
"energy-y2",2,256,0.875000059604645,0.01,"cone",0.934426188468933
"energy-y2",3,1024,0.864583373069763,1,"cone",0.934426182508469
"energy-y2",8,1024,0.854166746139526,0.1,"rect",0.932786846160889
"energy-y2",3,512,0.864583373069763,0.01,"cone",0.929508155584335
"energy-y2",2,256,0.854166746139526,0.01,"rect",0.927868819236755
"energy-y2",8,256,0.880208432674408,0.01,"rect",0.911475372314453
"energy-y2",8,1024,0.885416746139526,0.01,"cone",0.904918015003204
"energy-y2",2,1024,0.864583373069763,1,"cone",0.896721291542053
"energy-y2",16,256,0.739583432674408,0.1,"rect",0.763934367895126
"energy-y2",8,512,0.739583373069763,1,"cone",0.737704849243164
"energy-y2",8,256,0.739583432674408,1,"cone",0.729508125782013
"energy-y2",32,512,0.739583432674408,0.01,"rect",0.721311402320862
"energy-y2",16,256,0.744791686534882,0.1,"cone",0.713114678859711
"energy-y2",4,256,0.744791746139526,1,"rect",0.713114678859711
"energy-y2",32,256,0.739583373069763,0.01,"rect",0.70491795539856
"energy-y2",32,1024,0.744791686534882,1,"cone",0.696721255779266
"energy-y2",16,256,0.687500059604645,1,"cone",0.639344215393066
"energy-y2",8,1024,0.661458373069763,1,"cone",0.639344191551208
"energy-y2",2,256,0.807291746139526,1,"rect",0.609836027026176
"energy-y2",4,1024,0.703125,1,"rect",0.56721305847168
"energy-y2",2,512,0.25,1,"rect",0.491803240776062
"energy-y2",2,1024,0.5,1,"rect",0.449180296063423
"energy-y2",3,512,0.0104166669771075,1,"rect",0.444262253120542
"energy-y2",32,256,0.5,0.01,"cone",0.431147509813309
"energy-y2",32,1024,0.5,0.01,"cone",0.426229479908943
"energy-y2",32,512,0.510416686534882,0.01,"cone",0.426229476928711
"energy-y2",32,1024,0.5,0.1,"cone",0.426229476928711
"energy-y2",32,512,0.5,0.1,"cone",0.426229476928711
"energy-y2",32,512,0.5,0.1,"rect",0.426229476928711
"energy-y2",32,256,0.5,0.1,"cone",0.426229476928711
"energy-y2",32,256,0.5,0.1,"rect",0.426229476928711
"energy-y2",32,512,0.5,1,"cone",0.426229476928711
"energy-y2",32,256,0.5,1,"cone",0.426229476928711
"energy-y2",32,256,0.5,1,"rect",0.426229476928711
"energy-y2",16,1024,0.5,0.1,"cone",0.426229476928711
"energy-y2",16,1024,0.5,0.1,"rect",0.426229476928711
"energy-y2",16,512,0.5,0.1,"cone",0.426229476928711
"energy-y2",16,512,0.5,0.1,"rect",0.426229476928711
"energy-y2",16,1024,0.5,1,"cone",0.426229476928711
"energy-y2",16,512,0.5,1,"cone",0.426229476928711
"energy-y2",16,512,0.5,1,"rect",0.426229476928711
"energy-y2",8,1024,0.5,1,"rect",0.426229476928711
"energy-y2",4,512,0.5,1,"rect",0.426229476928711
"energy-y2",3,256,0.5,1,"rect",0.426229476928711
"energy-y2",32,1024,0.255208343267441,0.1,"rect",0.408196690678597
"energy-y2",3,1024,0.24479167163372,1,"rect",0.408196686208248
"energy-y2",32,512,0.5,1,"rect",0.398360624909401
"energy-y2",8,512,0.5,1,"rect",0.398360624909401
