"dataset","nlayers","valAccuracy","testAccuracy","nhidden","learningrate","layerForm"
"glass",4,0.766666740179062,0.698113203048706,512,0.01,"cone"
"glass",8,0.685714340209961,0.603773593902588,1024,0.01,"cone"
"glass",8,0.666666746139526,0.660377383232117,512,0.01,"rect"
"glass",3,0.661904835700989,0.641509413719177,256,0.01,"cone"
"glass",2,0.657142901420593,0.679245293140411,256,0.1,"rect"
"glass",2,0.647619068622589,0.679245293140411,512,0.01,"cone"
"glass",2,0.647619068622589,0.641509473323822,512,0.01,"rect"
"glass",3,0.642857164144516,0.660377383232117,1024,0.01,"cone"
"glass",3,0.633333379030228,0.622641503810883,512,0.1,"cone"
"glass",16,0.623809546232223,0.584905683994293,512,0.01,"rect"
"glass",8,0.61904764175415,0.603773593902588,512,0.01,"cone"
"glass",3,0.61904764175415,0.679245293140411,256,0.01,"rect"
"glass",4,0.614285737276077,0.660377383232117,256,0.01,"cone"
"glass",4,0.614285737276077,0.679245293140411,256,0.1,"rect"
"glass",4,0.609523832798004,0.660377383232117,1024,0.01,"rect"
"glass",3,0.60476194024086,0.679245293140411,512,1,"cone"
"glass",4,0.604761928319931,0.603773593902588,1024,0.1,"rect"
"glass",2,0.600000035762787,0.679245293140411,512,0.1,"rect"
"glass",3,0.595238137245178,0.660377383232117,256,0.1,"rect"
"glass",2,0.595238119363785,0.698113203048706,256,0.01,"rect"
"glass",8,0.590476214885712,0.641509473323822,1024,0.01,"rect"
"glass",4,0.590476214885712,0.660377383232117,512,0.01,"rect"
"glass",2,0.590476214885712,0.660377383232117,256,1,"cone"
"glass",4,0.580952405929565,0.660377383232117,1024,0.1,"cone"
"glass",2,0.580952405929565,0.679245293140411,1024,0.1,"cone"
"glass",4,0.576190501451492,0.660377383232117,1024,0.01,"cone"
"glass",4,0.576190501451492,0.679245293140411,256,0.1,"cone"
"glass",8,0.571428596973419,0.641509413719177,512,0.1,"cone"
"glass",4,0.571428596973419,0.641509413719177,256,0.01,"rect"
"glass",3,0.571428596973419,0.698113203048706,1024,0.01,"rect"
"glass",3,0.571428596973419,0.698113203048706,512,0.01,"cone"
"glass",16,0.566666692495346,0.698113203048706,1024,0.01,"rect"
"glass",8,0.566666692495346,0.679245293140411,256,0.01,"rect"
"glass",3,0.566666692495346,0.660377383232117,512,0.1,"rect"
"glass",2,0.566666692495346,0.698113203048706,1024,0.01,"cone"
"glass",2,0.566666692495346,0.660377383232117,512,0.1,"cone"
"glass",3,0.561904788017273,0.622641563415527,256,0.1,"cone"
"glass",2,0.561904788017273,0.622641503810883,1024,0.01,"rect"
"glass",16,0.552380979061127,0.622641503810883,512,0.01,"cone"
"glass",2,0.552380976080894,0.641509413719177,1024,0.1,"rect"
"glass",16,0.547619074583053,0.584905683994293,256,0.01,"rect"
"glass",4,0.54285717010498,0.698113203048706,512,0.1,"cone"
"glass",4,0.54285717010498,0.641509473323822,512,0.1,"rect"
"glass",3,0.54285717010498,0.660377383232117,512,0.01,"rect"
"glass",2,0.538095265626907,0.603773593902588,256,0.01,"cone"
"glass",4,0.533333358168602,0.716981112957001,512,1,"cone"
"glass",8,0.528571456670761,0.679245293140411,256,0.1,"cone"
"glass",3,0.519047647714615,0.698113203048706,1024,0.1,"cone"
"glass",2,0.519047647714615,0.679245293140411,256,0.1,"cone"
"glass",8,0.509523838758469,0.679245293140411,256,0.1,"rect"
"glass",2,0.509523835778236,0.566037714481354,512,1,"cone"
"glass",16,0.504761928319931,0.471698105335236,1024,0.01,"cone"
"glass",3,0.495238125324249,0.528301894664764,1024,1,"cone"
"glass",3,0.495238122344017,0.584905683994293,1024,0.1,"rect"
"glass",8,0.490476220846176,0.679245293140411,1024,0.1,"cone"
"glass",4,0.490476214885712,0.547169804573059,256,1,"cone"
"glass",16,0.476190507411957,0.452830195426941,256,0.01,"cone"
"glass",8,0.476190507411957,0.603773593902588,256,0.01,"cone"
"glass",8,0.466666698455811,0.471698135137558,512,0.1,"rect"
"glass",8,0.428571462631226,0.433962255716324,256,1,"cone"
"glass",4,0.423809540271759,0.566037714481354,1024,1,"cone"
"glass",32,0.419047650694847,0.49056601524353,1024,1,"cone"
"glass",16,0.409523835778236,0.433962255716324,256,0.1,"rect"
"glass",32,0.400000017881393,0.433962255716324,1024,0.01,"rect"
"glass",8,0.390476202964783,0.490566045045853,1024,0.1,"rect"
"glass",32,0.380952388048172,0.490566074848175,512,0.01,"cone"
"glass",8,0.376190496981144,0.50943398475647,1024,1,"cone"
"glass",16,0.366666674613953,0.377358496189117,512,0.1,"rect"
"glass",8,0.357142865657806,0.433962255716324,512,1,"cone"
